label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91
0.03	north1_all	80	551	315	150	106	76	60	49	83	176	51	30	39	22	26	13	27	10	9	41	8	12	19	7	8	1	13	2	3	10	7	6	5	3	6	0	4	3	1	1	2	1	3	3	4	1	0	4	2	2	0	1	0	0	2	0	6	3	0	0	0	1	0	1	1	2	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	293	172	71	51	29	32	27	52	124	18	17	27	13	12	7	15	6	4	19	3	9	14	4	3	0	10	1	0	5	5	1	4	2	1	0	4	3	1	0	1	1	0	2	1	1	0	2	1	2	0	0	0	0	2	0	5	1	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_all	80	545	329	149	91	67	58	55	113	175	62	40	42	24	27	11	34	10	14	34	8	19	14	5	7	2	17	2	7	5	5	4	7	3	5	0	10	2	0	2	2	2	2	2	5	0	1	3	2	3	0	0	0	0	3	0	6	3	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_active	80	282	173	65	44	25	33	30	75	111	25	21	26	13	16	6	23	6	8	17	2	15	9	4	4	1	13	0	1	1	2	1	4	2	0	0	7	1	0	0	1	2	0	1	2	0	0	2	1	2	0	0	0	0	3	0	3	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north3_all	80	557	336	129	84	75	74	51	103	175	61	38	37	26	25	9	31	7	16	31	11	21	9	6	10	3	26	2	5	13	4	5	9	2	3	0	7	3	0	1	2	3	2	2	7	0	3	2	1	2	0	0	0	1	1	0	8	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	298	187	62	42	33	46	23	60	106	30	18	20	13	13	4	21	4	9	19	6	15	5	4	6	1	16	0	1	10	1	2	6	1	1	0	4	1	0	0	1	3	0	1	5	0	2	1	0	0	0	0	0	0	1	0	3	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	540	364	121	90	77	67	50	100	170	58	34	26	20	20	9	30	7	13	37	12	16	7	6	9	4	28	4	6	15	4	4	7	3	5	0	7	3	1	1	2	6	1	2	8	1	3	0	0	4	0	0	0	1	1	0	5	0	1	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	285	208	59	50	40	44	21	67	103	29	17	12	11	9	4	18	4	8	29	8	9	5	4	7	1	20	1	1	11	3	1	4	2	1	0	4	0	0	0	1	5	0	2	5	1	2	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	549	354	118	96	84	73	42	101	171	55	28	22	20	14	7	30	9	12	40	16	13	9	5	8	6	30	4	5	13	5	6	2	4	5	1	2	5	3	2	3	5	1	2	5	1	3	0	0	3	0	1	0	1	0	0	4	0	2	0	0	0	1	0	0	2	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	303	207	58	52	44	47	14	66	79	33	13	12	11	5	3	14	4	5	32	12	8	7	3	5	4	22	1	1	11	3	2	2	2	1	1	2	3	1	2	0	4	0	2	3	1	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
