label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46
0.03	north1_all	80	4895	1516	1028	563	353	775	372	128	250	85	67	269	39	20	24	148	15	63	61	7	6	4	4	2	8	3	3	10	12	0	2	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	3134	519	608	233	123	700	301	41	208	45	18	256	11	8	5	140	6	58	58	4	3	3	2	1	8	2	1	7	11	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	4933	1516	1095	548	350	792	369	134	282	82	65	335	44	24	23	107	12	53	46	4	3	7	3	1	9	5	2	15	6	0	2	0	1	0	1	0	0	1	0	6	0	0	0	0	0	0	0
0.03	north2_active	80	3181	499	670	233	124	711	288	40	231	43	19	322	14	9	6	98	4	47	43	2	0	4	2	1	9	5	0	13	5	0	0	0	1	0	0	0	0	1	0	6	0	0	0	0	0	0	0
0.03	north3_all	80	4976	1460	1118	535	362	802	359	115	281	80	62	302	45	31	25	105	13	63	68	3	3	6	3	2	11	3	2	14	6	0	0	1	1	0	0	0	0	1	0	6	0	0	0	0	0	0	0
0.03	north3_active	80	3224	484	682	229	133	721	282	30	227	34	18	286	18	12	5	95	5	59	65	1	0	3	2	2	11	3	0	12	5	0	0	1	1	0	0	0	0	1	0	6	0	0	0	0	0	0	0
0.03	north4_all	80	4865	1448	1108	549	381	834	363	134	291	82	55	298	53	42	28	78	15	58	71	9	4	6	5	1	9	4	0	9	5	2	0	2	1	0	0	0	0	1	0	6	0	0	0	0	0	0	0
0.03	north4_active	80	3179	489	663	232	143	740	268	35	236	37	19	287	25	12	8	71	9	51	68	5	0	2	4	1	9	4	0	9	5	2	0	2	1	0	0	0	0	1	0	6	0	0	0	0	0	0	0
0.03	north5_all	80	4866	1478	1089	536	388	832	357	127	248	88	57	237	45	40	34	78	12	60	88	9	3	8	3	3	12	2	0	1	4	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north5_active	80	3176	507	658	218	149	733	263	34	205	40	15	223	24	11	11	72	9	55	85	5	0	3	3	2	12	2	0	1	4	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north6_all	80	4756	1474	1060	546	390	838	350	144	243	84	59	259	54	41	27	88	15	55	63	13	3	7	4	3	9	4	2	3	4	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north6_active	80	3087	511	637	224	142	736	256	46	204	43	17	245	32	14	8	80	11	51	62	9	0	2	3	1	9	4	0	2	4	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north7_all	80	4708	1499	1083	550	372	789	350	134	236	80	61	264	43	33	20	118	14	51	63	12	6	7	3	5	5	4	2	3	5	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north7_active	80	2995	528	633	228	132	688	257	46	200	33	21	250	21	15	10	109	9	48	62	7	1	2	2	1	5	4	0	2	5	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north8_all	80	4730	1456	1032	566	340	795	320	133	247	77	55	275	44	29	14	170	14	37	48	14	9	6	4	5	6	4	2	3	6	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north8_active	80	3018	499	608	232	112	700	233	42	209	27	18	264	21	17	5	160	6	37	46	10	2	2	2	1	6	4	0	2	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north9_all	80	4780	1501	1037	570	353	828	295	139	245	75	51	243	39	35	14	188	14	25	63	14	11	2	5	3	4	2	0	1	6	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	2
0.03	north9_active	80	3004	492	629	219	114	734	226	39	209	26	11	231	15	15	5	183	4	25	59	10	3	1	1	0	4	2	0	0	5	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	2
0.03	north10_all	80	4750	1492	1056	560	341	833	288	127	226	80	50	196	43	36	13	165	14	30	52	10	11	4	7	2	12	3	0	0	2	0	1	0	1	1	3	1	0	0	0	1	1	0	0	1	0	0	2
