label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37
0.03	north1_all	80	978	721	490	179	236	54	132	90	72	59	25	11	10	15	7	4	3	1	3	3	9	1	4	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0
0.03	north1_active	80	433	435	291	89	153	23	96	59	46	35	13	6	6	9	4	4	2	0	0	1	5	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0
0.03	north2_all	80	937	718	479	181	207	59	154	109	64	69	25	10	11	11	7	8	5	4	2	4	9	1	4	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
0.03	north2_active	80	421	396	283	93	131	21	104	77	38	42	13	4	6	5	5	5	2	1	0	1	5	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
0.03	north3_all	80	913	745	496	187	227	71	154	121	67	60	23	14	14	12	4	9	5	3	1	4	7	1	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
0.03	north3_active	80	393	402	286	108	137	29	104	88	40	39	15	7	7	4	3	6	2	1	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north4_all	80	913	818	544	190	244	71	200	134	56	64	21	11	10	10	3	11	5	3	2	4	7	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	422	450	319	119	145	29	112	101	32	33	12	6	4	2	2	5	2	1	2	1	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	914	911	604	195	318	77	207	164	83	67	20	8	10	11	6	12	3	1	3	2	13	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	415	537	360	118	203	37	122	120	49	37	10	4	6	4	2	7	1	1	3	0	12	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	923	914	623	205	296	63	235	175	69	77	18	7	9	13	5	15	1	1	4	4	12	2	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	413	567	382	115	203	32	138	123	41	43	10	1	7	5	1	8	1	1	4	1	12	2	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	911	879	586	207	314	66	214	181	70	69	16	11	10	9	6	17	2	3	2	4	14	2	1	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	391	534	348	112	227	34	138	135	41	47	11	2	7	5	1	6	2	2	2	1	13	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	891	846	547	208	259	67	191	143	52	70	21	13	13	8	4	9	5	3	2	4	7	2	1	3	0	0	0	1	1	2	0	0	0	0	0	0	0	0
0.03	north8_active	80	379	522	318	105	186	33	122	102	29	51	12	5	10	5	1	3	4	1	2	1	5	2	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
