label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173
0.03	north1_all	80	8155	2544	1684	1170	982	838	568	624	1089	384	381	372	378	235	224	240	161	232	255	132	149	235	98	155	111	129	66	65	78	169	44	50	53	47	62	25	30	68	50	31	29	22	27	16	41	27	28	24	24	6	13	50	23	15	12	16	17	7	7	7	8	15	1	7	9	8	15	4	8	7	7	5	10	6	1	6	5	4	2	6	2	2	0	2	0	2	0	2	1	1	5	1	2	2	2	2	0	1	3	1	0	1	3	0	0	1	1	0	1	0	1	0	1	2	1	7	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	5783	664	507	312	452	419	162	390	944	105	212	230	270	64	118	165	71	165	197	50	87	186	40	121	74	96	10	29	38	154	13	14	38	22	46	5	6	60	28	20	10	10	11	4	36	18	14	21	8	2	5	48	18	7	2	6	15	2	1	3	2	11	0	4	2	3	10	1	1	2	1	4	1	1	1	5	4	2	0	6	1	1	0	1	0	1	0	2	0	1	2	0	2	0	1	1	0	0	3	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	7139	2538	1610	1196	944	785	573	602	857	368	370	335	304	231	210	228	167	199	236	143	131	209	88	137	110	119	76	67	59	93	45	53	63	50	64	23	30	64	39	38	29	23	27	25	27	21	29	37	16	7	17	12	11	17	13	11	16	13	7	3	8	14	3	5	9	6	8	4	7	3	7	6	4	7	3	6	4	5	2	3	4	1	0	2	0	1	1	1	1	1	4	2	2	2	2	2	0	1	3	1	0	1	1	0	0	0	1	1	1	0	2	0	1	1	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	4649	713	431	286	414	355	162	357	712	90	191	188	189	68	103	147	72	132	170	50	76	166	38	87	68	85	12	24	24	77	9	16	47	25	43	5	8	52	19	26	7	7	13	10	19	13	13	24	5	2	8	9	7	8	2	8	9	4	1	0	1	10	0	3	2	1	5	0	1	1	1	4	0	3	1	4	3	2	0	2	2	1	0	0	0	1	0	1	0	1	0	0	2	0	1	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	6879	2551	1591	1174	949	781	572	597	797	385	385	317	322	227	196	212	175	192	228	116	128	210	97	142	105	125	75	62	68	103	56	52	77	40	64	29	38	56	37	36	29	29	29	27	28	22	21	35	13	11	18	17	9	14	13	13	16	14	6	6	7	11	5	7	7	6	9	4	4	4	9	6	3	8	3	8	4	6	1	2	3	2	2	1	0	3	3	1	1	1	4	2	2	0	3	1	0	1	2	1	1	1	1	0	0	1	1	2	1	0	1	0	1	0	2	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	4349	772	435	279	413	338	167	349	647	88	208	168	191	67	103	132	72	122	163	40	74	153	40	95	53	85	16	17	26	79	9	18	62	20	42	5	8	47	17	23	4	7	16	9	18	12	7	21	5	3	10	12	6	9	2	9	7	4	1	0	1	8	1	4	2	0	4	1	1	1	3	3	0	5	1	6	2	2	0	1	2	2	1	0	0	3	0	1	0	0	0	1	1	0	1	1	0	0	2	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	6849	2551	1616	1197	970	802	578	610	802	398	387	309	329	216	185	222	181	182	201	122	117	196	103	137	105	119	77	65	67	101	59	45	86	48	66	25	40	51	36	41	29	32	28	28	31	16	24	35	10	14	19	23	9	10	15	13	17	13	5	4	6	9	9	10	7	5	7	9	2	3	11	8	2	9	5	5	3	4	2	1	2	3	3	1	1	2	3	0	1	1	3	3	1	0	2	1	3	0	0	0	1	1	1	0	0	1	1	2	1	0	1	0	1	0	2	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	4333	810	461	269	436	342	165	352	665	99	213	151	189	66	94	125	65	114	151	36	65	136	43	88	48	77	13	16	24	76	13	17	70	22	41	7	9	38	17	27	7	9	12	10	17	6	11	22	7	5	11	17	4	6	5	8	6	4	1	0	0	6	2	5	3	0	4	4	0	0	7	2	0	5	2	3	1	2	1	0	1	2	2	0	0	2	0	0	0	0	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	7794	2522	1602	1213	990	787	563	651	995	392	411	335	374	223	197	264	181	211	214	116	145	237	109	145	111	133	82	64	82	128	66	37	100	40	71	30	42	64	40	44	32	33	23	31	50	23	19	29	20	15	27	39	10	10	15	16	16	11	10	6	6	13	8	7	8	7	12	9	1	7	11	8	5	9	3	5	3	3	2	7	1	6	3	2	2	3	3	2	1	2	2	2	1	1	1	1	4	6	1	0	2	1	1	0	0	1	1	1	0	0	1	0	0	0	2	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	5341	779	513	293	454	363	143	394	849	104	236	197	260	60	102	166	62	136	165	37	79	176	50	103	66	95	19	25	40	98	14	14	88	17	46	8	10	48	19	27	9	11	9	12	37	17	10	21	9	6	20	32	5	6	5	9	8	2	2	0	3	10	2	4	4	1	4	6	0	1	8	1	0	5	1	4	1	1	1	7	0	5	2	2	0	3	1	1	0	1	1	1	0	0	0	0	2	2	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
