label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168
0.03	north1_all	80	2731	2030	3227	862	518	976	515	393	480	365	289	367	301	309	107	97	136	109	74	83	83	60	43	118	65	74	64	65	30	91	27	27	95	45	25	21	18	43	21	24	17	77	10	7	13	37	17	10	17	12	6	13	10	7	4	9	20	4	4	3	9	3	10	9	7	11	7	3	7	10	8	4	6	6	1	3	13	7	5	4	1	1	1	1	1	1	6	2	2	1	2	1	0	1	2	1	0	3	0	1	1	1	0	1	1	2	1	2	0	0	0	0	3	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north1_active	80	1212	1139	2125	477	245	645	292	215	293	219	176	211	195	187	42	58	62	53	34	45	41	26	19	86	26	45	44	35	14	57	12	11	61	27	5	8	4	20	13	13	7	68	2	4	10	33	12	4	6	5	4	5	3	2	2	4	13	1	1	1	7	2	9	6	5	11	6	0	3	5	6	3	3	3	1	1	12	7	5	2	0	0	1	0	0	0	4	2	0	0	1	1	0	1	1	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north2_all	80	2748	2023	3112	864	478	936	512	377	496	383	284	368	305	306	91	94	137	121	81	87	80	60	42	103	75	68	67	58	29	82	24	21	84	53	23	18	21	47	14	18	17	58	8	4	12	43	14	8	16	13	8	12	12	9	3	9	19	5	4	2	16	4	12	6	6	8	6	4	6	12	6	6	5	6	1	2	8	7	5	4	0	1	1	1	2	2	7	2	0	1	1	2	1	1	3	2	0	3	0	0	1	0	0	1	2	1	1	2	0	1	1	1	3	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1260	1170	2014	490	223	628	309	209	318	224	168	229	192	198	32	49	69	65	41	47	39	34	20	72	34	40	43	30	14	44	14	9	48	31	10	7	7	25	8	10	5	46	2	2	7	35	12	3	8	10	6	5	4	4	2	2	12	2	1	1	13	3	10	4	4	8	3	3	3	4	4	5	2	3	0	1	7	7	5	2	0	0	1	0	0	1	6	2	0	0	0	2	0	1	1	1	0	3	0	0	0	0	0	1	2	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	2680	1996	3144	865	509	914	495	355	510	341	296	375	284	305	97	96	125	125	99	77	78	62	41	106	79	52	68	61	33	73	22	18	84	56	26	22	19	39	23	20	14	60	10	5	16	31	13	7	14	16	4	10	6	8	5	13	20	6	6	2	12	4	20	5	3	3	4	6	4	11	7	5	7	6	3	3	8	8	1	2	0	1	1	0	2	1	7	0	0	3	1	1	1	0	1	2	0	3	0	0	1	1	0	2	2	1	2	1	1	1	1	1	3	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1238	1168	1942	488	255	592	289	200	323	196	175	239	175	192	38	52	66	70	46	47	41	33	19	75	37	31	36	35	19	33	12	9	46	34	16	11	6	21	17	10	5	48	5	1	10	21	9	3	6	10	4	4	3	6	3	5	11	2	1	1	8	2	6	2	2	3	1	5	3	4	5	5	3	4	0	2	3	8	1	0	0	0	1	0	0	1	6	0	0	0	0	1	0	0	0	1	0	3	0	0	0	1	0	1	2	0	1	0	1	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	2650	2023	3228	840	534	883	522	362	477	386	279	371	293	282	103	109	109	128	87	72	78	65	40	90	77	54	62	58	37	66	27	20	76	61	27	18	22	41	23	26	10	38	11	8	13	29	11	5	13	18	4	8	7	9	5	12	23	7	8	1	11	4	19	6	7	5	6	11	4	8	6	3	7	4	6	2	8	2	1	3	0	2	2	1	1	1	4	0	1	2	3	1	2	2	2	2	0	0	1	0	1	1	0	2	2	0	2	1	1	1	1	1	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1192	1165	2005	445	272	551	313	216	296	236	168	238	187	167	45	62	61	82	40	39	34	40	17	60	42	31	33	31	21	31	14	11	35	42	18	11	8	26	20	16	2	27	5	2	8	16	5	1	12	13	4	4	5	7	2	5	15	2	2	0	8	2	4	2	3	4	2	9	1	3	6	3	3	3	1	2	3	2	1	0	0	1	1	0	0	1	3	0	1	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1	2	0	1	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	2658	2050	3230	823	591	901	521	378	431	369	298	365	292	293	111	112	98	134	81	75	84	66	46	81	76	51	57	64	42	59	35	22	64	46	27	17	18	29	26	26	11	47	10	12	13	29	17	6	10	17	5	12	6	7	5	10	16	7	6	1	5	4	19	3	8	5	6	12	3	4	3	3	6	4	6	4	9	2	0	6	3	1	2	1	0	0	6	0	1	2	5	0	1	2	1	0	0	0	1	0	2	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1184	1140	2036	439	287	557	310	232	266	214	188	235	200	187	54	66	52	85	31	39	39	32	19	52	41	29	28	37	23	30	15	13	35	32	16	10	7	17	19	14	2	32	7	5	9	21	6	1	10	9	3	8	6	5	2	6	10	3	1	0	3	2	0	0	3	4	3	11	1	1	3	2	3	3	2	4	4	2	0	3	3	1	1	0	0	0	5	0	1	0	3	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
