label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110
0.03	north1_all	80	7739	1702	1045	1706	870	917	344	478	283	226	176	200	141	115	93	203	103	116	72	180	49	72	37	80	64	48	81	24	48	62	19	27	13	19	28	20	27	20	11	3	10	5	4	7	5	4	3	9	15	10	2	3	10	1	2	1	6	1	3	2	2	2	3	9	0	2	0	0	0	0	1	0	0	0	2	0	0	2	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	4934	800	491	1100	520	562	175	296	133	103	91	105	78	56	36	132	65	67	42	109	26	49	18	46	38	26	67	14	30	46	12	16	7	12	14	7	17	13	6	1	7	2	1	4	2	0	1	6	14	7	0	0	7	0	1	1	2	1	2	2	1	1	3	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	7948	1716	1046	1690	822	932	356	499	289	226	155	198	154	121	85	182	110	112	68	174	45	72	39	75	59	49	76	20	47	59	20	25	13	12	16	16	28	25	18	3	9	7	8	7	10	4	2	6	13	8	3	2	5	4	3	1	6	1	2	2	1	2	3	6	0	1	0	0	0	0	2	0	0	0	2	0	0	1	2	1	0	0	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_active	80	5096	796	495	1059	488	559	171	309	136	113	77	107	81	58	36	108	65	66	37	109	20	49	23	43	32	29	56	12	29	43	12	13	5	6	7	9	17	18	12	2	6	3	3	5	8	1	1	5	11	5	0	0	2	4	2	1	2	1	2	2	0	1	3	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_all	80	8124	1688	980	1728	800	929	368	520	293	239	161	202	140	119	87	187	108	90	70	195	52	80	42	76	62	43	61	27	67	58	12	25	18	22	20	19	23	32	20	5	9	7	9	8	13	3	5	8	8	6	3	3	7	6	2	0	7	2	1	3	0	4	3	7	1	1	1	0	1	0	9	4	0	0	2	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	5217	782	454	1048	472	577	195	331	146	117	76	120	68	54	45	107	65	52	36	146	23	47	21	48	32	25	38	18	43	46	8	14	6	14	12	10	13	19	15	3	5	4	5	5	10	1	1	7	6	3	0	0	4	6	2	0	0	1	1	3	0	2	3	5	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_all	80	8120	1730	993	1769	779	914	372	531	284	237	159	188	136	116	87	173	110	103	77	204	56	91	47	79	46	49	68	35	58	51	14	19	19	23	23	16	17	31	25	6	8	9	10	9	12	3	6	6	7	4	2	3	3	9	5	0	5	1	0	2	2	2	0	2	1	0	1	0	1	1	8	4	0	0	2	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	5139	832	447	1089	449	584	186	303	137	124	76	106	64	55	47	99	67	51	43	163	31	51	24	57	19	27	45	22	35	35	11	9	6	14	13	7	10	18	17	3	4	6	7	4	10	2	2	5	6	1	1	0	2	7	3	0	0	0	0	2	0	1	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_all	80	8159	1725	972	1850	795	888	370	530	282	241	170	176	137	122	94	167	131	95	81	179	56	102	51	99	38	41	73	36	73	62	13	17	26	26	31	12	16	24	16	6	8	9	7	7	11	3	9	7	9	4	3	6	4	11	4	2	9	1	2	1	3	2	0	2	1	0	1	0	1	1	7	4	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	5137	833	448	1147	470	567	190	299	138	122	74	102	65	59	51	100	78	46	44	148	34	58	23	67	19	25	47	21	37	45	8	11	11	15	19	4	9	15	8	3	4	6	6	3	8	1	2	6	8	1	1	2	3	5	2	1	2	0	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	8258	1726	955	1841	774	923	361	546	261	237	171	182	128	106	97	194	143	97	93	183	55	102	45	107	37	45	65	33	73	70	19	19	27	25	20	11	19	33	16	3	7	7	6	6	7	4	11	8	10	10	5	5	2	21	4	3	10	0	2	1	4	0	0	7	1	1	0	0	1	1	7	1	1	1	1	0	3	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	5190	856	447	1184	463	599	177	310	125	122	72	104	66	50	51	115	88	46	47	148	31	55	24	76	15	22	41	18	37	44	8	15	11	15	10	8	10	15	7	1	2	4	3	2	5	2	5	7	10	8	2	2	1	4	2	2	2	0	1	1	0	0	0	6	1	1	0	0	1	1	0	1	0	1	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	7739	1689	1009	1785	724	872	364	491	253	243	169	186	126	110	95	192	123	88	82	139	55	104	45	97	29	33	55	30	58	70	19	18	23	22	24	13	22	25	6	6	7	8	6	5	9	4	9	6	6	9	5	6	2	18	1	3	7	2	4	0	3	1	1	8	2	2	0	1	1	0	1	0	2	1	0	0	4	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0	0	0
0.03	north7_active	80	4877	831	493	1150	440	553	176	272	130	118	72	107	61	52	45	111	73	47	39	103	27	54	24	67	17	14	23	15	33	47	6	13	13	14	14	7	10	12	3	3	3	5	1	2	7	1	4	3	6	9	2	3	1	2	0	2	3	1	1	0	0	0	0	6	2	2	0	0	1	0	0	0	1	1	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0	0	0
0.03	north8_all	80	6649	1685	1011	1476	657	739	353	433	246	237	192	194	114	104	96	180	108	85	72	127	50	80	38	84	40	32	48	26	42	53	21	16	21	20	18	14	15	30	9	8	5	4	6	4	6	5	8	6	7	9	2	5	1	16	0	5	3	3	3	0	3	2	4	7	4	2	1	2	1	5	1	0	2	0	0	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0	0	0
0.03	north8_active	80	4005	846	497	927	386	445	172	246	132	111	89	108	54	45	45	106	69	51	29	89	21	46	21	64	21	9	22	11	30	27	6	12	10	10	10	7	5	14	5	3	2	2	0	2	5	1	4	3	6	9	1	2	0	0	0	4	1	1	0	0	0	0	3	6	3	2	0	1	1	1	0	0	1	0	0	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0	0	0
0.03	north9_all	80	5361	1665	1051	1240	624	647	339	382	262	223	183	177	126	109	108	142	94	87	60	115	47	75	43	63	43	29	50	27	30	46	20	13	15	16	20	13	12	18	9	13	10	5	6	5	8	5	7	5	2	15	1	6	1	4	0	2	2	4	2	0	2	2	4	1	4	1	1	2	1	6	1	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	5	0	0	0
0.03	north9_active	80	3058	833	525	729	330	384	168	208	132	113	89	91	54	54	50	80	51	57	23	72	18	46	18	47	23	7	22	10	17	21	6	8	7	6	10	3	5	13	7	5	4	3	1	2	7	2	4	2	1	11	0	2	0	0	0	2	1	2	0	0	1	0	3	0	3	1	0	1	1	2	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	5	0	0	0
