label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120
0.03	north1_all	80	14556	3334	2335	4024	1993	761	754	570	515	488	1069	445	393	238	262	466	214	131	107	124	270	196	113	160	130	147	57	46	31	47	66	75	42	20	14	49	41	19	24	14	14	11	11	29	11	8	5	9	11	7	4	7	14	16	9	2	8	3	5	3	1	6	1	6	4	5	4	1	1	0	1	2	2	0	0	0	1	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	12205	1534	1371	3588	1627	271	435	285	269	331	962	340	294	99	163	426	155	46	42	65	247	161	90	136	108	120	12	9	15	33	42	67	36	10	2	39	37	10	17	8	7	6	3	29	6	0	1	2	5	5	4	3	13	13	9	0	4	1	3	2	0	6	0	3	3	3	2	1	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	14574	3339	2334	4050	1997	764	756	571	513	508	1075	435	433	230	247	494	197	123	115	124	279	203	121	153	117	148	59	45	36	45	65	55	38	22	21	58	28	17	20	16	11	10	14	21	10	5	4	11	11	2	4	8	9	8	7	2	5	4	5	2	1	8	1	6	7	6	4	1	1	2	2	3	1	0	0	0	5	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_active	80	12191	1538	1330	3605	1619	282	450	307	263	346	975	318	331	102	156	451	141	38	41	64	255	165	97	125	96	118	17	5	16	35	40	44	31	14	5	53	26	10	14	7	5	7	7	19	5	0	0	3	5	1	3	4	9	6	7	1	3	4	2	1	0	6	0	3	5	4	2	1	1	2	2	2	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	14511	3393	2291	4258	1966	764	793	599	518	509	1164	452	456	246	232	485	194	140	122	143	293	179	133	165	113	119	55	36	31	40	60	51	36	30	21	52	20	13	18	17	10	15	16	28	9	3	4	15	13	1	4	7	12	7	9	2	8	8	3	0	2	5	1	2	11	1	1	3	3	2	2	1	1	1	1	1	4	1	0	0	0	2	0	0	2	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0
0.03	north3_active	80	12144	1592	1308	3807	1556	272	467	316	263	345	1062	331	350	120	147	435	133	37	47	82	272	143	111	137	89	95	15	6	14	27	41	43	27	20	6	49	18	7	13	7	4	10	8	26	3	0	2	5	5	0	3	4	10	5	7	1	5	7	1	0	1	3	0	1	10	1	1	3	1	2	2	0	0	1	1	1	4	0	0	0	0	1	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	14690	3354	2302	4195	2046	815	833	605	518	523	1171	433	444	236	242	467	187	130	131	135	293	206	120	155	102	151	46	39	35	42	57	59	40	25	23	61	24	12	13	12	9	16	19	35	9	8	4	16	15	2	5	3	13	10	8	1	5	7	4	0	1	5	2	3	12	1	0	3	3	2	3	1	1	1	2	1	5	1	0	1	0	2	0	0	1	1	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	12322	1598	1330	3738	1603	276	507	321	263	357	1073	313	338	121	158	408	126	42	52	74	267	181	96	133	80	124	15	10	14	30	38	49	31	19	6	58	23	6	10	5	4	8	11	31	3	2	3	6	4	2	3	1	11	6	6	1	4	6	3	0	1	3	0	3	11	1	0	3	0	2	1	0	0	1	2	1	5	0	0	0	0	1	0	0	1	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	14859	3298	2307	4056	2011	838	857	610	535	527	1141	416	450	222	234	418	191	135	137	125	287	173	92	161	94	129	43	47	34	40	60	58	39	28	23	56	26	13	17	15	14	17	15	32	10	13	7	12	17	3	5	3	15	10	7	2	6	7	4	1	1	3	1	6	10	1	0	3	4	1	3	0	1	3	2	1	5	1	0	1	0	2	0	0	0	3	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
0.03	north5_active	80	12492	1548	1353	3581	1564	279	500	329	290	354	1050	324	342	111	152	356	119	45	55	67	262	144	72	136	67	102	11	12	9	26	43	51	29	15	7	53	25	5	12	6	6	8	6	29	4	2	4	6	5	3	3	1	13	8	4	2	5	6	3	0	1	3	0	6	9	1	0	3	1	0	1	0	0	2	2	1	5	0	0	0	0	1	0	0	0	2	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
