label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52
0.03	north1_all	80	47485	17288	8477	10247	8321	2478	2043	1407	1047	1049	576	423	445	444	187	292	151	121	149	73	45	65	50	81	44	14	13	32	8	8	8	7	7	6	9	2	4	4	3	1	2	2	0	1	2	0	0	1	0	0	0	2	0
0.03	north1_active	80	29692	8963	2699	8393	7152	736	1015	593	485	754	187	104	268	342	44	238	70	55	126	11	8	38	37	70	25	5	8	23	5	6	2	6	3	2	7	1	3	4	3	1	1	0	0	1	0	0	0	1	0	0	0	2	0
0.03	north2_all	80	47521	17312	8527	10406	8369	2511	2131	1339	1078	1106	582	442	423	466	213	301	150	119	164	69	48	67	47	70	55	15	17	26	7	9	10	6	8	7	14	2	3	1	0	1	3	2	0	0	1	0	0	0	0	0	0	2	0
0.03	north2_active	80	29793	8887	2659	8576	7197	708	1088	552	484	790	181	112	247	364	51	243	68	52	139	12	9	33	35	58	35	4	12	18	4	4	3	4	2	2	13	2	3	1	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north3_all	80	47345	17359	8560	10404	8446	2541	2155	1382	1024	1123	579	448	392	486	202	269	153	118	183	65	47	48	40	67	56	11	11	23	6	9	11	4	7	4	12	3	1	1	7	1	2	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	29624	8817	2648	8580	7278	720	1111	579	449	800	189	110	221	382	46	211	73	47	149	12	10	23	23	51	38	2	9	13	3	4	4	2	2	2	12	2	1	1	7	1	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	47399	17364	8481	10473	8683	2466	2147	1330	1090	1139	566	465	389	514	195	275	140	118	192	59	54	48	40	73	56	10	12	20	7	6	10	2	5	2	7	2	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	2
0.03	north4_active	80	29808	8810	2621	8546	7507	727	1115	563	464	801	176	118	221	405	48	213	76	46	162	11	12	24	23	60	37	1	7	12	1	0	5	1	1	0	7	1	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	2
0.03	north5_all	80	47646	17500	8498	10448	8630	2468	2061	1337	1084	1138	579	435	380	500	172	242	139	127	193	59	57	50	38	57	37	12	13	20	8	2	9	5	4	1	5	2	0	0	7	0	1	0	0	0	1	0	0	0	0	0	0	0	2
0.03	north5_active	80	29803	8906	2661	8474	7464	761	1050	579	466	800	189	103	202	366	43	181	79	57	164	14	16	30	22	49	24	1	5	14	1	0	7	3	1	0	5	1	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	2
0.03	north6_all	80	47752	17569	8513	10407	8453	2481	2025	1312	1078	1155	596	423	429	462	176	241	115	127	204	63	57	61	35	57	32	17	13	19	9	2	12	5	4	1	1	0	0	0	9	0	1	0	0	1	1	0	0	0	5	0	0	0	2
0.03	north6_active	80	29729	8988	2654	8398	7272	793	997	534	484	813	202	100	245	330	37	182	63	56	174	15	15	40	21	52	23	3	3	13	1	1	8	3	1	0	1	0	0	0	9	0	1	0	0	0	0	0	0	0	5	0	0	0	2
0.03	north7_all	80	47720	17689	8433	10443	8208	2451	1963	1324	1101	1164	613	388	445	451	178	257	129	121	213	66	46	60	33	42	25	19	17	10	9	7	9	9	8	3	1	0	1	1	2	0	6	0	0	1	1	0	0	0	5	0	0	0	0
0.03	north7_active	80	29686	9131	2634	8433	7055	769	952	525	489	802	198	92	254	315	37	193	70	61	184	12	11	41	20	33	18	2	4	7	1	5	4	7	1	0	1	0	1	0	2	0	6	0	0	0	0	0	0	0	5	0	0	0	0
0.03	north8_all	80	47198	17681	8468	10389	8144	2466	1904	1357	1096	1078	600	398	443	422	189	282	128	115	172	70	48	53	34	56	20	20	14	7	10	9	9	9	7	4	0	1	1	12	2	0	6	0	0	1	0	0	0	0	5	0	0	0	0
0.03	north8_active	80	29387	9129	2626	8402	6989	753	898	549	485	757	186	87	281	301	41	225	59	56	142	9	11	35	22	44	14	2	5	5	2	6	4	7	1	1	0	0	1	11	2	0	6	0	0	0	0	0	0	0	5	0	0	0	0
0.03	north9_all	80	47237	17421	8513	10270	8330	2456	1893	1410	1108	1076	566	423	430	398	195	271	146	108	195	69	48	56	33	54	18	23	13	5	11	13	4	8	6	3	0	1	2	13	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	29522	8988	2650	8280	7159	727	919	567	479	757	161	99	263	288	45	210	63	59	168	11	10	37	23	42	13	4	6	4	3	9	0	8	1	1	0	0	1	11	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	47140	17374	8599	10273	8433	2473	1900	1436	1108	1081	539	422	424	409	195	273	152	94	184	66	49	58	26	61	20	23	13	10	9	7	4	10	7	4	0	3	4	13	3	1	7	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	29515	9034	2701	8279	7228	732	929	588	483	759	157	118	259	312	52	211	67	47	154	16	11	30	15	46	12	4	6	7	3	5	0	8	0	1	0	1	3	12	3	1	7	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	47633	17243	8490	10258	8304	2545	2125	1369	1056	1029	560	416	455	472	184	276	133	87	226	69	44	58	40	47	25	13	12	10	12	12	6	10	2	4	7	4	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0
0.03	north11_active	80	29786	8960	2652	8371	7195	760	1059	572	426	703	167	110	264	367	44	197	48	39	199	14	9	35	28	39	14	3	7	7	7	9	2	4	0	1	5	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	47894	17178	8470	10244	8436	2532	2059	1379	1062	1048	579	422	433	410	180	256	151	86	199	69	38	52	45	64	29	12	16	14	10	14	8	7	3	4	7	3	4	2	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0
0.03	north12_active	80	30148	8978	2608	8346	7334	768	1029	591	430	732	178	106	243	314	41	183	68	30	172	15	7	28	35	58	17	4	9	9	6	9	4	5	0	2	5	1	2	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north13_all	80	47690	17296	8496	10050	8283	2550	2084	1394	994	1093	603	439	420	411	199	263	142	87	185	66	43	47	44	83	25	18	14	19	13	7	7	9	5	1	9	3	5	1	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0
0.03	north13_active	80	29855	9019	2669	8164	7146	805	1060	575	411	791	188	100	251	300	45	191	67	33	161	16	5	24	31	74	14	7	8	14	8	2	4	6	1	1	8	1	2	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north14_all	80	47491	17093	8429	10103	8089	2576	2058	1436	1003	1066	603	418	399	368	217	232	155	90	200	66	43	41	44	87	21	13	11	19	9	5	7	10	6	4	5	2	5	0	3	0	0	0	0	0	1	0	1	1	4	0	0	0	0
0.03	north14_active	80	29788	8838	2589	8213	6958	844	1053	605	407	762	191	96	235	263	50	168	78	34	175	18	6	21	32	77	11	4	2	13	4	1	4	8	1	3	3	0	2	0	3	0	0	0	0	0	0	0	1	1	4	0	0	0	0
0.03	north15_all	80	47111	17062	8441	10241	7839	2607	2023	1416	1028	1092	586	419	372	390	221	249	146	101	212	70	54	45	53	71	25	16	9	18	9	5	5	9	6	3	5	5	1	2	0	0	0	0	0	0	1	0	1	1	4	0	0	0	0
0.03	north15_active	80	29611	8808	2632	8315	6710	841	1026	601	434	771	194	100	241	290	56	188	65	41	193	18	11	21	37	60	12	3	3	15	4	1	0	8	2	2	3	3	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0
0.03	north16_all	80	46524	17154	8409	10334	8139	2528	2017	1409	1074	1079	576	415	366	430	226	265	137	100	187	70	50	56	50	65	28	13	9	26	12	6	7	7	4	4	3	4	0	2	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0
0.03	north16_active	80	29093	8805	2605	8433	7007	815	974	598	468	742	198	110	231	332	59	203	65	40	167	14	12	28	35	58	16	0	1	19	6	1	1	7	1	2	2	3	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0
0.03	north17_all	80	46629	17367	8321	10423	8283	2462	1996	1379	1064	1101	571	446	368	432	217	277	135	118	157	78	52	59	71	52	30	11	10	27	13	7	7	8	4	4	2	4	1	2	0	0	0	0	1	0	0	1	0	1	4	0	0	0	0
0.03	north17_active	80	29141	8914	2572	8491	7142	733	956	599	460	741	192	119	226	344	61	212	65	40	137	11	11	27	53	46	18	0	2	21	3	4	1	7	1	2	2	3	1	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0
0.03	north18_all	80	47014	17513	8381	10337	8371	2447	2011	1384	1113	1063	572	463	415	443	205	283	138	126	172	77	46	63	57	47	38	12	14	23	12	6	4	11	3	3	2	1	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0
0.03	north18_active	80	29396	9047	2585	8420	7246	751	963	583	484	716	182	113	254	352	60	214	73	45	156	7	9	35	37	43	28	2	4	18	3	4	1	10	1	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	47224	17509	8536	10071	8417	2484	2029	1421	1061	1092	586	457	449	430	192	306	151	110	154	68	51	49	60	58	40	18	14	16	11	8	3	12	1	4	1	2	1	0	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0
0.03	north19_active	80	29545	9111	2624	8153	7287	741	995	592	465	738	193	110	276	333	57	245	84	39	139	9	10	27	33	48	29	3	6	13	3	7	0	10	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	47013	17302	8630	9957	8375	2552	2033	1437	1106	1061	574	444	471	444	195	284	154	105	161	65	53	54	50	45	38	19	14	15	5	4	2	11	0	2	1	2	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north20_active	80	29421	8963	2726	8082	7189	773	1002	573	489	712	190	108	300	355	57	218	86	43	144	13	12	30	22	34	27	4	6	11	2	3	0	9	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	45376	17034	8613	9517	7654	2509	1958	1414	1051	1044	603	420	449	388	220	259	118	100	229	68	57	56	34	39	32	19	15	8	11	10	8	8	2	4	2	4	2	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0
0.03	south21_active	80	26942	8172	2452	7468	6458	675	895	546	425	691	188	108	255	284	53	169	47	39	197	18	12	27	23	30	20	7	5	4	4	2	5	4	0	2	1	3	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	45325	17131	8628	9401	7728	2502	1920	1404	1014	1011	587	423	426	420	227	265	132	103	214	68	62	60	43	62	35	17	11	7	12	8	9	7	6	3	9	2	2	1	1	2	1	0	2	0	0	0	0	0	0	0	0	0	0
0.03	south22_active	80	27044	8193	2441	7387	6534	686	870	546	443	665	171	106	246	317	47	171	55	39	182	19	14	26	28	51	21	7	4	4	3	3	4	5	1	2	7	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	46026	17338	8645	9691	8140	2522	2008	1457	1002	1071	590	415	430	462	207	238	141	108	168	59	60	59	39	75	33	21	15	7	11	8	5	20	7	3	9	0	2	1	1	2	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south23_active	80	27785	8559	2495	7700	6937	721	944	606	447	705	166	113	260	359	43	160	53	49	138	17	14	25	28	61	18	6	5	4	3	4	0	19	1	2	7	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
