label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100
0.03	north1_all	80	3899	1676	4035	743	537	449	958	851	284	205	136	420	227	101	356	94	84	75	88	70	37	30	36	39	26	26	64	17	20	25	20	14	11	38	4	37	11	6	1	3	4	3	5	9	2	2	9	2	1	0	2	3	4	0	4	15	0	0	2	1	1	1	0	0	0	1	0	2	0	1	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1791	538	3663	300	243	177	837	741	156	63	39	381	177	31	332	31	35	34	54	45	8	12	16	21	5	17	60	7	12	16	14	4	3	30	2	36	11	4	0	1	1	3	3	4	0	1	6	1	0	0	2	2	3	0	4	14	0	0	1	1	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	3879	1632	4031	754	551	451	1010	863	277	206	146	409	231	107	442	105	92	73	84	60	34	30	36	40	26	38	92	21	19	26	18	21	10	49	7	38	12	5	2	5	3	2	5	7	1	4	8	4	1	0	6	2	4	1	3	18	0	1	1	1	1	1	0	0	0	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1761	519	3660	286	256	173	886	765	139	60	46	371	182	30	418	37	42	31	53	40	9	13	18	24	6	27	88	10	14	16	12	5	1	42	4	36	11	4	0	3	2	0	3	2	0	1	5	1	0	0	6	1	3	1	3	17	0	0	1	1	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3881	1609	3933	792	585	435	937	863	265	195	126	392	222	116	460	96	100	79	74	72	41	37	38	46	30	37	96	20	21	26	21	20	11	46	9	16	12	3	3	4	7	5	4	5	2	4	3	3	6	0	6	9	3	1	3	12	0	1	1	2	1	1	0	0	0	0	0	3	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1805	510	3596	304	271	166	820	772	148	57	41	351	178	28	439	38	49	38	43	51	12	15	20	26	8	28	92	8	15	19	10	4	2	41	4	12	11	3	0	3	6	3	2	1	0	2	2	0	1	0	5	8	3	1	3	12	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	3873	1548	3969	764	565	420	936	827	262	174	132	394	212	109	522	85	103	69	69	67	39	38	31	47	40	39	91	25	21	21	22	18	10	51	10	18	19	6	4	3	7	10	2	6	3	4	3	4	6	0	5	12	4	2	6	3	1	1	4	2	0	1	0	0	2	1	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1769	482	3615	315	266	163	816	735	140	50	44	351	167	26	498	34	53	33	44	43	14	14	18	25	11	27	86	9	16	15	8	5	4	48	3	13	18	3	1	2	5	8	0	1	1	1	2	1	1	0	4	11	4	2	5	3	1	0	2	2	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	3943	1519	3931	729	596	423	853	836	265	179	134	433	204	104	523	66	93	73	59	65	38	42	38	49	40	39	86	22	13	29	16	13	10	55	11	20	21	4	5	5	9	9	2	4	3	3	1	3	9	2	4	13	3	2	6	2	1	1	4	2	1	0	0	0	2	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1819	469	3574	309	291	166	747	748	143	52	37	390	151	24	500	28	53	40	35	40	14	17	15	22	12	28	81	6	10	20	4	5	5	52	2	13	20	1	1	2	8	8	1	1	1	1	0	2	1	0	3	11	3	1	4	2	1	0	2	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	3862	1563	4073	715	595	437	862	847	260	177	130	406	217	109	481	66	78	59	59	56	39	45	30	48	34	32	99	20	13	23	16	13	10	88	9	17	21	7	4	3	12	10	3	3	2	2	4	3	6	2	4	6	1	2	7	2	1	1	3	1	1	1	1	0	2	1	0	1	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north6_active	80	1825	495	3688	300	295	172	756	748	132	53	33	369	166	30	457	25	39	38	35	34	11	22	13	20	11	17	91	8	7	17	4	6	4	84	1	13	19	1	1	1	9	9	2	1	1	0	3	2	0	0	4	5	1	1	4	2	1	0	2	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north7_all	80	3844	1631	4109	727	589	449	843	915	267	191	150	395	251	107	467	74	79	52	72	61	35	44	30	43	34	31	121	18	18	25	11	11	9	95	11	20	22	4	5	7	9	16	4	3	2	3	5	3	5	3	8	4	1	2	7	2	0	2	0	1	1	2	1	0	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north7_active	80	1825	521	3735	286	275	184	734	813	140	55	40	354	194	32	443	26	46	33	40	42	11	25	10	19	9	15	110	8	9	19	2	5	3	92	2	16	20	0	0	2	6	15	2	2	1	0	4	1	1	0	7	3	1	1	4	2	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north8_all	80	3829	1677	4141	763	602	423	811	902	270	206	171	370	224	101	417	75	73	61	73	69	36	47	26	32	34	25	124	15	20	21	9	11	11	110	8	21	26	5	7	6	9	12	3	3	1	2	7	2	3	4	8	2	1	1	5	5	0	1	2	2	2	2	1	1	0	1	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north8_active	80	1826	572	3787	293	287	168	711	793	141	57	48	316	180	26	387	25	37	30	36	51	10	26	10	18	8	8	112	6	10	17	1	3	3	107	2	16	24	2	1	2	5	11	2	3	1	0	5	0	1	0	7	2	0	1	2	5	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north9_all	80	3869	1670	4138	778	562	408	773	934	272	195	182	379	231	93	362	70	75	52	68	64	38	49	26	28	33	22	105	15	17	23	9	13	11	93	6	20	22	9	8	4	4	11	5	3	1	2	6	2	2	5	7	2	1	1	2	6	0	1	2	1	1	2	0	1	0	1	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north9_active	80	1811	560	3795	298	246	161	687	825	142	54	53	323	184	21	336	22	38	23	40	49	10	27	14	19	8	9	95	5	10	18	2	3	4	89	1	16	21	4	1	1	2	11	3	3	1	0	4	0	1	0	6	2	0	1	0	6	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north10_all	80	3896	1652	3948	774	563	404	806	923	282	197	183	413	231	91	332	75	78	54	68	63	42	40	23	25	27	23	85	15	13	19	10	14	15	89	4	16	19	7	9	4	5	9	5	6	1	5	4	1	2	5	6	2	1	1	4	8	1	1	2	1	1	1	0	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	1823	573	3601	300	261	161	701	816	152	53	58	354	184	22	307	27	40	23	40	49	9	17	12	18	6	15	73	6	6	15	2	3	5	87	0	12	15	4	1	3	3	9	3	5	1	0	2	0	0	0	5	2	0	1	3	8	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
