label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103
0.03	north1_all	80	12161	3618	1439	1788	2122	920	1160	924	379	273	316	231	305	174	139	92	100	235	210	90	64	110	68	58	49	54	88	42	43	27	51	36	21	16	13	14	13	19	7	15	10	20	3	9	20	10	9	4	10	3	4	2	2	4	1	3	4	3	1	1	2	1	0	1	1	2	2	1	0	0	1	0	0	0	1	0	1	1	2	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	7848	2079	633	1068	1373	539	756	560	183	142	195	120	172	99	58	44	49	159	136	50	34	68	32	32	30	32	62	28	23	14	40	15	7	9	9	8	5	11	3	8	5	12	2	8	9	8	8	2	6	2	2	2	2	4	1	1	2	2	0	0	1	0	0	1	1	1	2	0	0	0	0	0	0	0	1	0	0	1	2	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	12134	3692	1425	1834	2085	924	1190	987	374	290	326	232	302	177	146	88	99	222	190	91	57	133	78	57	45	55	85	32	50	20	45	32	26	15	16	13	12	25	8	14	11	16	4	3	20	2	4	4	7	3	2	2	2	1	2	2	5	6	1	1	3	2	0	1	0	1	2	0	0	0	1	0	0	0	1	0	0	0	2	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	7876	2158	658	1091	1345	524	770	651	198	144	214	118	169	91	60	40	47	151	116	52	26	96	40	29	30	34	64	20	31	12	31	15	14	8	10	9	5	16	4	7	5	9	2	3	8	1	3	3	3	2	0	1	1	1	2	0	2	4	0	0	1	0	0	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	2	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	12267	3770	1394	1827	2061	896	1206	1010	348	284	354	221	284	169	151	99	103	244	170	89	71	133	80	58	42	57	75	33	66	24	48	38	31	15	30	10	10	30	11	14	13	12	4	5	21	5	7	3	3	4	2	2	3	1	3	0	5	6	0	1	3	2	0	1	0	0	2	0	0	0	0	0	0	0	1	5	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	7960	2207	637	1118	1376	500	804	664	190	139	221	111	165	75	68	42	51	159	104	54	34	93	40	29	22	36	51	24	35	16	30	23	22	7	19	7	4	20	6	7	7	4	2	2	10	4	6	2	2	3	0	1	2	1	3	0	2	3	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	12276	3821	1376	1821	1989	919	1232	1068	365	291	340	213	247	175	146	88	87	204	179	88	70	154	73	60	40	65	65	43	84	20	60	37	29	21	30	12	10	26	12	13	10	15	5	15	13	5	9	6	3	6	0	1	5	0	5	2	3	7	1	0	4	1	0	1	0	0	0	0	0	1	0	0	0	0	0	7	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	7925	2242	623	1116	1328	526	817	727	200	138	207	107	147	85	69	38	39	130	100	48	34	114	43	33	17	41	43	27	56	13	39	23	21	10	17	6	5	19	7	7	5	8	2	8	9	5	7	4	2	3	0	0	2	0	4	1	2	5	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	12127	3750	1414	1772	1958	885	1336	1003	365	287	336	221	257	175	142	89	82	219	161	79	75	145	77	63	43	73	71	54	74	22	63	47	31	24	25	10	12	24	10	16	18	13	7	16	12	10	8	6	8	7	0	1	6	0	5	3	0	4	1	0	1	0	0	1	1	0	0	0	0	1	6	0	0	0	0	7	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	7814	2176	647	1075	1324	522	889	639	197	139	196	113	154	89	72	41	37	142	88	40	34	104	43	39	18	42	48	28	50	9	43	31	20	12	14	4	9	19	5	8	14	7	2	9	9	8	6	3	6	3	0	1	3	0	4	2	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
