label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101
0.03	north1_all	80	8427	4476	1769	2227	1376	475	374	647	233	363	293	268	274	135	214	130	147	80	66	79	59	56	61	43	36	33	28	29	20	19	21	35	12	23	9	12	23	35	4	9	2	5	5	2	6	2	4	7	2	1	1	1	1	5	2	3	1	3	0	0	2	2	0	1	0	0	5	0	2	1	0	1	0	0	0	0	1	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	5306	2885	1036	1465	819	228	184	361	113	214	164	161	190	83	127	71	82	42	28	39	38	29	31	26	16	17	16	14	12	9	16	19	8	15	3	6	16	25	2	4	2	3	4	2	5	1	2	5	1	0	0	1	1	4	2	1	1	1	0	0	0	2	0	0	0	0	5	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	8685	4486	1774	2165	1424	469	389	660	228	355	279	281	318	137	206	121	132	78	71	74	64	68	60	38	36	37	40	30	23	18	17	49	11	26	8	7	21	30	7	7	2	5	13	5	7	3	5	6	3	3	1	0	0	3	2	2	1	4	0	0	2	2	0	1	0	0	3	1	0	1	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	5534	2915	1036	1393	898	228	197	401	110	213	162	184	206	83	123	69	77	44	29	38	38	38	32	16	16	20	23	17	12	7	10	36	5	18	4	2	14	20	2	2	2	2	4	3	7	1	3	5	2	2	0	0	0	2	2	1	1	0	0	0	0	2	0	0	0	0	3	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	8464	4510	1742	2188	1460	479	381	645	229	370	270	266	324	150	203	119	144	76	72	76	60	77	61	41	38	37	49	28	19	18	16	56	14	32	11	16	21	28	8	5	4	9	18	6	5	4	5	5	3	3	2	0	1	3	2	1	2	3	0	0	0	0	1	0	0	1	2	1	1	5	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	5382	2961	986	1393	930	226	202	402	119	224	146	172	201	87	129	61	89	41	29	40	39	41	35	15	14	19	34	17	8	8	8	47	6	22	4	10	13	20	3	2	3	6	5	3	5	2	3	5	2	2	0	0	1	1	2	1	2	0	0	0	0	0	1	0	0	0	2	1	0	5	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	8385	4449	1775	2159	1409	495	367	618	240	385	278	272	292	155	202	122	128	75	60	71	56	68	56	43	37	35	46	27	20	22	22	62	12	30	10	18	14	14	11	5	6	9	17	8	6	4	3	6	3	4	11	0	1	2	0	1	3	2	0	0	1	0	1	0	1	1	1	1	1	5	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	5305	2930	1005	1349	884	227	188	398	117	241	154	169	172	83	126	72	87	43	25	43	35	36	28	14	16	18	31	18	9	12	11	53	6	19	5	12	8	9	5	2	3	6	3	2	6	2	1	6	2	3	8	0	1	1	0	1	3	0	0	0	1	0	1	0	1	0	1	1	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	8275	4508	1752	2202	1381	506	378	622	236	401	273	281	269	159	199	110	138	69	54	77	57	56	45	41	31	39	42	22	19	16	27	54	13	31	13	19	11	12	9	3	6	11	9	10	5	2	1	2	1	3	16	1	4	2	0	0	3	1	0	0	1	0	1	0	1	2	1	1	1	5	0	0	2	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	5151	2926	1002	1417	852	233	185	390	121	254	146	182	159	84	131	61	93	37	25	49	42	27	22	15	13	18	31	14	8	10	13	52	7	16	5	12	4	10	5	1	2	8	2	4	5	1	0	2	1	1	12	1	1	1	0	0	3	0	0	0	1	0	1	0	1	1	1	1	0	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
