label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110
0.03	north1_all	80	26231	10454	17232	6821	3245	5055	2999	1694	1747	1071	1715	2001	693	638	528	587	397	763	295	318	338	283	239	291	329	151	106	175	93	118	176	155	59	62	46	77	31	48	65	51	71	22	15	34	11	37	16	14	12	14	23	8	4	6	16	2	3	5	1	4	2	5	5	3	0	6	0	4	2	1	8	3	1	2	2	1	1	3	1	0	0	2	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north1_active	80	13084	4650	11034	3798	1480	3122	1677	784	914	496	1033	1253	305	313	240	315	175	487	122	155	190	161	137	170	180	79	46	96	47	60	94	96	29	34	21	48	18	29	43	34	49	8	6	21	3	23	8	5	9	5	12	3	3	6	7	1	2	1	0	2	1	3	2	1	0	5	0	1	1	0	8	2	0	1	1	0	0	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north2_all	80	26317	10373	17237	6898	3314	5210	2921	1688	1698	1074	1687	1977	690	660	554	608	412	790	287	321	341	279	217	300	307	133	120	187	104	111	148	164	54	61	45	68	27	49	63	75	77	23	18	27	13	35	12	15	11	22	21	10	8	3	18	4	5	4	2	6	3	4	5	2	1	5	0	3	3	1	8	3	0	1	2	0	1	1	2	0	1	2	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	13113	4547	10863	3915	1507	3188	1657	804	896	492	1025	1233	315	325	264	341	185	523	117	163	199	160	117	185	157	70	56	93	56	64	81	109	25	32	23	41	16	26	35	51	54	10	9	15	4	18	7	5	7	15	10	3	3	3	12	1	3	1	0	5	2	2	1	1	0	4	0	1	2	0	8	2	0	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	26231	10415	17211	6809	3339	5377	3031	1696	1662	1039	1659	2085	671	630	561	592	392	758	290	309	344	275	200	338	306	136	123	177	88	120	159	162	50	50	42	69	29	61	61	64	85	26	16	25	15	35	11	12	7	22	15	6	7	2	18	7	5	4	2	8	5	6	3	4	2	5	0	2	2	4	2	4	0	1	1	0	0	0	1	0	2	1	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north3_active	80	13046	4601	10946	3860	1501	3262	1705	800	880	453	995	1337	313	309	277	342	195	474	124	165	195	152	101	225	172	66	62	99	45	63	114	107	23	24	20	40	17	39	32	37	58	11	8	10	4	21	7	5	5	15	4	2	3	0	12	3	3	0	0	7	4	4	1	2	1	3	0	0	2	1	2	2	0	1	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	26299	10417	17154	6767	3338	5411	3129	1718	1679	1077	1629	2118	681	646	593	597	374	732	308	282	380	266	206	339	327	138	121	194	81	131	137	146	51	53	38	69	30	53	50	74	104	29	17	27	23	30	9	12	9	22	10	7	8	4	27	8	5	3	3	5	5	4	5	5	4	2	0	1	1	4	6	3	0	0	1	2	0	0	2	0	2	1	0	0	1	2	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	13072	4663	10923	3835	1493	3285	1774	805	868	449	937	1405	319	300	294	357	181	425	132	151	240	154	104	221	189	64	59	123	41	71	94	104	24	29	17	42	17	31	24	33	72	13	11	10	9	18	6	5	3	15	4	2	2	0	11	4	3	0	1	5	4	3	3	4	1	1	0	0	1	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	26240	10445	17248	6784	3271	5320	3190	1774	1730	1086	1686	2109	654	621	612	598	362	740	301	282	387	261	216	312	340	135	120	204	82	146	166	157	48	47	37	61	38	56	56	59	108	22	13	30	21	22	12	12	10	18	14	5	7	9	22	11	6	4	2	4	6	4	2	7	3	3	1	2	1	3	6	1	0	1	1	3	0	0	1	0	1	1	0	0	1	2	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
0.03	north5_active	80	12996	4662	10963	3835	1459	3226	1837	849	904	455	996	1386	306	288	302	355	172	431	139	147	243	153	122	209	227	60	60	128	38	75	116	122	22	25	17	39	24	39	36	21	74	12	11	11	10	11	8	5	5	13	8	2	3	1	11	7	3	1	1	4	4	2	2	6	1	2	0	1	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north6_all	80	26074	10449	17034	6641	3256	5386	3267	1737	1727	1121	1704	2153	693	621	608	611	365	818	310	301	410	291	232	270	340	134	123	201	79	128	160	176	56	51	47	43	40	52	70	70	54	16	16	33	16	21	13	10	15	18	11	6	5	11	23	9	6	6	7	5	6	2	5	7	2	3	3	2	0	1	6	1	0	1	2	3	0	0	2	0	2	1	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north6_active	80	13007	4678	10686	3737	1423	3282	1902	848	875	492	992	1390	322	289	312	343	173	513	145	161	264	160	131	174	226	59	60	126	42	70	100	127	24	24	24	27	25	25	43	30	35	11	11	13	7	12	5	4	7	13	6	4	1	3	12	5	2	2	4	5	3	1	4	5	0	2	0	1	0	0	1	1	0	1	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north7_all	80	25832	10276	17320	6627	3315	5332	3176	1774	1668	1119	1738	2137	642	619	589	607	362	836	303	314	417	305	216	259	333	143	125	207	79	128	178	182	59	47	52	48	43	51	78	76	57	10	20	31	15	16	12	11	10	16	13	8	4	13	16	9	4	7	9	4	5	2	3	7	1	3	3	2	0	0	1	2	3	1	1	1	2	0	1	0	2	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north7_active	80	12906	4649	10958	3779	1449	3253	1829	843	837	490	1011	1365	296	315	298	354	177	565	142	164	258	163	117	172	214	66	60	118	43	79	109	130	25	18	26	28	26	27	49	38	24	6	14	12	7	10	4	5	7	14	6	5	1	5	12	5	1	5	5	4	2	1	2	5	1	1	0	1	0	0	1	1	1	1	0	0	2	0	0	0	2	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north8_all	80	25834	10222	17122	6608	3302	5264	3151	1762	1609	1141	1746	2130	664	655	551	605	360	917	272	330	408	315	211	259	377	138	119	170	93	117	207	180	55	63	52	49	36	63	76	72	83	8	17	27	12	20	12	7	18	16	13	7	4	9	19	5	3	5	8	4	2	3	4	4	14	3	4	1	4	0	0	2	3	0	1	1	2	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	12829	4581	10713	3721	1487	3178	1760	842	829	498	964	1354	296	326	287	344	175	599	119	167	235	164	114	171	247	63	61	108	51	73	116	127	23	28	26	28	21	33	42	42	46	4	11	10	7	11	5	3	9	13	7	4	2	4	16	2	1	4	5	4	1	1	2	1	13	0	1	0	4	0	0	1	1	0	0	0	2	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	25982	10086	17452	6592	3377	5307	3105	1805	1668	1151	1685	2043	691	610	557	601	397	915	265	325	378	314	202	287	361	131	117	165	96	123	186	149	60	58	53	50	38	69	58	52	81	10	17	29	13	14	8	6	17	18	17	9	6	9	16	7	2	3	6	1	3	3	4	5	14	3	1	1	7	2	0	4	4	1	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	12931	4496	11053	3755	1570	3172	1739	868	841	495	932	1322	289	297	287	338	184	599	112	156	206	185	104	190	233	64	54	90	47	67	109	100	22	27	26	26	20	38	29	30	46	4	9	20	8	5	4	2	9	12	10	6	3	5	14	4	2	3	4	1	3	1	1	3	13	1	1	1	7	1	0	3	1	1	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	26228	10148	17288	6534	3377	5206	3085	1702	1717	1141	1651	2003	704	620	546	588	382	907	266	326	370	315	192	288	394	134	127	143	97	122	176	140	53	58	40	49	40	65	62	42	94	13	15	33	13	16	12	9	19	21	14	7	11	8	8	9	3	5	5	5	4	2	4	6	25	2	2	1	7	2	0	4	4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0
0.03	north10_active	80	13094	4439	10930	3690	1593	3180	1747	823	891	508	934	1285	294	307	279	323	177	563	113	151	216	185	102	183	280	62	64	76	41	61	102	89	21	33	22	28	20	34	34	22	54	6	7	21	9	5	7	3	10	10	9	4	6	6	7	4	3	2	1	3	4	0	1	2	24	1	1	1	7	1	0	3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	26454	10422	17313	6917	3269	5440	3211	1737	1651	1146	1753	2062	640	626	560	585	384	766	291	292	400	270	214	308	439	156	140	224	99	146	162	104	57	55	40	57	38	44	48	45	65	34	19	39	14	28	12	11	17	12	17	6	6	12	13	5	6	5	1	4	5	2	5	4	7	3	12	2	5	0	0	1	0	4	1	2	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0
