label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106
0.03	north1_all	80	28917	16421	6564	4548	5243	5128	2187	2495	1640	1246	1017	1729	931	586	600	508	386	337	307	256	263	506	166	172	314	149	120	98	195	81	61	59	56	74	76	75	40	28	28	37	32	32	19	19	29	15	12	17	5	11	10	8	10	38	23	5	3	5	8	7	3	0	0	1	2	1	6	4	9	3	3	1	0	4	1	3	3	3	3	1	1	1	0	0	0	1	1	3	2	1	1	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north1_active	80	15021	9321	3008	2083	2928	3072	969	1352	830	567	484	1046	523	272	315	244	179	158	126	130	132	334	71	71	186	72	61	48	146	45	32	29	31	50	52	41	18	17	10	18	18	14	9	6	17	9	7	8	1	5	6	3	2	30	6	2	2	3	7	4	2	0	0	1	1	1	5	3	8	0	3	0	0	3	1	1	2	3	0	0	1	0	0	0	0	0	0	3	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_all	80	28040	15730	6428	4570	5067	4861	2123	2465	1603	1245	1008	1715	885	555	628	467	372	336	292	251	253	469	176	165	290	139	113	94	152	85	60	57	52	78	89	53	40	35	31	29	23	28	13	22	27	18	9	20	8	10	12	5	7	14	20	6	5	8	6	8	3	1	1	1	2	2	7	2	8	3	1	4	0	1	1	1	2	0	0	0	1	1	1	0	1	0	2	0	2	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_active	80	14361	8769	2923	2103	2813	2865	920	1323	775	572	479	986	481	246	308	218	165	155	117	127	126	306	80	70	158	65	52	46	102	47	33	29	30	54	56	28	20	20	15	16	12	12	6	9	14	13	4	11	2	4	6	0	2	4	4	4	2	5	6	5	2	0	1	1	1	0	5	1	7	0	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	27287	15080	6362	4629	4824	4687	2028	2328	1498	1185	997	1584	856	569	623	464	382	345	277	244	240	427	186	147	270	150	117	103	152	77	67	64	51	88	77	55	37	37	30	34	20	28	10	16	24	17	12	15	9	13	10	10	5	17	19	12	7	5	4	11	1	2	2	1	2	3	7	2	4	0	0	3	0	1	0	0	4	0	0	1	1	2	1	0	1	0	2	1	2	1	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
0.03	north3_active	80	13831	8323	2816	2153	2638	2801	895	1259	732	549	464	912	442	233	299	202	159	170	122	119	125	264	84	62	154	70	54	50	85	39	39	32	31	57	45	29	16	18	12	19	9	13	3	7	15	14	5	10	3	4	3	1	2	6	4	7	5	4	4	6	1	0	2	1	1	0	5	1	4	0	0	0	0	0	0	0	3	0	0	1	1	2	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_all	80	27487	15193	6356	4651	4952	4719	1995	2370	1549	1138	1014	1597	816	546	651	448	403	327	282	243	233	398	172	153	300	139	119	97	190	79	51	64	47	86	61	42	38	28	38	25	20	26	15	20	29	11	9	25	10	15	11	12	3	19	8	12	7	5	2	20	0	5	7	1	2	3	6	2	1	0	1	4	1	0	0	2	2	1	0	1	0	2	2	1	2	0	1	1	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	13967	8433	2808	2150	2688	2862	904	1306	769	528	462	910	407	224	329	196	173	154	135	107	116	231	77	68	178	64	55	45	116	40	29	32	28	46	28	21	22	12	18	11	8	13	5	11	14	9	4	18	5	8	2	2	2	14	2	7	4	3	2	6	0	1	7	0	1	0	4	1	1	0	0	0	0	0	0	2	1	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north5_all	80	28442	16040	6409	4583	5246	5113	2068	2531	1598	1115	1019	1644	846	577	625	474	442	337	285	230	262	490	170	162	327	133	118	99	221	83	48	70	52	95	48	41	55	25	38	34	23	23	16	16	26	8	8	28	11	12	8	14	4	23	12	20	6	4	3	21	1	7	10	3	3	1	1	1	1	2	1	4	1	0	1	2	3	1	0	1	0	1	1	3	1	0	0	1	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
0.03	north5_active	80	14780	9032	2889	2113	2921	3133	969	1448	819	553	480	966	428	232	324	223	196	157	131	89	129	285	75	73	198	55	48	39	147	41	27	32	26	47	25	17	33	9	19	15	10	10	4	9	15	6	4	20	6	8	1	2	1	15	7	8	5	2	3	6	1	3	10	1	2	0	0	1	1	1	0	0	0	0	0	2	2	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
