label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108
0.03	north1_all	80	38407	12638	13595	5510	5953	6929	2624	2611	1773	1340	1211	1474	862	718	695	503	442	534	311	623	387	259	231	168	373	146	181	106	97	210	173	107	108	117	50	41	101	30	40	33	24	32	38	30	33	23	18	12	9	9	7	10	8	8	3	25	9	2	3	7	7	5	3	9	2	1	0	15	1	0	2	1	0	2	2	1	3	1	5	2	0	3	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	26005	3928	10501	2262	4164	5841	1087	1678	782	363	569	1066	343	259	344	177	110	342	66	528	247	105	122	53	325	61	118	30	33	187	148	82	79	82	11	6	82	7	11	7	9	23	31	11	26	18	5	7	6	5	1	1	7	6	0	23	5	1	3	2	1	2	1	7	0	0	0	12	0	0	1	0	0	1	1	0	0	1	5	2	0	3	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	38422	12599	13463	5515	5849	6959	2636	2719	1698	1311	1228	1486	849	712	676	528	449	532	313	655	368	246	226	170	358	135	171	114	109	187	156	93	110	123	51	42	97	28	41	27	23	31	40	19	21	28	17	14	11	11	9	10	12	8	4	21	7	6	2	6	5	4	3	6	1	1	1	3	0	0	2	2	1	1	2	1	5	0	5	0	1	1	3	1	1	0	0	1	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0
0.03	north2_active	80	26064	3906	10400	2263	4053	5889	1141	1755	763	371	604	1056	355	245	327	194	117	344	70	553	228	99	128	53	322	63	116	32	31	163	137	71	88	92	11	8	78	8	7	7	6	22	32	7	15	23	5	10	4	7	2	1	8	6	0	19	5	5	2	3	1	2	1	5	0	0	1	0	0	0	0	0	0	0	1	0	0	0	5	0	1	1	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	38634	12784	13514	5638	5913	6907	2575	2740	1750	1372	1288	1530	826	719	686	557	454	505	339	566	386	267	227	164	345	134	196	114	104	174	171	117	107	122	42	47	84	34	45	30	30	33	44	15	17	30	14	17	11	15	8	14	7	9	5	19	6	6	1	7	4	2	3	5	1	1	1	3	1	0	3	3	2	2	3	1	3	0	5	0	1	1	3	0	2	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
0.03	north3_active	80	26254	3989	10397	2328	4115	5900	1137	1762	807	379	651	1111	343	238	354	218	119	334	75	463	222	94	129	45	303	70	142	32	27	148	147	85	88	98	7	10	71	8	9	6	5	21	30	9	13	22	5	13	5	10	4	3	3	8	0	15	6	5	0	5	1	1	2	4	0	0	1	0	0	0	1	0	1	0	3	0	0	0	5	0	1	1	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_all	80	38738	12819	13404	5591	5863	7008	2581	2735	1759	1357	1312	1493	802	695	722	573	448	523	366	695	387	271	225	167	325	144	207	120	105	181	196	123	99	113	47	49	90	41	42	30	26	39	31	12	18	29	14	18	14	24	11	12	9	10	5	19	3	6	1	8	3	1	2	1	0	2	2	1	2	0	2	4	2	2	2	3	2	0	5	0	1	0	3	0	1	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0
0.03	north4_active	80	26342	3966	10315	2357	4107	6028	1153	1758	812	403	679	1099	322	227	386	211	121	333	85	591	223	93	114	37	274	84	150	28	29	151	164	94	75	89	8	13	78	7	8	7	5	27	16	7	13	14	5	14	7	20	6	5	4	8	1	16	3	6	0	5	1	0	2	0	0	0	1	0	0	0	1	0	1	1	2	2	0	0	5	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north5_all	80	38740	12832	13530	5568	5753	7087	2586	2645	1756	1361	1354	1497	813	710	733	579	459	536	345	722	401	261	228	170	348	154	226	119	99	184	194	116	87	105	48	52	103	40	52	29	26	35	33	19	20	23	17	16	11	28	10	12	11	9	5	16	3	9	3	6	2	1	2	2	1	2	3	0	2	2	1	4	2	3	3	2	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
0.03	north5_active	80	26335	3897	10469	2353	4038	6113	1154	1668	787	388	700	1125	314	233	389	208	113	345	77	605	265	102	108	37	283	92	166	33	26	151	165	79	62	83	7	13	93	6	11	7	6	19	20	8	15	11	5	12	7	24	7	5	6	8	1	13	3	8	1	4	0	0	2	1	0	0	2	0	0	0	1	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
