label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97
0.03	north1_all	80	7455	2846	4025	998	816	540	613	917	473	257	298	192	496	126	136	93	132	75	137	58	52	87	41	48	50	43	31	53	49	23	23	22	15	16	7	8	18	10	10	28	7	4	7	7	4	4	6	8	6	2	2	6	3	7	3	1	4	7	1	6	1	1	1	0	0	1	1	1	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	4430	1506	2590	449	428	261	370	613	285	137	146	96	352	51	65	34	84	31	84	27	23	44	22	26	29	29	19	32	36	12	11	8	4	8	1	4	9	7	7	19	5	2	5	4	1	0	5	7	4	1	2	5	2	4	2	1	1	0	0	6	1	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	7445	2803	3887	983	804	559	609	952	479	250	322	191	495	109	120	92	128	78	149	56	49	86	33	54	46	38	29	54	39	26	18	21	13	14	9	7	30	9	7	22	7	6	6	6	3	5	6	14	11	1	2	6	3	8	2	1	1	7	1	2	1	0	0	0	1	2	1	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	4402	1476	2512	424	421	267	370	631	289	133	172	85	347	46	60	35	85	38	79	20	23	42	19	25	28	28	18	31	26	14	9	9	4	9	1	4	19	7	4	13	5	4	3	3	2	3	4	7	9	1	2	6	1	4	2	1	1	1	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	7368	2710	3963	978	818	562	635	946	445	236	330	176	464	116	118	83	122	78	150	62	52	91	36	48	38	41	27	62	37	22	14	24	14	15	12	9	33	9	14	13	6	6	6	4	1	11	7	16	12	2	2	4	4	17	2	2	0	8	2	3	0	3	1	1	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	4348	1429	2583	427	413	261	381	612	262	118	192	76	310	51	61	38	73	36	81	29	24	46	20	22	19	18	20	34	27	10	7	14	7	9	4	5	26	7	8	8	4	5	4	1	1	8	6	10	12	2	1	4	1	9	2	2	0	2	1	2	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	7226	2734	3955	1011	823	581	656	944	457	222	333	170	445	106	116	85	131	74	147	64	47	83	40	44	34	50	32	73	34	21	13	18	13	18	13	7	37	9	17	14	7	5	6	5	1	14	6	17	13	1	2	8	2	15	2	2	0	4	1	1	1	3	1	1	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	4259	1440	2646	454	405	279	386	605	268	107	195	71	277	45	60	50	81	34	92	32	17	46	20	20	15	25	22	41	24	13	7	12	9	10	8	5	28	8	11	10	5	4	4	2	1	12	5	10	12	1	1	7	0	8	2	2	0	2	1	0	1	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	7254	2696	3873	990	831	559	726	867	449	244	294	156	461	110	116	85	133	68	157	68	47	77	39	44	38	54	29	58	38	20	14	17	18	19	15	8	30	13	18	16	6	6	8	7	3	14	3	12	14	2	2	8	1	11	1	3	1	4	1	3	1	4	1	1	1	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
0.03	north5_active	80	4234	1460	2559	476	391	264	424	536	255	112	170	73	281	42	58	55	78	31	96	34	21	41	15	22	15	26	19	33	25	11	8	11	13	9	9	5	23	12	12	13	5	5	6	4	1	13	3	10	13	2	1	7	0	6	1	2	0	2	1	2	1	4	1	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
0.03	north6_all	80	7250	2763	3875	952	826	556	696	823	478	255	290	151	481	103	115	90	143	81	154	58	52	71	46	41	38	50	27	55	40	24	22	14	21	24	14	6	18	13	16	18	6	5	9	7	2	9	2	6	6	2	0	9	0	2	1	4	1	4	2	2	2	1	2	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north6_active	80	4188	1501	2510	443	382	268	405	519	284	116	160	68	295	40	57	55	83	44	96	28	26	41	16	21	21	25	11	33	24	16	11	5	14	14	8	2	14	9	8	14	5	4	5	5	0	7	1	5	4	2	0	6	0	1	1	3	0	2	1	2	2	1	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north7_all	80	7377	2752	3813	942	811	572	656	771	455	283	304	143	497	122	112	86	128	87	149	50	51	65	38	40	33	49	30	42	39	21	21	13	22	19	13	9	13	12	19	16	2	7	7	6	2	5	4	2	4	1	1	12	0	2	1	2	1	3	1	8	2	1	2	0	1	0	1	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	1	1	0	0	0	0	0
0.03	north7_active	80	4313	1508	2397	444	392	262	389	478	270	130	146	69	305	46	53	47	69	42	95	19	30	40	15	19	20	21	15	24	19	12	10	6	13	12	6	4	9	8	8	14	2	3	3	4	0	3	1	1	2	1	1	9	0	1	1	1	0	2	0	8	2	1	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	1	1	0	0	0	0	0
0.03	north8_all	80	7175	2714	3717	941	806	530	635	788	460	285	301	135	499	118	109	86	122	88	136	50	57	67	35	36	32	47	33	41	40	22	20	12	23	18	10	8	12	9	14	12	1	7	6	2	3	3	4	3	4	0	1	13	0	2	1	2	1	1	1	12	2	0	4	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	3	1	0	0	0	0	0	0
0.03	north8_active	80	4143	1454	2338	415	386	243	357	487	259	127	156	71	304	46	57	42	66	45	93	17	31	39	13	14	21	21	15	24	22	12	11	3	10	13	6	5	8	4	6	9	0	3	4	1	1	1	0	1	2	0	1	8	0	1	1	1	0	1	0	12	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0
0.03	north9_all	80	6905	2683	3401	984	789	514	612	753	489	296	290	148	445	113	120	93	118	80	118	56	62	66	38	41	37	43	30	40	45	17	16	11	19	17	8	8	12	7	12	15	1	7	6	4	2	2	4	4	3	1	2	12	0	2	1	1	2	0	1	11	1	5	3	0	3	0	0	1	0	0	0	0	0	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	3	0	0	0	0	1	0	0
0.03	north9_active	80	3945	1399	2164	427	382	244	339	468	289	150	152	72	278	48	57	39	65	39	76	15	33	36	16	13	22	20	17	25	25	7	7	3	8	13	4	5	9	5	7	13	0	3	5	2	1	1	0	2	1	0	2	8	0	1	1	1	0	0	0	11	1	5	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0
0.03	north10_all	80	6712	2674	3205	974	754	496	657	739	512	275	294	154	398	110	127	97	107	71	116	65	57	59	42	39	40	37	27	41	53	17	14	15	24	17	9	8	13	9	7	13	1	2	8	2	4	4	1	6	1	1	2	3	2	0	0	0	2	1	0	9	1	5	3	0	3	0	0	2	0	0	2	0	0	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0
0.03	north10_active	80	3774	1400	2047	431	354	225	363	447	304	134	166	77	254	50	54	38	56	33	68	22	27	27	15	14	22	17	13	27	31	7	5	7	11	9	5	6	5	7	5	9	0	2	4	1	3	3	0	3	0	0	2	1	2	0	0	0	0	0	0	9	1	5	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
0.03	north11_all	80	7130	2786	3781	939	791	562	696	812	441	270	278	156	441	119	119	124	132	86	182	56	47	62	37	42	39	51	23	53	35	25	21	20	20	27	14	5	17	11	13	33	16	5	2	3	8	11	5	7	16	3	4	3	2	7	2	4	0	1	3	2	3	0	5	0	4	1	0	0	0	4	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	4101	1520	2388	406	409	244	402	528	244	135	141	72	274	41	64	65	72	44	127	27	15	32	21	20	18	38	10	26	24	13	9	11	10	14	6	2	13	6	8	27	13	4	2	1	7	5	4	4	15	2	3	3	0	5	2	2	0	0	3	0	2	0	5	0	4	1	0	0	0	3	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	7082	2784	3798	927	798	594	699	822	434	251	272	153	447	124	112	131	116	82	159	53	54	54	37	40	38	53	27	50	28	19	20	20	16	20	8	5	17	7	14	32	11	3	3	4	8	14	6	5	15	2	1	2	2	3	2	3	1	1	5	2	5	0	5	0	6	0	0	0	1	2	1	0	0	0	0	3	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	4022	1552	2433	392	399	267	399	535	238	116	140	69	264	48	61	71	64	37	96	28	20	30	22	17	18	42	12	30	18	11	8	11	10	10	4	0	12	4	10	27	8	3	2	1	7	10	5	2	13	2	1	2	0	1	1	2	1	0	3	0	4	0	5	0	6	0	0	0	1	1	1	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	7205	2771	3789	914	822	577	683	832	466	263	283	154	434	121	112	124	99	80	144	56	61	67	42	45	38	37	27	62	30	21	19	15	16	22	7	7	33	7	16	30	11	5	4	5	12	10	5	3	14	2	2	2	3	4	2	3	2	2	4	2	3	0	1	0	13	1	0	0	1	1	1	0	0	0	0	2	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
