label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99
0.03	north1_all	80	18311	3983	6707	4451	2139	1064	1867	805	1627	508	568	378	278	299	540	167	418	146	140	145	80	87	80	72	122	102	75	47	43	48	38	45	22	16	46	17	20	31	23	6	7	11	16	13	10	8	7	18	7	5	7	2	7	4	3	3	2	0	1	2	3	2	0	3	3	1	1	2	0	3	2	1	3	2	0	0	2	2	1	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	15152	892	5848	3849	1583	431	1570	485	1445	290	368	224	118	184	475	41	375	52	65	101	24	45	51	18	109	77	48	24	29	27	24	31	10	10	39	11	6	23	15	0	1	4	13	5	3	2	4	16	7	3	2	1	4	1	1	1	2	0	1	2	2	1	0	0	0	1	0	2	0	2	1	1	1	1	0	0	2	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	18617	4000	6923	4475	2163	1093	1882	799	1588	509	568	371	277	332	543	165	427	142	130	161	86	107	81	66	116	100	77	46	60	46	41	45	24	16	37	17	21	28	20	10	13	12	21	9	12	8	10	23	8	8	8	2	5	4	3	1	12	0	1	4	3	1	0	3	4	0	1	1	0	3	2	1	2	2	0	1	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_active	80	15420	909	6086	3888	1595	430	1596	481	1393	285	368	213	108	217	469	44	387	59	55	104	24	53	47	15	103	77	53	20	47	25	27	30	10	7	31	9	7	20	11	1	3	4	17	4	4	1	8	21	8	8	2	1	3	1	1	0	12	0	1	2	2	1	0	0	1	0	0	1	0	2	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	18594	4015	6978	4621	2108	1073	1890	807	1592	533	545	344	274	382	497	165	452	130	137	156	93	108	74	66	115	118	89	41	56	45	44	36	27	12	35	16	17	21	15	9	13	12	15	3	9	9	6	25	9	8	8	2	4	3	3	2	18	0	1	3	2	0	1	2	2	0	1	3	0	0	1	1	2	2	1	1	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0
0.03	north3_active	80	15456	931	6144	4004	1544	434	1616	486	1407	272	335	200	118	266	427	44	406	50	60	103	29	57	45	18	97	98	57	20	45	30	23	24	10	6	27	9	6	16	7	1	2	3	11	2	4	1	5	23	8	7	2	1	2	1	2	2	17	0	1	1	2	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north4_all	80	18469	3999	6853	4607	2130	1055	1923	775	1505	531	527	335	274	388	474	175	423	128	130	147	98	109	76	57	112	131	84	48	54	42	45	34	29	17	48	21	11	24	11	8	10	13	13	6	5	5	7	29	7	6	6	3	6	1	4	3	20	0	0	3	3	0	2	1	3	0	1	2	1	0	0	0	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
0.03	north4_active	80	15338	942	6023	3965	1552	430	1660	475	1320	269	322	196	105	268	410	49	373	50	60	94	31	62	43	14	93	108	49	21	40	27	21	22	14	9	42	12	4	16	5	2	2	1	8	2	1	1	5	27	6	5	1	1	3	0	3	3	19	0	0	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north5_all	80	18162	4016	6873	4642	2135	1045	1952	808	1561	551	502	359	281	366	474	173	424	124	137	160	102	104	89	63	134	139	80	53	55	39	41	26	32	21	47	20	12	24	15	4	10	10	17	7	9	4	7	23	15	4	6	2	9	2	2	3	8	5	0	3	2	2	4	0	2	0	1	6	1	0	1	0	0	0	1	0	0	0	0	3	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0
0.03	north5_active	80	15034	951	5997	4022	1535	432	1672	488	1377	277	324	208	117	247	404	48	362	45	65	110	32	56	48	16	111	118	42	27	43	19	18	17	20	11	42	11	4	18	4	1	3	1	13	1	3	1	4	21	10	3	1	1	7	0	2	3	7	4	0	2	1	0	3	0	1	0	0	4	0	0	1	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
0.03	north6_all	80	17901	4080	6743	4530	2123	1080	1945	818	1578	540	467	374	278	342	484	184	409	122	143	160	101	103	82	64	159	124	79	48	51	40	37	37	33	29	60	21	15	21	16	6	15	11	22	12	8	2	12	30	16	4	4	1	9	3	6	1	3	5	1	2	1	3	4	1	1	0	0	4	1	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0
0.03	north6_active	80	14744	940	5844	3927	1549	426	1666	499	1404	274	302	214	116	229	415	54	355	39	68	103	30	58	43	16	140	97	38	27	42	16	22	26	19	18	55	10	4	14	6	2	4	3	15	4	3	0	9	30	9	3	0	0	7	0	5	1	3	4	0	2	0	0	3	1	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north7_all	80	18120	4062	6709	4591	2107	1072	1897	889	1624	556	468	386	277	321	527	190	392	136	145	177	101	103	83	55	152	103	78	53	45	46	36	37	32	30	55	19	20	21	21	9	15	11	25	11	11	1	15	21	15	9	4	0	6	4	11	2	1	7	4	2	0	3	4	2	1	0	0	4	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0
0.03	north7_active	80	14892	940	5841	4016	1528	424	1616	539	1445	283	309	226	122	203	459	55	344	38	71	127	30	42	40	13	135	83	38	30	42	17	23	26	20	17	49	9	5	16	10	4	5	3	20	4	3	0	12	21	7	8	1	0	6	0	10	2	1	6	3	2	0	0	3	2	1	0	0	4	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north8_all	80	18460	3980	6746	4365	2127	1045	1966	888	1658	525	498	401	275	310	551	194	428	131	150	170	91	103	78	65	149	106	72	50	46	41	41	41	26	29	55	19	21	18	16	14	16	9	24	9	11	2	14	18	8	12	5	0	8	3	11	4	2	7	5	3	0	1	4	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
0.03	north8_active	80	15137	929	5904	3795	1570	398	1693	550	1479	266	322	229	120	197	479	53	382	32	78	125	33	51	36	17	132	84	37	29	36	18	28	30	15	14	49	10	4	14	10	7	6	3	16	3	3	1	13	18	1	8	2	0	7	0	10	3	2	6	3	3	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north9_all	80	18532	3966	6843	4484	2176	993	1938	840	1571	495	502	396	266	306	574	193	386	143	129	164	89	112	75	54	129	102	68	54	47	43	35	37	25	22	50	15	22	27	13	12	11	10	15	7	9	4	11	21	7	11	6	1	4	3	7	4	4	4	6	2	1	0	4	1	1	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north9_active	80	15293	912	6022	3874	1630	386	1667	512	1379	257	313	227	128	199	507	49	342	41	67	124	40	52	39	19	107	87	35	28	30	19	22	25	17	11	46	9	4	23	8	7	4	2	11	1	1	1	9	21	2	8	4	0	3	1	7	3	3	2	5	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north10_all	80	18436	3939	6843	4465	2128	1022	1892	825	1473	494	493	378	263	302	591	187	454	144	124	163	94	103	84	66	141	119	60	48	44	39	36	45	34	18	42	17	20	28	14	12	10	8	26	4	9	5	11	11	5	10	5	2	4	3	6	2	5	4	3	1	2	1	5	1	0	1	1	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north10_active	80	15215	899	6041	3847	1579	384	1624	499	1291	259	311	215	122	202	507	43	403	43	58	126	45	62	44	25	115	102	34	25	26	21	23	30	25	9	35	11	3	25	7	5	5	1	19	0	2	2	10	11	2	5	3	1	3	1	6	1	3	2	2	1	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north11_all	80	15932	4060	5871	3973	1822	1022	1706	738	1367	521	448	359	284	322	456	174	354	136	126	136	85	101	87	67	139	100	69	43	43	46	29	39	41	18	33	22	8	24	7	11	9	11	14	8	7	7	20	13	5	3	6	11	12	5	7	2	15	8	1	3	1	1	1	0	1	5	0	0	1	1	1	0	2	1	0	0	2	1	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	12576	1062	4987	3287	1257	356	1408	388	1171	269	281	205	101	194	391	48	297	42	46	87	25	64	41	21	118	79	40	25	28	24	14	22	21	9	29	9	3	14	4	4	2	2	11	3	2	0	18	11	5	3	2	9	11	2	3	1	11	8	0	0	1	1	0	0	0	3	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	17058	3972	6548	4523	1944	1051	1856	800	1546	543	480	373	264	356	502	171	421	129	128	135	89	114	78	69	134	84	66	40	50	44	33	48	42	16	45	21	11	26	11	9	9	10	13	10	7	8	20	12	4	5	6	9	17	3	8	3	10	7	1	2	1	1	2	1	1	5	0	0	1	1	1	0	2	1	1	0	1	1	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	13790	972	5682	3878	1372	387	1572	456	1353	302	307	211	103	224	427	44	366	34	50	97	25	74	37	25	120	67	41	26	34	27	14	31	19	4	40	9	3	15	8	3	2	2	8	4	2	1	18	11	4	5	2	7	16	2	4	2	9	7	0	0	1	1	1	0	0	3	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	18337	4027	6912	4761	2020	1066	1927	802	1535	523	523	406	243	366	558	187	447	125	140	156	93	116	77	66	120	94	47	38	58	43	34	43	48	18	36	22	14	21	17	12	9	8	15	10	6	8	20	12	3	11	9	9	13	2	8	3	10	12	1	1	1	2	3	4	2	2	1	1	2	1	2	0	1	0	1	0	1	1	1	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
