label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115
0.03	north1_all	80	20997	10819	16187	4391	5207	3312	2381	2296	3152	1707	1367	952	930	1611	1355	441	671	606	445	706	496	273	459	311	158	209	155	285	161	194	158	77	88	68	55	68	22	61	122	35	43	50	46	30	30	22	26	16	52	25	10	11	10	14	8	8	5	5	6	11	5	9	4	9	2	5	1	1	7	4	4	2	4	7	1	1	2	1	1	0	3	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	9411	5111	10467	2030	3024	1792	1203	1201	1987	924	755	473	500	1059	880	203	409	379	246	525	301	153	301	189	64	122	91	171	90	115	90	26	39	42	26	40	9	37	85	17	21	34	33	20	14	13	13	12	36	14	5	3	9	11	4	5	3	4	4	6	1	4	3	7	0	1	0	0	7	1	4	0	4	3	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	21197	10699	16247	4387	5119	3327	2403	2194	3157	1728	1397	969	960	1570	1330	447	688	608	461	692	489	277	443	330	173	199	163	267	147	177	168	77	84	68	53	68	26	64	88	45	35	46	42	35	31	15	18	15	71	28	9	8	9	13	7	7	4	4	18	11	3	7	5	7	6	5	2	2	8	2	5	2	4	7	2	0	4	0	1	0	1	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	9490	5028	10516	2002	2963	1791	1255	1149	1980	952	785	498	526	950	832	197	418	379	252	492	276	155	289	202	75	123	99	156	68	102	106	31	42	40	26	39	11	38	55	27	18	32	26	23	14	7	8	8	53	18	3	3	8	9	4	5	3	3	16	5	2	4	3	4	0	1	0	0	8	0	5	1	4	7	2	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	21200	10609	16410	4391	5090	3319	2350	2119	3109	1696	1362	949	990	1645	1360	434	663	612	462	748	524	286	427	386	179	174	145	214	160	175	160	75	69	68	49	60	34	69	89	54	21	61	40	36	31	20	20	14	54	21	8	8	10	13	7	10	10	2	20	10	4	5	3	11	13	4	2	2	3	0	8	2	0	7	2	0	4	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	9534	5065	10578	1992	3014	1795	1235	1104	1987	945	749	481	567	989	868	182	389	377	259	519	324	171	285	225	72	87	81	119	80	104	100	31	37	44	27	31	19	41	56	30	10	47	26	25	18	8	9	6	39	15	4	3	8	10	2	7	5	2	16	4	3	3	1	8	7	1	0	0	3	0	5	1	0	7	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	21274	10536	16308	4467	5113	3362	2353	2063	3131	1699	1340	951	995	1701	1356	422	633	614	470	710	487	291	441	401	170	166	150	222	150	176	174	67	73	55	55	39	43	54	75	59	19	66	37	24	27	20	16	26	47	14	8	10	9	17	5	7	10	5	19	8	3	1	5	13	13	3	2	1	3	0	4	2	1	14	5	0	4	0	2	0	14	0	1	0	0	2	0	3	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	9542	4967	10423	2018	2979	1787	1232	1081	1999	943	732	484	545	1019	834	184	368	363	274	474	300	158	295	232	69	94	90	140	80	103	105	31	42	29	29	18	24	28	38	35	12	48	21	15	13	8	7	15	40	8	4	4	6	13	1	5	6	2	15	5	2	0	3	8	7	1	0	0	3	0	1	2	1	14	3	0	3	0	0	0	14	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	21154	10417	16398	4454	5128	3443	2276	2072	3172	1673	1261	965	982	1607	1396	416	615	623	481	661	499	295	403	387	155	173	149	251	152	192	187	73	80	56	55	36	51	53	95	50	29	83	36	20	35	19	22	31	28	27	10	12	10	23	5	6	10	7	20	10	4	5	6	10	8	2	2	2	2	2	4	1	1	10	4	0	4	0	2	0	14	0	1	0	1	1	0	2	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	9412	4944	10542	2017	2987	1815	1186	1097	1997	911	660	477	548	958	889	191	354	358	288	422	325	160	261	223	72	97	84	157	94	115	118	27	48	33	34	17	29	33	44	26	17	66	22	10	18	10	13	18	24	23	6	3	5	15	2	4	4	3	16	7	2	3	4	5	7	1	0	0	2	0	0	1	1	10	2	0	3	0	0	0	14	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
