label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120
0.03	north1_all	80	26104	17777	7124	8421	5859	2827	3256	1737	1449	2061	1033	1738	859	707	548	508	618	890	598	326	291	312	368	236	369	308	275	180	234	144	150	138	126	97	68	78	74	29	72	38	29	88	36	32	36	48	30	24	7	13	12	9	8	13	15	14	7	10	4	8	9	2	6	1	3	1	9	2	0	0	4	3	2	5	7	3	0	2	1	2	0	0	1	1	0	0	0	2	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	12802	10332	3386	4997	3415	1321	1839	819	678	1207	443	1082	435	346	267	256	352	562	365	177	134	162	213	136	226	176	156	84	144	88	75	84	76	52	38	40	40	15	35	20	12	68	18	23	19	36	23	9	3	8	7	5	3	9	8	10	3	4	3	3	6	1	4	1	2	1	3	2	0	0	0	3	0	2	7	0	0	0	1	1	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	26059	17898	7100	8399	5739	2792	3247	1735	1456	2112	1044	1781	878	716	551	531	684	823	655	328	292	311	340	248	364	278	302	215	216	138	141	155	139	99	72	89	67	27	69	40	30	86	42	30	43	44	49	26	15	12	9	15	3	15	15	15	5	6	5	6	8	4	4	1	6	1	13	3	0	0	3	3	1	5	7	1	0	1	0	3	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	12825	10334	3303	5019	3322	1293	1843	828	683	1250	448	1087	460	351	256	258	379	508	378	172	135	167	179	138	227	168	176	106	143	82	72	97	86	57	39	40	34	12	34	23	12	60	26	19	26	33	41	15	5	8	5	8	1	11	8	12	2	2	3	3	5	1	3	1	3	1	6	3	0	0	0	2	0	2	7	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	26070	17894	7066	8512	5851	2762	3287	1711	1461	2067	1063	1734	933	711	547	512	663	836	649	332	284	334	353	263	311	253	308	213	194	133	143	142	154	91	65	103	61	30	83	37	36	77	41	34	53	44	51	22	14	10	10	15	6	14	12	13	6	5	5	4	7	9	3	1	5	3	14	3	0	0	3	3	1	3	0	0	0	0	1	2	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north3_active	80	12812	10402	3298	5093	3407	1247	1893	827	671	1224	468	1052	473	348	255	252	383	504	399	160	135	187	207	146	184	157	183	104	120	78	80	90	100	56	36	55	33	14	46	18	18	59	25	19	34	25	45	13	5	6	4	10	2	11	5	7	3	3	3	2	4	5	3	1	2	2	7	3	0	0	1	2	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_all	80	26262	17793	7083	8594	5789	2762	3319	1686	1463	2086	1064	1697	917	717	542	499	657	852	696	310	279	331	386	272	307	284	337	216	193	119	143	123	149	104	74	99	60	36	89	37	38	48	33	26	50	28	46	24	15	13	12	19	5	13	9	16	8	5	8	3	5	7	3	3	5	3	6	1	0	0	1	6	0	5	0	1	0	0	5	1	1	3	0	0	0	1	1	1	3	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	12946	10380	3311	5171	3364	1249	1926	761	693	1250	477	992	464	346	243	251	375	549	415	146	130	201	227	151	198	162	200	122	118	71	80	70	100	63	40	54	35	16	60	18	18	29	24	14	31	14	35	15	7	9	4	11	1	10	3	10	5	4	5	0	4	4	3	2	1	2	4	1	0	0	1	2	0	4	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north5_all	80	26482	17686	7091	8674	5788	2803	3383	1696	1488	2073	1046	1635	950	728	554	507	655	908	654	309	282	314	440	263	343	311	299	207	171	108	134	108	141	101	69	81	54	38	83	37	37	42	38	39	57	30	34	24	9	11	19	12	7	11	12	16	13	4	4	3	4	8	4	3	4	3	2	3	0	1	2	3	5	4	0	1	0	0	6	1	1	3	0	0	0	1	0	1	3	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0
0.03	north5_active	80	12999	10364	3352	5178	3372	1280	2015	776	714	1220	475	972	477	369	250	266	380	581	395	149	122	192	285	148	221	167	199	130	109	64	72	52	97	57	39	53	32	14	53	15	15	28	25	21	36	12	24	16	7	6	7	6	5	7	6	11	6	3	3	0	3	7	4	2	1	2	1	1	0	0	2	0	5	3	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0
