label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29
0.03	north1_all	80	728	259	160	144	267	53	32	21	18	8	12	8	7	4	4	4	1	0	0	1	0	1	1	0	1	0	0	1	0	0
0.03	north1_active	80	285	74	72	82	245	21	15	10	7	6	3	1	2	2	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
0.03	north2_all	80	725	271	166	180	289	41	31	24	16	13	10	7	3	5	4	2	0	2	0	2	0	0	1	0	1	0	0	1	0	0
0.03	north2_active	80	317	79	79	118	265	12	17	15	5	11	3	1	0	3	2	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0
0.03	north3_all	80	715	275	173	185	321	39	28	21	18	18	11	5	2	6	5	2	3	4	0	2	0	0	1	0	1	0	0	1	0	0
0.03	north3_active	80	317	83	85	130	296	13	14	14	6	14	4	0	0	4	3	1	3	3	0	0	0	0	1	0	0	0	0	1	0	0
0.03	north4_all	80	710	277	173	171	267	36	28	23	20	15	9	5	4	6	3	3	3	5	0	2	0	0	1	0	0	0	1	0	0	0
0.03	north4_active	80	301	81	76	116	245	9	16	14	10	10	5	0	1	4	2	1	3	3	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north5_all	80	704	300	174	162	236	37	29	25	18	11	10	4	6	4	2	4	4	3	1	1	0	0	1	0	1	0	1	0	0	0
0.03	north5_active	80	289	76	68	102	219	8	15	15	9	5	5	0	3	2	2	2	4	1	1	0	0	0	1	0	1	0	0	0	0	0
0.03	north6_all	80	679	279	162	125	172	36	32	21	22	8	6	4	7	4	0	3	2	3	1	0	0	0	2	0	1	0	1	0	0	0
0.03	north6_active	80	265	67	60	69	152	6	14	12	9	2	3	1	3	0	0	1	2	0	1	0	0	0	2	0	1	0	0	0	0	0
0.03	north7_all	80	739	276	171	127	192	42	32	22	27	12	8	4	4	5	1	3	2	1	3	1	0	0	1	0	1	0	0	0	1	0
0.03	north7_active	80	299	78	73	72	173	7	14	13	8	4	4	1	2	2	1	1	2	0	3	0	0	0	1	0	1	0	0	0	0	0
0.03	north8_all	80	727	269	161	127	281	45	31	19	24	11	11	5	4	5	2	2	2	1	2	1	0	0	1	1	0	0	0	0	1	0
0.03	north8_active	80	307	81	74	84	259	8	12	14	6	3	8	1	1	2	1	0	1	0	2	0	0	0	1	1	0	0	0	0	0	0
0.03	north9_all	80	717	268	171	133	348	53	31	22	23	14	11	7	4	5	4	2	2	0	2	1	0	1	0	1	0	0	1	0	1	0
0.03	north9_active	80	312	81	85	87	327	12	12	15	8	7	8	3	1	3	2	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0
0.03	north10_all	80	681	276	173	118	443	51	30	26	18	14	12	8	6	4	7	1	3	0	1	1	0	1	0	1	0	0	1	0	0	0
0.03	north10_active	80	312	79	88	80	423	13	13	17	8	9	8	4	1	2	3	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0
