label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61
0.03	south24_active	80	8231	5604	3011	996	1538	421	564	238	169	147	113	148	137	103	35	40	34	14	11	42	29	10	16	4	4	7	8	3	10	7	1	1	3	1	1	0	2	1	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	14428	9020	5148	1889	2441	904	925	483	367	313	225	240	237	194	89	117	63	43	25	60	43	16	25	16	10	11	22	7	21	5	3	1	6	1	7	0	3	3	2	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	south25_active	80	8383	5697	3215	980	1610	440	546	219	173	156	117	144	156	127	38	65	32	16	11	39	24	6	14	6	3	6	6	2	15	3	1	1	3	1	4	0	3	3	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	south26_all	80	14925	9439	5312	1939	2711	945	938	483	375	316	228	246	229	179	88	109	55	43	31	65	41	18	24	14	17	11	21	6	16	4	2	1	5	5	4	0	1	3	1	2	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
0.03	south26_active	80	8789	6000	3378	1023	1819	473	548	235	176	162	125	142	150	107	40	58	31	16	13	36	23	8	13	7	10	5	6	2	11	3	1	0	2	2	4	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	south27_all	80	15125	9960	5366	2044	2828	950	948	461	367	346	236	285	242	172	87	109	55	41	34	70	38	18	25	14	20	12	22	7	20	3	4	1	5	6	5	1	1	2	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
0.03	south27_active	80	8986	6326	3448	1100	1908	481	563	223	179	183	119	171	151	109	35	63	31	18	18	47	21	9	12	6	10	8	3	3	14	2	2	0	2	2	4	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	south28_all	80	14563	9430	4967	1974	2613	880	879	455	355	323	245	282	217	149	92	92	52	38	50	64	34	16	24	14	25	16	18	10	20	7	3	2	7	7	1	2	3	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_active	80	8531	6024	3179	1062	1707	427	511	228	168	176	125	167	134	87	38	52	25	18	26	47	21	9	11	5	18	10	5	4	15	5	2	0	4	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	13795	8578	4608	1874	2301	806	817	468	340	295	232	274	217	157	85	82	55	48	51	53	29	18	20	14	24	17	13	11	16	6	2	1	7	6	1	2	3	1	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
