label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83
0.03	north1_all	80	2081	1207	1641	594	336	1013	225	278	245	340	101	88	92	84	92	76	33	79	36	29	39	102	18	13	15	19	13	13	9	7	9	5	3	6	3	4	7	3	1	4	9	2	5	2	9	2	1	0	7	1	4	0	1	1	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	959	597	1062	314	152	650	107	171	130	194	47	37	51	50	60	43	11	52	23	13	19	73	6	6	12	12	4	5	4	5	4	4	1	3	2	0	6	1	0	3	3	1	5	2	0	0	1	0	1	0	2	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	2130	1176	1596	589	328	1002	217	290	254	347	95	99	93	74	92	74	36	71	47	30	34	87	17	13	14	22	13	18	15	5	6	6	7	7	2	3	6	5	2	4	12	1	5	4	3	1	1	0	7	2	2	1	1	1	0	0	3	4	2	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north2_active	80	967	589	1011	308	148	651	110	176	143	208	43	38	46	48	58	42	16	49	28	11	17	69	5	6	10	13	7	8	9	3	1	4	2	4	1	0	5	4	1	3	6	0	4	3	0	0	1	0	1	0	2	1	0	1	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north3_all	80	2160	1175	1653	610	299	1021	213	300	233	370	102	89	102	69	87	55	33	70	43	29	24	87	19	9	13	26	10	15	15	7	5	3	10	13	3	3	6	5	2	3	11	2	6	4	4	23	3	0	14	2	1	2	0	0	0	1	3	3	2	0	0	0	0	1	0	0	0	1	0	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0
0.03	north3_active	80	1007	608	1030	328	136	677	110	187	142	235	41	40	50	48	48	29	15	46	26	7	10	68	4	4	10	16	4	8	9	4	1	1	5	7	1	0	5	5	1	2	8	0	4	3	1	22	3	0	7	0	1	2	0	0	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0
0.03	north4_all	80	2225	1125	1675	592	294	1003	208	315	254	366	103	86	91	56	84	47	33	53	47	32	19	99	17	9	10	24	9	18	16	8	4	5	10	15	5	2	5	7	3	1	14	2	7	4	4	28	3	0	7	4	0	2	0	0	0	1	2	2	2	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0
0.03	north4_active	80	1016	588	1055	309	145	669	111	192	168	241	48	42	48	34	41	22	19	30	26	10	7	53	7	5	6	13	5	11	8	5	2	3	5	7	1	0	4	7	2	1	9	0	4	2	1	27	3	0	6	3	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0
0.03	north5_all	80	2248	1124	1668	610	318	1041	211	333	241	351	113	83	80	54	79	45	39	52	46	24	23	102	20	9	11	21	13	23	7	8	6	7	7	13	9	3	7	5	1	1	14	4	3	2	4	30	2	0	7	3	1	1	2	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north5_active	80	1014	583	1070	341	158	711	120	209	147	242	51	39	48	31	38	27	19	27	25	9	9	63	9	5	5	8	8	18	3	4	2	6	5	8	3	0	5	5	1	1	10	1	0	1	1	28	2	0	6	3	1	1	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north6_all	80	2250	1137	1646	607	336	1007	205	341	242	326	105	80	83	60	70	44	41	48	44	28	32	110	18	12	9	26	13	29	9	10	10	6	1	10	10	2	3	8	4	2	8	2	4	4	3	23	1	0	5	15	3	3	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north6_active	80	1018	584	1075	333	172	643	102	213	151	215	56	33	48	36	38	27	18	22	27	15	12	72	8	5	2	9	10	22	5	6	4	6	1	6	3	0	2	7	3	0	3	1	1	2	1	20	1	0	5	12	3	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north7_all	80	2247	1104	1578	599	335	974	204	326	246	291	102	72	79	55	63	61	40	54	38	24	34	84	19	14	12	17	14	29	7	8	11	10	1	7	7	2	2	7	3	3	6	4	4	3	3	5	0	0	0	12	4	3	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
0.03	north7_active	80	1020	557	1026	334	168	641	94	204	158	185	54	27	46	31	37	38	15	27	24	14	12	56	9	6	3	3	10	23	4	5	5	8	1	5	2	0	1	5	2	1	2	2	1	1	1	1	0	0	0	9	4	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
