label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94
0.03	north1_all	80	3875	1975	1074	748	581	447	360	299	209	196	167	328	127	108	145	67	110	47	66	52	44	46	29	36	21	18	17	26	13	20	6	3	22	18	4	8	16	9	6	15	5	2	11	11	3	1	5	0	1	2	0	3	1	0	2	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0
0.03	north1_active	80	1138	832	284	256	164	166	119	116	53	90	46	273	34	25	108	8	83	17	34	20	16	26	13	11	7	5	7	12	8	15	2	0	16	12	2	1	15	1	3	13	2	0	10	7	3	0	5	0	1	2	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0
0.03	north2_all	80	3860	2023	1120	789	571	464	333	328	223	212	177	367	125	99	176	70	130	49	69	53	50	53	32	39	17	17	20	28	18	21	8	6	20	9	11	8	17	12	5	18	4	2	14	8	4	2	6	2	0	3	5	3	5	1	1	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0
0.03	north2_active	80	1209	895	294	306	174	189	115	143	58	101	56	311	37	25	137	15	96	19	37	21	18	34	15	14	9	7	9	13	14	15	3	1	15	6	6	2	16	1	2	16	2	0	13	6	4	1	6	2	0	3	4	0	4	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0
0.03	north3_all	80	3858	2079	1140	805	585	479	342	344	239	211	177	378	115	103	201	88	125	56	67	51	46	49	28	34	19	19	24	16	20	18	8	4	24	14	13	6	19	12	5	13	5	1	13	10	4	1	6	2	2	3	5	3	5	1	2	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0
0.03	north3_active	80	1227	905	300	332	189	196	115	159	55	95	51	315	33	25	167	25	85	19	40	19	21	29	10	14	10	7	10	7	18	11	3	2	17	9	8	1	18	1	2	12	2	0	13	7	4	1	6	2	0	3	4	1	4	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0
0.03	north4_all	80	3897	2015	1158	786	562	494	343	313	243	216	167	352	110	103	198	85	106	54	65	54	44	41	32	25	26	22	23	14	20	16	7	7	17	11	19	8	16	9	3	33	5	1	7	10	5	2	3	3	2	1	6	1	5	2	1	7	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1164	862	295	297	152	201	100	134	49	94	41	287	28	25	158	23	65	16	35	18	16	23	9	7	12	7	11	6	18	9	2	3	10	7	12	2	15	0	1	32	2	0	7	8	3	2	3	2	0	1	4	1	4	1	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	3921	2004	1113	770	574	456	350	312	241	217	150	313	100	117	161	97	111	62	61	49	40	29	37	21	25	16	25	10	16	8	6	11	14	14	21	8	17	3	3	32	6	3	9	7	4	2	0	2	2	0	1	1	4	1	2	7	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1133	827	264	270	146	181	102	136	42	84	30	246	18	32	123	25	74	18	35	17	16	12	10	4	8	2	12	7	14	2	0	5	10	10	14	3	16	0	0	30	3	1	7	6	2	2	0	1	0	0	0	1	4	0	1	5	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
