label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109
0.03	north1_all	80	15892	4834	5888	2200	2236	1095	878	757	1173	1105	715	367	358	607	470	326	212	162	323	135	113	97	78	79	79	57	115	52	58	33	82	74	34	33	25	47	25	21	18	28	13	13	13	10	13	6	13	19	10	8	9	8	2	7	1	3	5	2	9	3	6	4	2	0	1	0	0	0	0	0	1	1	0	4	0	1	0	0	2	1	0	2	0	0	0	1	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	11991	2459	4926	1233	1676	443	365	329	900	949	530	150	211	498	379	255	131	62	271	81	42	49	20	22	34	23	87	16	33	15	73	63	13	21	6	37	22	13	8	14	9	3	5	3	10	1	12	17	6	1	5	3	0	6	1	0	3	1	8	0	5	1	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	16777	5016	6347	2188	2358	1132	897	787	1226	1236	696	386	354	625	516	364	217	150	364	140	126	114	73	79	88	64	122	57	57	39	86	84	39	34	25	55	30	23	19	24	15	10	14	17	12	9	10	17	6	7	7	11	3	7	4	2	4	1	12	4	3	3	3	0	1	0	0	0	0	0	2	0	0	3	0	0	1	0	1	0	0	2	0	0	0	1	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	13072	2721	5369	1269	1804	476	390	355	967	1078	515	167	212	514	433	300	142	61	309	82	59	64	13	25	40	34	87	22	34	20	75	71	19	26	7	45	26	15	7	15	9	5	5	11	10	3	9	14	2	2	5	7	1	6	1	0	3	0	11	1	2	1	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	16960	5009	6433	2194	2343	1147	948	783	1196	1257	704	398	355	650	539	386	192	162	355	130	129	115	71	75	80	70	106	46	54	35	101	77	39	42	16	36	32	17	17	15	14	16	20	17	8	8	8	22	7	7	11	8	4	6	6	2	2	2	7	7	3	5	2	1	2	0	0	0	0	0	3	0	0	4	1	1	1	0	3	0	0	2	0	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	13308	2766	5459	1278	1790	477	430	347	946	1098	536	176	216	535	453	317	126	68	301	77	64	63	14	25	42	39	75	20	32	14	90	68	22	34	4	31	27	10	6	8	7	5	12	12	6	3	6	20	6	3	9	5	1	6	2	1	1	1	7	3	3	3	1	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	16874	4989	6486	2179	2376	1192	975	752	1141	1276	744	387	367	632	565	363	213	140	387	137	140	111	84	77	72	65	98	53	62	33	97	82	30	38	11	26	43	13	14	10	16	20	17	18	6	9	7	14	10	4	8	7	4	7	5	5	0	1	5	4	1	5	1	3	1	0	3	2	1	1	3	0	1	1	2	2	1	0	3	1	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north4_active	80	13172	2719	5512	1251	1822	523	427	313	918	1107	575	178	225	521	489	303	129	65	342	81	67	54	18	22	39	36	63	19	41	13	84	73	19	27	2	24	34	7	6	5	9	6	14	13	4	4	5	11	5	3	7	5	1	6	1	3	0	1	4	3	1	3	1	1	0	0	3	2	0	1	0	0	1	1	1	1	0	0	3	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	16652	4924	6631	2223	2433	1196	981	735	1157	1331	729	383	351	607	591	381	204	168	375	149	144	104	92	70	64	65	93	55	51	27	91	75	48	40	11	34	44	18	13	18	17	22	20	8	9	10	9	18	12	3	7	6	2	6	6	5	1	1	3	5	1	5	2	5	3	0	3	2	1	2	4	1	1	1	2	2	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0.03	north5_active	80	12951	2646	5652	1258	1899	539	426	300	958	1158	571	170	219	512	515	319	120	68	328	83	71	43	22	19	36	40	63	16	32	12	78	69	37	27	3	31	31	8	8	6	10	7	16	6	6	6	6	15	5	3	5	3	0	4	2	3	1	1	2	4	1	4	0	2	2	0	3	2	0	1	2	1	1	1	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north6_all	80	16806	4872	6553	2208	2467	1258	960	746	1242	1278	723	388	361	606	525	347	218	149	348	147	128	110	99	73	66	74	86	52	59	25	70	72	46	38	15	38	44	21	17	21	26	21	23	10	12	14	10	9	18	6	5	5	2	6	2	5	5	0	4	2	1	4	2	4	2	1	3	2	1	3	3	1	2	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0.03	north6_active	80	13077	2575	5594	1228	1919	566	406	312	1030	1106	560	185	211	511	449	294	129	55	311	94	58	52	21	23	31	43	60	11	41	14	55	64	34	27	5	36	27	10	9	7	14	6	18	6	9	10	6	7	11	3	3	1	0	4	2	3	3	0	2	1	0	2	0	1	2	0	3	2	0	2	2	1	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north7_all	80	16918	4904	6482	2261	2527	1223	924	776	1201	1328	670	387	332	588	507	330	227	163	374	158	108	113	94	75	53	77	90	56	47	29	64	60	55	37	24	46	29	23	21	23	32	20	19	13	11	16	11	7	15	6	6	5	0	5	6	6	7	1	5	4	1	4	2	3	2	1	2	0	0	2	4	1	3	2	1	1	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north7_active	80	13135	2584	5521	1258	1975	539	383	329	969	1162	516	165	185	492	425	274	132	57	328	93	52	51	23	23	18	49	69	16	31	13	51	43	34	25	6	41	18	12	11	10	15	8	15	9	8	13	8	6	12	2	3	0	0	3	4	3	5	1	3	1	0	1	0	1	2	0	1	0	0	1	2	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north8_all	80	15995	4838	5871	2261	2455	1182	906	768	1146	1262	651	377	326	543	470	304	232	149	354	158	103	110	94	67	60	74	73	41	47	28	51	57	47	34	26	40	25	22	22	21	26	15	22	15	8	12	13	6	16	10	7	6	0	5	7	6	8	1	5	4	2	3	0	2	2	1	2	0	0	1	1	0	3	2	1	1	0	1	0	0	1	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	12057	2504	4917	1201	1899	482	364	322	911	1080	478	156	166	443	386	231	128	58	301	88	49	53	22	21	16	39	56	12	32	11	38	36	26	23	6	35	11	11	8	9	10	6	18	9	7	9	8	6	15	2	3	1	0	4	3	2	5	1	3	1	0	1	0	0	2	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	15128	4812	5419	2232	2254	1128	918	755	1024	1148	616	366	321	518	452	293	224	154	324	142	103	111	92	73	59	72	80	42	52	33	50	47	44	43	24	43	25	19	18	20	22	17	17	19	6	11	11	4	15	8	4	6	0	4	9	6	8	2	3	3	1	2	0	2	0	1	3	1	0	0	1	1	2	2	1	0	0	1	0	0	1	1	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
