label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104
0.03	north1_all	80	6316	2624	1592	887	1064	538	1441	316	291	262	267	184	143	277	335	170	144	127	71	62	65	95	40	64	96	55	42	16	17	16	29	31	15	27	16	19	10	11	12	5	8	2	7	5	2	7	4	9	1	3	1	4	1	1	2	3	4	1	3	2	0	1	0	3	7	0	0	4	0	0	0	0	1	2	0	0	0	1	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north1_active	80	3590	1450	840	450	602	234	1003	172	150	123	151	87	73	169	192	105	89	76	33	31	29	68	17	40	76	33	24	6	10	10	19	26	8	18	15	11	6	4	6	3	6	1	3	4	0	2	3	7	0	2	0	3	0	1	1	3	2	0	3	1	0	0	0	3	6	0	0	2	0	0	0	0	1	2	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	6297	2619	1490	916	1087	506	1463	330	301	263	290	181	135	293	329	172	129	127	73	69	69	100	45	69	87	59	55	20	15	16	34	23	19	30	20	17	20	15	12	5	8	3	9	5	2	8	7	10	0	5	2	3	1	1	1	2	1	1	2	0	0	1	1	4	2	1	0	4	2	0	0	0	0	2	0	0	0	5	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_active	80	3597	1448	789	464	633	213	1031	165	155	128	174	88	65	186	192	109	79	66	35	34	36	71	20	45	65	33	34	9	7	10	22	15	11	24	19	10	11	8	5	3	5	1	4	4	1	3	5	8	0	3	2	3	0	1	1	2	0	0	2	0	0	0	0	1	1	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	6300	2678	1510	922	1053	504	1458	371	303	285	261	174	133	267	316	169	117	108	76	72	60	98	42	77	81	60	72	23	19	17	28	17	19	34	21	11	22	13	14	6	11	5	8	5	2	12	6	4	0	11	3	2	3	0	1	2	2	0	1	1	0	0	1	4	4	1	0	0	2	0	0	0	1	2	0	0	0	5	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0
0.03	north3_active	80	3552	1466	784	451	637	233	1009	180	163	133	157	83	57	154	185	106	67	60	34	43	31	61	17	52	61	37	49	13	9	9	16	5	10	23	15	4	12	7	6	3	5	1	4	4	1	6	4	1	0	8	3	2	2	0	1	2	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north4_all	80	6136	2602	1528	959	1058	513	1390	399	294	292	283	183	128	281	318	157	123	96	61	78	59	91	43	68	81	70	63	28	26	20	31	22	20	31	21	13	22	14	13	6	15	4	6	6	2	10	4	6	0	11	4	2	2	1	0	3	3	1	0	2	1	0	1	4	5	2	0	0	2	0	0	0	1	0	0	0	0	5	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0
0.03	north4_active	80	3426	1436	800	470	631	245	986	200	154	135	164	98	61	172	192	104	72	55	30	46	29	55	22	40	58	48	42	19	11	10	20	5	11	22	15	5	11	9	4	3	4	0	3	5	1	4	3	2	0	8	4	0	2	1	0	2	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north5_all	80	6162	2642	1532	960	1040	520	1310	401	292	282	280	175	124	283	317	154	132	101	61	85	80	90	38	73	88	61	61	29	24	21	27	24	17	32	14	9	14	12	10	8	15	5	4	7	3	7	3	8	1	14	3	2	4	2	0	3	4	3	0	2	1	0	1	0	6	2	1	0	2	1	0	0	1	0	0	0	0	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north5_active	80	3428	1420	799	459	620	265	894	193	148	126	153	88	59	172	196	94	84	62	32	50	40	56	22	43	54	43	43	17	11	9	19	11	11	22	7	5	9	8	4	3	4	2	2	5	1	3	2	4	0	11	2	0	3	2	0	2	2	1	0	0	0	0	0	0	2	2	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
