label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68
0.03	north1_all	80	15224	3496	6772	2059	1373	742	699	416	355	292	524	452	163	292	123	231	163	80	43	34	43	66	26	30	14	14	15	14	21	34	14	18	8	6	2	14	2	9	1	2	4	4	0	1	1	1	1	10	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north1_active	80	12093	1237	6075	1427	879	208	380	97	147	118	444	385	58	251	67	194	130	40	8	9	19	52	9	12	7	6	6	2	19	34	8	14	7	2	0	10	2	7	1	0	0	2	0	0	0	0	0	10	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	15426	3483	6946	2130	1381	735	737	428	377	295	561	472	139	311	116	184	152	78	47	38	56	116	27	34	20	9	9	15	26	29	16	16	5	5	2	29	1	8	1	2	4	2	0	1	1	0	2	11	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north2_active	80	12216	1202	6250	1484	885	204	424	103	151	116	494	397	49	265	65	148	121	40	9	11	29	98	9	16	7	3	5	3	23	28	8	12	5	2	0	25	0	6	1	0	0	0	0	0	0	0	1	10	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	15615	3429	6954	2142	1373	752	720	433	389	283	587	431	136	328	124	196	135	78	54	38	52	143	31	29	22	12	6	13	19	35	11	16	5	5	3	21	2	8	2	2	1	4	1	1	2	0	1	2	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
0.03	north3_active	80	12276	1189	6228	1490	855	207	418	115	157	116	518	349	42	276	69	159	100	45	12	8	30	125	14	18	9	3	3	4	14	34	3	14	4	1	1	19	0	6	1	0	0	2	1	1	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	15626	3511	6883	2214	1365	777	756	435	390	286	603	514	138	315	131	168	131	72	56	46	50	168	30	33	22	11	9	11	16	30	5	16	4	5	3	22	3	4	1	1	2	4	2	4	1	0	1	2	1	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north4_active	80	12331	1264	6175	1545	850	230	455	103	162	113	529	432	42	262	67	132	101	39	12	10	32	151	12	20	8	3	3	5	10	29	0	14	1	1	1	22	1	3	0	0	0	2	1	2	0	0	1	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	14541	3540	6451	2122	1287	795	734	455	387	305	555	480	156	295	138	157	115	61	51	45	40	118	27	27	20	11	12	9	11	27	3	7	5	2	3	8	2	4	1	0	2	3	2	4	2	0	1	1	3	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0
0.03	north5_active	80	11262	1255	5745	1448	759	231	427	111	156	111	486	399	49	228	63	117	83	36	11	11	26	106	11	14	7	3	4	2	4	26	1	5	1	0	1	8	1	2	0	0	1	2	1	2	0	0	1	1	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north6_all	80	13694	3616	5808	1989	1209	761	701	428	371	294	446	455	156	247	128	131	116	67	53	42	45	89	22	28	16	14	12	11	10	19	8	6	5	4	4	6	2	4	0	0	3	1	1	4	4	1	0	1	2	2	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
0.03	north6_active	80	10401	1205	5085	1266	683	201	407	101	152	95	365	365	48	192	57	98	80	35	9	12	20	80	7	12	5	3	3	4	6	18	5	4	1	1	1	6	1	2	0	0	1	0	0	1	0	1	0	1	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north7_all	80	13050	3633	5343	1930	1178	741	663	415	350	301	407	428	165	257	128	131	132	70	50	36	53	74	27	23	16	12	11	12	10	14	10	7	7	3	4	3	1	7	1	0	2	4	0	2	4	2	0	0	2	6	1	7	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
0.03	north7_active	80	9715	1181	4615	1187	640	195	347	97	145	99	329	336	51	206	54	100	97	35	8	10	26	65	9	8	4	2	3	3	6	13	7	5	2	1	1	2	0	6	1	0	1	3	0	0	0	2	0	0	1	6	1	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north8_all	80	13378	3630	5689	1874	1195	730	655	420	360	282	485	420	172	237	148	166	131	75	49	34	60	75	19	25	20	21	13	12	11	16	15	9	4	4	3	3	2	9	1	2	3	6	2	1	3	2	0	0	2	6	0	7	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north8_active	80	10013	1193	4953	1163	664	204	331	101	154	97	400	332	50	191	70	131	100	33	10	10	29	67	8	9	7	4	5	6	7	14	12	7	1	1	1	2	1	8	1	2	1	5	2	0	0	2	0	0	1	6	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	14235	3669	6318	1944	1272	712	643	439	384	272	517	437	172	262	136	181	151	76	47	37	59	99	26	30	20	23	17	12	8	12	15	9	5	3	1	2	1	7	2	2	2	6	2	0	0	1	0	0	0	5	0	8	7	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	10904	1286	5614	1300	760	207	333	101	164	96	439	365	55	225	69	153	126	36	10	9	30	93	10	13	5	6	9	4	4	11	15	7	1	0	0	1	1	7	1	2	1	5	2	0	0	1	0	0	0	4	0	7	6	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	15059	3599	6943	1973	1307	743	659	435	385	273	522	446	148	275	128	200	182	60	49	48	49	82	24	30	22	28	15	20	6	14	16	11	2	4	1	2	4	12	3	4	3	4	2	0	2	1	0	2	1	8	0	1	6	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	11860	1329	6238	1383	804	217	352	98	170	96	439	376	52	240	66	169	159	28	11	14	25	76	8	14	6	8	8	9	4	12	16	9	0	1	0	2	1	9	2	4	1	3	2	0	0	0	0	2	1	7	0	0	6	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
