label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78
0.03	north1_all	80	5134	2335	914	727	466	593	332	300	300	165	130	130	68	97	165	51	41	51	28	56	43	39	23	24	44	13	8	14	4	9	9	5	5	5	1	8	5	1	1	11	1	5	0	3	9	1	1	1	0	2	1	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	3508	1561	208	368	92	436	196	183	224	69	28	80	13	67	143	18	18	26	6	47	41	30	16	16	43	4	4	10	1	8	5	5	0	3	0	7	2	1	0	8	0	4	0	1	9	1	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	5134	2337	897	752	473	624	323	290	267	146	119	171	76	90	171	37	33	52	22	53	38	32	25	23	51	13	6	13	9	11	9	3	5	6	1	8	3	2	0	7	1	4	0	3	1	1	1	1	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	3543	1569	202	375	104	460	199	181	205	58	23	114	16	60	144	11	9	23	4	42	32	20	17	18	47	4	2	10	3	6	7	2	0	6	0	7	0	1	0	5	0	3	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	5255	2312	921	766	440	620	347	292	263	143	95	144	77	92	164	40	32	52	28	42	52	26	24	20	62	8	6	11	11	12	10	6	4	10	1	4	3	1	1	2	1	5	1	5	1	3	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	3610	1553	203	382	100	456	208	176	199	59	16	93	13	64	144	17	9	26	3	31	44	16	17	16	56	3	3	7	3	6	8	2	2	10	0	4	0	0	1	1	0	4	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	5197	2251	921	782	428	629	350	296	251	157	97	159	81	83	167	41	37	48	34	69	51	18	23	25	67	8	10	7	12	12	8	8	5	8	4	1	2	1	2	2	0	2	1	4	1	2	1	0	0	8	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	3554	1498	196	402	105	458	216	188	184	70	16	105	18	54	141	18	13	22	5	60	44	12	15	19	61	4	5	5	4	6	6	4	3	8	2	0	0	0	2	2	0	1	0	3	0	1	0	0	0	8	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	5278	2270	956	809	431	590	343	280	263	168	100	112	83	80	158	54	36	51	37	92	63	21	22	27	73	10	9	9	11	6	7	7	5	5	4	2	0	1	3	2	0	1	2	3	3	2	1	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	3572	1494	202	408	93	437	200	174	186	80	21	71	23	53	134	21	14	24	6	83	54	13	16	19	67	6	3	6	2	4	4	4	3	5	3	0	0	1	2	2	0	1	0	3	2	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	5244	2272	935	768	467	595	347	290	273	166	110	105	84	86	141	52	35	46	35	102	57	22	19	24	50	12	12	9	8	7	4	5	7	3	6	4	0	4	2	2	1	0	2	1	3	0	0	0	0	8	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	3538	1522	192	382	100	441	195	183	193	82	23	73	21	56	114	20	14	22	6	91	49	15	12	13	47	8	4	3	2	3	1	3	2	2	3	2	0	2	1	1	1	0	1	1	2	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	5257	2276	944	729	466	620	361	296	283	159	110	116	90	79	124	49	32	46	28	109	62	21	13	22	42	12	18	10	11	7	6	3	9	3	6	4	0	5	3	1	1	0	2	0	5	1	0	0	1	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north7_active	80	3551	1545	204	357	102	459	204	179	199	76	20	79	25	51	102	17	12	19	6	97	50	12	6	14	39	6	9	4	2	3	3	3	2	1	3	2	0	3	2	0	1	0	1	0	4	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north8_all	80	5217	2275	922	733	470	626	377	313	309	146	115	131	90	86	124	42	38	38	20	97	55	28	14	17	32	9	18	12	8	9	10	5	9	3	6	4	0	4	2	1	2	1	3	1	5	2	0	0	1	0	1	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north8_active	80	3566	1548	207	366	113	470	221	193	221	69	16	87	22	56	100	16	16	17	4	85	40	19	7	11	28	4	8	4	2	5	6	5	2	1	3	3	0	2	2	0	1	0	1	0	4	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north9_all	80	5147	2342	885	750	452	650	389	344	326	150	112	116	101	79	135	41	41	32	21	98	37	32	13	11	42	6	17	9	7	8	10	11	6	7	5	3	0	4	2	3	1	1	3	2	8	2	0	1	2	0	1	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north9_active	80	3477	1583	208	393	113	497	242	225	229	65	15	73	24	52	113	15	16	16	7	87	29	22	8	9	38	1	9	4	1	6	6	10	1	5	2	2	0	4	2	2	0	0	1	0	7	2	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north10_all	80	5058	2329	892	754	483	636	343	329	303	148	112	107	93	64	176	44	53	30	30	74	38	29	19	12	75	6	15	6	5	8	8	8	3	6	3	2	1	4	1	4	2	1	3	2	6	2	0	1	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
