label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80
0.03	north1_all	80	16204	4470	2525	3076	972	712	630	634	342	359	307	265	254	231	119	187	99	143	100	71	99	82	68	36	44	37	13	23	68	12	18	13	21	7	5	4	9	12	14	4	4	4	3	3	5	1	2	8	9	2	0	1	0	6	1	2	0	0	2	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north1_active	80	10489	2582	1410	2042	429	342	330	341	171	232	174	160	144	149	57	120	54	97	76	47	70	56	39	18	27	20	7	12	45	6	7	3	13	3	2	1	6	7	9	2	3	0	1	3	2	1	1	7	7	0	0	0	0	5	0	2	0	0	2	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	16108	4376	2580	3044	960	752	623	635	360	387	311	239	265	234	126	182	111	117	96	63	115	81	73	41	41	31	19	22	32	9	19	13	16	8	11	6	8	13	13	2	4	5	3	3	2	1	1	7	9	2	0	1	0	6	1	1	0	0	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north2_active	80	10410	2534	1413	1997	420	364	314	343	171	222	169	142	152	149	65	122	66	87	70	42	77	61	56	22	23	12	12	11	20	5	8	4	11	5	6	2	5	10	8	1	3	2	1	3	1	0	1	6	7	0	0	0	0	5	0	1	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	16017	4404	2587	2987	935	769	602	682	362	391	319	242	249	242	124	174	124	116	101	49	112	77	79	35	39	31	18	21	51	13	17	8	20	11	14	8	6	15	13	6	4	8	3	4	1	1	0	4	12	1	0	0	0	6	2	1	0	0	2	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0
0.03	north3_active	80	10349	2541	1427	1927	411	370	316	400	176	231	160	141	130	157	68	123	76	81	71	30	74	59	61	17	16	13	11	7	38	5	9	2	14	7	8	3	2	10	8	2	2	5	2	2	1	0	0	2	11	0	0	0	0	6	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	16127	4424	2637	2953	925	764	590	681	366	391	298	235	258	242	135	176	132	112	112	60	120	77	79	32	45	38	20	21	49	15	19	11	22	8	11	6	6	15	8	7	6	9	5	11	1	3	1	5	4	1	1	0	0	2	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0
0.03	north4_active	80	10310	2595	1456	1858	419	368	291	401	175	224	150	136	147	155	70	126	77	78	68	37	74	57	58	20	22	15	10	7	40	6	11	3	16	5	6	2	2	11	4	2	4	5	4	9	1	2	1	2	4	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	16266	4393	2670	2902	905	760	605	681	394	350	282	223	237	219	139	171	124	109	106	60	119	77	88	33	44	33	14	22	54	20	17	12	30	12	10	7	5	11	4	8	8	8	4	12	0	2	1	3	5	0	1	1	1	2	1	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0
0.03	north5_active	80	10500	2559	1508	1821	425	376	306	396	202	196	143	128	140	138	68	113	67	72	61	32	72	45	55	22	27	15	6	12	42	10	8	4	20	8	4	3	2	7	0	4	4	4	3	9	0	2	1	0	5	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	16195	4395	2655	2907	898	721	599	653	413	342	251	210	231	224	149	161	118	127	117	64	122	78	76	38	56	29	16	26	56	20	18	15	22	10	8	5	3	9	6	5	6	5	3	10	0	2	2	4	6	0	2	1	2	2	1	0	0	0	2	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0
0.03	north6_active	80	10454	2566	1507	1823	426	350	294	359	212	197	144	118	141	140	72	102	58	80	65	34	77	45	44	22	34	13	7	17	43	9	10	7	14	7	4	4	2	4	2	3	3	2	3	7	0	2	2	1	5	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	16119	4412	2522	2958	889	710	584	634	397	360	273	243	215	256	143	175	105	143	125	54	111	78	79	32	64	31	12	29	55	17	14	13	22	13	11	5	6	8	9	5	8	2	3	5	0	4	3	13	2	1	1	2	2	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0
0.03	north7_active	80	10445	2573	1450	1888	433	346	313	341	202	211	157	138	127	157	71	111	51	89	80	27	70	39	50	18	39	17	5	20	39	8	7	6	14	9	6	4	5	3	2	3	5	0	3	4	0	4	1	2	1	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	16165	4456	2564	2955	907	740	590	662	362	362	272	232	218	277	129	172	101	140	127	54	127	98	78	38	67	30	13	30	56	12	11	10	14	12	10	6	6	11	9	3	7	0	4	0	0	2	4	13	1	1	2	4	3	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
0.03	north8_active	80	10438	2528	1459	1905	445	378	312	347	189	213	140	133	134	168	67	105	45	79	82	30	83	53	55	22	43	16	6	17	49	2	8	5	7	7	5	5	5	5	4	0	5	0	3	0	0	2	1	2	0	0	1	4	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	16242	4447	2613	3011	901	748	567	644	337	360	281	264	219	263	123	187	101	125	123	56	125	101	77	38	72	32	12	25	50	10	14	8	13	8	8	5	8	13	15	3	5	1	4	0	0	3	3	13	2	2	2	4	2	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north9_active	80	10447	2563	1490	1955	437	380	298	352	182	197	142	157	132	166	65	123	47	68	82	31	79	65	59	21	45	15	6	12	42	1	11	3	7	4	3	3	6	7	8	1	5	1	2	0	0	2	0	3	1	1	1	4	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	15972	4526	2639	3032	888	752	539	653	355	357	284	254	238	225	117	191	99	132	95	59	129	81	100	39	67	41	15	26	36	12	14	9	16	9	7	7	8	9	11	2	7	1	5	1	4	1	1	11	3	5	1	3	2	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north10_active	80	10310	2631	1482	1996	408	398	269	370	198	193	144	156	157	138	59	123	53	74	64	32	84	53	68	23	47	17	8	11	29	2	11	3	9	4	3	4	5	5	7	1	7	1	2	1	3	0	0	2	1	4	1	3	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	16372	4535	2602	3070	979	773	577	625	344	359	264	300	258	254	138	165	98	189	151	57	91	77	83	30	56	28	22	24	72	9	14	8	16	6	7	3	3	16	17	4	9	5	3	4	3	4	4	9	3	1	1	0	12	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	10553	2593	1449	1970	453	390	300	369	175	197	143	192	140	149	71	99	50	127	95	25	64	49	49	11	39	18	12	12	61	6	8	3	10	2	4	2	1	9	13	4	6	3	1	4	1	3	3	2	1	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	16564	4583	2620	3022	934	749	579	623	332	367	302	316	261	238	138	173	90	188	157	52	96	98	93	33	49	30	19	27	73	12	8	9	22	4	10	4	4	7	19	5	10	3	3	4	3	2	5	8	2	1	1	0	3	0	1	3	1	0	0	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	10725	2612	1474	1972	450	385	285	383	165	182	171	197	153	148	63	103	44	129	109	19	67	60	59	15	35	17	12	17	62	8	7	3	14	0	5	2	2	4	15	4	6	2	0	4	1	2	3	2	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	16510	4636	2631	2900	931	753	571	619	338	361	303	323	260	222	121	186	102	180	134	57	113	101	96	29	56	26	21	27	66	14	8	13	20	7	12	5	4	6	15	4	9	0	4	5	5	2	7	6	0	1	1	2	1	0	1	3	0	0	1	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	10769	2697	1488	1907	447	399	278	387	160	164	167	188	152	129	58	114	52	122	89	22	79	63	63	11	42	11	14	20	50	9	6	6	13	2	6	4	1	4	12	3	7	0	1	5	4	1	6	0	0	0	0	1	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	16210	4622	2634	2908	884	737	576	634	334	355	294	308	257	236	134	198	112	158	114	61	109	96	98	42	51	28	20	30	42	11	11	13	18	11	12	7	4	6	3	3	10	2	5	4	5	1	5	4	2	0	0	3	0	0	1	3	0	0	2	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	10576	2701	1501	1938	431	373	288	415	151	168	157	170	159	129	56	123	51	101	74	28	71	54	70	16	34	13	9	19	27	7	6	7	12	5	7	4	1	4	2	2	9	1	2	4	4	0	4	4	2	0	0	2	0	0	0	3	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
