label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87
0.03	north1_all	80	37936	16354	8311	4933	4750	4420	2597	1671	2064	1994	1067	1305	648	733	466	346	469	453	205	185	163	131	137	198	130	113	107	56	46	42	39	51	27	24	19	27	10	23	20	12	6	5	11	12	7	6	4	5	3	7	1	3	4	2	0	3	0	3	0	1	0	0	5	0	0	0	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north1_active	80	20870	8784	4130	2198	2619	2662	1389	769	1186	1139	560	794	300	394	248	165	273	282	88	95	71	56	59	125	86	68	64	33	21	22	18	36	12	16	5	16	5	16	8	7	4	3	4	6	3	5	3	2	2	4	0	0	4	0	0	2	0	0	0	0	0	0	5	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	37125	15766	8217	5037	4637	4442	2511	1661	2098	1920	996	1251	620	687	479	351	468	449	202	179	160	134	121	165	120	98	93	66	35	42	40	58	19	26	25	31	8	26	21	11	9	7	13	12	6	6	2	10	3	4	0	3	5	3	0	4	1	3	0	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	20273	8367	4038	2266	2540	2659	1291	785	1196	1120	523	759	282	368	250	170	281	286	96	90	74	64	51	113	72	56	56	39	16	20	16	41	10	14	8	18	3	17	7	7	5	5	6	4	4	5	1	7	2	1	0	0	4	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	36844	15688	8236	5136	4592	4397	2454	1668	2058	1947	1052	1287	604	678	504	364	514	449	195	185	171	142	116	146	110	104	113	71	34	35	45	67	24	30	26	27	5	21	20	20	10	8	12	15	8	6	4	13	4	5	2	4	4	4	0	3	1	2	0	0	0	0	1	0	0	0	0	0	2	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	20088	8345	3957	2320	2453	2624	1223	793	1162	1120	557	827	273	370	268	177	327	290	90	82	83	73	46	101	68	64	59	40	17	15	19	43	11	15	11	18	2	12	10	13	6	7	5	9	5	4	2	10	1	1	0	1	3	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	39078	16553	8577	5207	4907	4727	2521	1735	2153	2135	1121	1471	571	696	562	384	510	518	207	184	152	130	123	156	154	113	100	83	46	49	46	65	23	30	25	24	7	15	22	21	11	6	12	16	7	7	2	12	3	5	2	4	1	2	1	1	2	2	3	0	0	0	2	1	0	4	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	21785	9068	4268	2391	2695	2865	1254	855	1250	1302	638	941	246	394	306	189	313	333	98	86	73	71	56	97	113	67	57	49	22	28	18	40	11	16	13	14	1	9	15	13	5	5	7	9	5	5	1	11	1	2	0	1	0	1	0	1	0	1	3	0	0	0	0	1	0	3	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_all	80	41049	17521	8847	5093	5204	4992	2658	1772	2312	2410	1166	1551	575	786	557	399	552	551	211	179	171	145	132	209	161	110	138	85	50	54	46	64	27	33	26	23	19	22	30	24	9	7	17	38	11	6	4	12	3	6	3	1	1	2	2	1	1	1	3	0	0	0	3	1	0	4	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	23483	9837	4527	2306	2899	3028	1368	883	1409	1540	690	1008	248	467	310	192	360	326	94	84	96	77	65	143	117	60	79	50	25	31	19	38	14	20	12	9	9	15	16	14	5	4	10	33	6	3	2	9	1	3	1	1	0	1	0	1	0	1	3	0	0	0	0	1	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
