label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40
0.03	north1_all	80	19869	4086	3066	1240	1593	569	396	321	244	151	401	76	58	47	35	71	21	18	9	10	12	11	1	5	1	0	1	1	0	3	0	0	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	16231	1440	2108	444	1282	144	141	194	124	101	380	24	22	20	13	62	9	9	2	3	10	5	1	4	1	0	1	1	0	3	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_all	80	19777	4038	3160	1268	1580	586	414	340	242	166	431	85	57	48	38	72	26	22	11	12	13	8	3	4	9	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_active	80	16169	1414	2190	474	1258	142	149	216	124	107	399	23	15	19	15	64	8	8	3	4	10	2	0	3	9	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0
0.03	north3_all	80	19806	4013	3153	1318	1589	556	389	336	239	190	371	69	56	47	33	62	27	22	11	13	20	3	4	3	9	2	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north3_active	80	16238	1411	2214	504	1286	146	144	208	118	121	343	17	17	16	14	54	10	9	3	5	17	1	1	1	9	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_all	80	20049	3956	3208	1283	1622	543	384	325	232	219	337	70	63	52	34	53	24	15	14	13	23	4	5	3	9	2	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	16509	1419	2261	501	1327	145	146	193	127	143	307	21	21	17	12	45	12	5	4	4	20	2	1	2	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north5_all	80	20097	3908	3170	1241	1652	524	360	305	229	206	318	76	69	41	32	70	18	14	13	13	22	5	3	4	3	3	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	16557	1417	2225	465	1350	145	133	172	131	136	290	27	26	15	10	62	8	8	5	3	21	3	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	19915	3912	3189	1249	1677	546	356	303	235	185	340	71	69	44	30	72	15	13	11	7	14	5	2	5	3	3	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	16305	1432	2207	493	1370	131	131	177	118	108	314	31	30	19	9	62	7	6	5	1	12	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	19847	3921	3121	1268	1609	534	364	316	244	149	352	76	66	45	31	84	22	14	11	6	15	5	2	4	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	16199	1394	2150	511	1291	125	139	194	125	80	323	35	29	16	9	71	8	5	4	0	12	3	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	19860	3970	3032	1321	1552	536	364	362	221	145	363	78	61	51	26	70	20	13	12	7	12	3	1	4	4	3	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north8_active	80	16140	1398	2077	548	1229	126	135	227	97	78	333	33	26	15	9	55	8	4	3	1	8	1	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	19907	3926	3046	1361	1600	554	360	363	213	161	313	80	63	47	25	68	23	14	13	11	16	6	3	6	7	2	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north9_active	80	16200	1411	2114	548	1241	149	129	220	97	93	279	38	23	9	9	56	11	6	4	4	10	2	0	3	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	20245	3997	3059	1375	1620	559	370	366	207	180	350	85	65	43	31	67	19	18	14	15	13	5	4	4	6	2	0	1	1	0	1	0	1	5	0	0	0	0	0	0	0
0.03	north10_active	80	16578	1491	2134	560	1262	157	124	227	107	103	309	34	18	12	14	57	11	10	6	5	9	1	1	2	3	0	0	1	1	0	1	0	0	5	0	0	0	0	0	0	0
0.03	north11_all	80	20112	3936	3171	1300	1521	585	363	318	230	191	374	68	70	40	31	75	17	15	7	11	16	1	8	1	2	2	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	16393	1454	2207	502	1214	192	124	195	129	114	350	31	33	18	11	69	5	6	3	5	14	0	4	0	2	1	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	20230	3868	3157	1288	1571	569	347	310	223	200	408	63	60	41	27	76	10	15	11	13	17	2	6	2	11	1	1	0	3	6	0	0	1	0	0	0	0	0	1	0	0
0.03	north12_active	80	16535	1439	2175	463	1258	175	119	196	116	120	380	34	30	15	9	71	3	6	6	5	15	0	1	1	10	1	1	0	2	6	0	0	1	0	0	0	0	0	0	0	0
0.03	north13_all	80	20135	3808	3170	1277	1509	565	372	309	224	194	393	62	59	45	23	77	10	15	10	9	31	3	5	2	12	0	1	0	3	6	0	0	2	0	0	0	0	0	1	0	0
0.03	north13_active	80	16448	1395	2203	455	1225	173	132	200	124	107	362	28	26	14	8	73	3	5	6	4	29	0	1	2	10	0	1	0	2	6	0	0	2	0	0	0	0	0	0	0	0
0.03	north14_all	80	20095	3813	3128	1317	1538	532	384	319	226	194	311	65	61	41	26	58	14	10	11	7	42	3	4	2	11	0	0	0	3	7	0	1	2	0	0	0	0	0	1	0	0
0.03	north14_active	80	16444	1350	2149	477	1240	147	131	190	131	110	278	29	25	10	9	55	6	2	5	2	40	0	1	2	9	0	0	0	2	7	0	0	2	0	0	0	0	0	0	0	0
0.03	north15_all	80	19832	3849	3177	1302	1556	545	405	347	243	184	309	71	62	41	32	56	17	9	8	4	44	1	4	5	7	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0
0.03	north15_active	80	16140	1344	2186	470	1254	136	143	200	153	108	268	28	25	11	11	52	7	5	2	1	41	0	1	4	6	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
0.03	north16_all	80	19771	3825	3123	1337	1590	521	416	340	229	180	289	78	65	35	32	59	19	8	11	4	35	2	2	4	5	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	16147	1356	2169	490	1273	114	146	188	138	108	248	31	29	10	12	52	5	6	4	1	33	0	1	2	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	20180	3835	3146	1325	1600	548	396	340	248	185	320	84	76	36	30	55	19	10	9	2	14	2	3	5	4	0	1	1	1	0	0	1	0	2	0	0	0	0	0	0	0
0.03	north17_active	80	16471	1375	2169	477	1265	118	136	193	149	111	282	33	36	10	9	46	6	6	3	1	12	0	0	3	2	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north18_all	80	20030	3841	3021	1337	1572	568	379	340	236	185	336	70	74	37	24	66	20	9	11	3	15	3	8	2	3	1	1	5	2	0	1	1	0	2	0	0	0	0	0	0	0
0.03	north18_active	80	16290	1441	2088	483	1222	120	118	196	133	114	304	26	32	10	6	57	7	3	4	1	12	0	2	1	1	0	1	4	1	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north19_all	80	20097	3863	3006	1336	1611	570	378	324	216	192	298	64	75	38	24	69	25	11	8	8	13	2	10	2	4	2	0	5	2	1	1	2	0	3	0	1	0	0	0	0	1
0.03	north19_active	80	16359	1466	2078	513	1265	131	111	195	125	121	269	23	27	9	6	64	9	2	3	4	11	1	4	2	4	0	0	4	1	0	0	0	0	3	0	0	0	0	0	0	0
0.03	north20_all	80	19906	3850	2987	1307	1677	574	408	310	202	204	293	59	74	42	24	65	26	11	7	12	9	2	11	2	4	3	1	6	2	1	1	2	0	1	0	1	0	0	0	0	1
0.03	north20_active	80	16242	1430	2041	521	1314	131	126	190	113	138	264	19	25	12	6	63	12	3	1	6	7	1	4	2	4	1	1	4	2	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south21_all	80	20080	3964	3099	1227	1516	618	389	296	191	206	339	74	47	42	43	112	26	18	7	8	14	8	7	3	2	1	2	3	1	1	0	0	2	0	1	0	0	1	0	0	0
0.03	south21_active	80	16433	1427	2185	488	1193	170	126	183	98	125	308	32	25	10	14	104	8	7	2	3	13	2	4	1	2	0	1	3	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	south22_all	80	20263	3924	3111	1271	1540	593	407	303	198	211	344	83	50	44	39	104	21	22	11	7	7	8	6	3	2	1	1	3	0	2	0	0	1	0	1	0	0	1	0	0	0
0.03	south22_active	80	16624	1456	2183	503	1217	160	130	184	108	136	312	39	30	12	13	97	10	9	4	3	7	1	4	1	2	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	south23_all	80	20029	3979	3025	1251	1571	561	407	307	206	208	301	93	40	43	43	99	21	22	12	6	12	7	8	2	2	0	0	1	1	1	0	0	1	0	1	0	1	1	0	0	0
0.03	south23_active	80	16376	1491	2106	482	1266	139	142	187	108	142	272	40	25	10	14	93	10	6	6	2	12	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south24_all	80	19991	3957	3092	1240	1584	529	385	332	203	187	269	91	53	39	38	86	14	24	14	7	10	5	11	3	6	0	0	1	1	2	0	0	2	0	0	0	1	0	0	3	0
0.03	south24_active	80	16395	1465	2164	442	1266	132	142	192	110	124	243	40	27	14	15	80	6	8	7	0	10	0	3	2	6	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0
0.03	south25_all	80	20012	3982	3103	1202	1578	558	377	332	198	190	317	90	61	44	36	71	12	26	14	8	7	7	8	2	11	0	1	2	1	1	0	0	2	0	0	0	1	0	0	3	0
0.03	south25_active	80	16384	1451	2154	431	1244	144	145	200	103	125	288	34	25	17	13	64	5	10	7	3	7	3	1	2	11	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0
0.03	south26_all	80	19929	3951	3050	1236	1579	554	372	322	196	198	342	81	72	43	29	56	18	24	9	10	5	6	7	3	16	0	2	1	1	2	0	0	2	0	0	0	1	0	0	3	0
0.03	south26_active	80	16313	1418	2117	439	1248	146	143	192	113	129	311	27	31	20	12	49	13	12	4	3	5	3	2	2	16	0	0	0	0	1	0	0	1	0	0	0	1	0	0	3	0
0.03	south27_all	80	19282	3940	2901	1272	1486	579	361	348	204	200	341	87	70	42	25	46	23	23	13	10	7	4	5	4	12	0	3	1	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	south27_active	80	15479	1372	1934	448	1135	157	126	202	114	137	301	26	29	19	9	34	15	11	5	3	7	3	2	2	12	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	south28_all	80	17060	3867	2719	1280	1321	561	358	332	186	176	309	76	61	41	30	45	27	23	12	8	6	2	6	3	7	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	south28_active	80	13041	1218	1686	422	972	147	96	185	97	113	261	20	28	19	10	32	13	11	3	2	5	1	3	1	7	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	south29_all	80	15011	3817	2518	1250	1179	571	336	321	184	171	262	79	57	37	26	44	19	13	13	7	6	2	5	2	0	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
0.03	south29_active	80	10741	1044	1425	351	799	145	77	147	83	99	213	16	20	14	7	32	6	3	2	1	4	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south30_all	80	13029	3772	2334	1235	1093	545	377	277	167	150	206	79	52	31	26	36	17	11	11	4	4	3	6	2	0	4	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south30_active	80	8601	900	1232	312	676	128	68	121	72	79	157	18	12	8	6	27	4	3	2	1	2	1	2	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	18616	3916	3049	1343	1474	531	394	341	192	177	342	71	37	41	43	51	25	17	10	9	13	5	4	7	6	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_active	80	14805	1350	2011	486	1138	128	132	191	94	111	312	27	12	8	8	46	10	6	6	5	9	3	2	6	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	19652	3899	3100	1338	1519	545	367	329	212	185	364	72	43	38	44	65	22	17	12	7	12	5	2	6	6	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_active	80	16012	1391	2134	492	1228	136	133	183	117	116	329	24	16	8	12	58	8	7	7	4	9	3	1	4	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	19671	3908	3178	1307	1542	549	343	315	191	176	324	78	48	41	39	64	20	14	13	10	16	2	3	6	11	2	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south33_active	80	16054	1405	2186	482	1252	152	123	170	117	105	287	27	18	16	13	55	9	7	7	6	13	1	1	4	9	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	19614	3849	3104	1287	1556	550	375	316	203	177	304	71	47	40	37	70	17	12	14	8	14	2	3	1	12	2	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0
0.03	south34_active	80	15974	1367	2133	467	1264	156	134	175	132	114	266	26	17	19	17	55	5	5	8	4	12	2	0	0	10	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south35_all	80	19683	3887	3032	1238	1632	551	379	311	223	169	288	72	49	36	36	47	19	13	19	15	26	5	2	1	11	3	1	2	0	1	1	0	1	1	0	0	0	0	0	0	0
0.03	south35_active	80	16068	1371	2060	476	1300	159	131	167	141	111	257	28	19	15	20	33	4	4	8	8	24	4	0	0	9	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south36_all	80	19872	3865	3042	1222	1661	525	409	314	236	182	291	71	49	41	33	48	16	10	21	16	19	5	5	1	9	1	1	2	1	3	1	0	1	1	0	0	0	0	0	0	0
0.03	south36_active	80	16245	1365	2077	455	1306	155	155	172	141	127	265	25	18	13	18	35	4	2	7	9	17	4	2	1	8	1	1	2	1	2	0	0	0	1	0	0	0	0	0	0	0
0.03	south37_all	80	18343	3808	2886	1221	1579	495	375	298	253	179	253	71	60	45	29	49	26	13	18	17	17	6	7	1	5	3	1	2	2	2	0	0	1	0	0	0	0	0	0	0	0
0.03	south37_active	80	14442	1242	1893	429	1215	131	129	160	133	115	227	22	21	11	12	36	8	2	4	9	15	5	2	1	5	1	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	16334	3779	2758	1282	1345	501	387	286	234	180	213	72	62	44	31	45	25	13	17	16	4	3	10	1	5	3	3	2	2	2	0	0	1	0	0	0	0	0	0	0	0
0.03	south38_active	80	12220	1122	1718	405	969	128	117	141	119	111	188	18	22	10	8	38	8	2	3	8	3	2	3	1	5	1	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0
