label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37
0.03	north1_all	80	1855	1289	1001	218	717	463	81	76	49	39	22	55	14	13	8	2	3	5	5	5	1	2	0	3	0	1	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north1_active	80	847	740	617	81	456	307	43	44	23	13	13	35	4	11	5	0	2	2	3	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	1870	1320	1042	222	727	465	84	73	39	39	29	51	11	13	6	3	4	7	4	3	0	2	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north2_active	80	830	756	614	89	445	304	48	41	19	13	14	30	5	11	4	0	2	4	3	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	1912	1295	1032	245	726	423	84	69	37	36	33	53	7	11	6	6	1	8	2	5	0	2	0	2	0	2	1	1	0	0	2	0	0	0	0	0	0	0
0.03	north3_active	80	858	758	584	104	464	276	41	35	17	10	17	25	3	7	4	1	0	5	2	2	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	1912	1276	1054	256	715	410	89	63	33	42	24	56	6	13	4	4	4	7	5	4	0	4	0	1	0	2	1	1	0	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	858	751	608	119	475	278	41	34	14	15	11	37	3	6	2	1	2	5	3	2	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	1918	1277	1065	262	637	404	88	55	41	34	18	64	8	16	6	7	5	4	6	4	0	4	0	1	0	2	1	1	0	0	0	0	0	1	0	0	0	0
0.03	north5_active	80	866	739	633	125	408	266	38	27	17	13	11	40	4	9	3	3	3	2	4	2	0	2	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0
0.03	north6_all	80	1953	1274	999	272	549	371	88	51	39	30	19	70	9	15	7	6	4	3	6	3	0	4	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
0.03	north6_active	80	881	741	580	130	364	245	39	28	16	10	13	49	4	9	3	3	3	2	4	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north7_all	80	1960	1246	942	258	567	363	84	62	45	28	20	55	8	14	10	10	3	3	3	2	0	1	2	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0
0.03	north7_active	80	870	720	531	121	381	235	36	33	21	10	12	34	3	9	6	4	3	3	3	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north8_all	80	1949	1161	881	259	586	297	89	70	47	32	19	50	9	13	14	10	2	4	3	2	0	2	2	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0
0.03	north8_active	80	839	658	515	111	387	199	36	33	24	10	11	29	2	9	9	4	2	4	3	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	north9_all	80	1882	1164	864	271	570	278	83	83	41	30	19	42	11	15	15	8	2	3	4	4	0	2	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	north9_active	80	814	657	518	120	362	190	38	44	17	12	8	22	2	7	10	2	1	3	3	3	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	north10_all	80	1853	1217	856	262	524	293	89	73	33	28	18	43	13	12	11	6	5	5	4	4	0	3	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
0.03	north10_active	80	779	668	538	111	328	200	40	39	15	12	3	27	4	5	6	2	4	4	3	4	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north11_all	80	1947	1422	1098	239	710	393	78	72	31	31	25	51	11	14	4	5	5	7	0	8	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	875	851	667	97	468	272	27	41	20	18	13	41	6	9	1	2	2	5	0	8	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	1944	1397	1159	224	656	432	79	67	37	36	21	48	14	15	7	6	3	7	1	8	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	867	839	760	92	438	287	28	41	20	22	9	38	8	12	3	4	2	6	1	8	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	1929	1372	1123	231	645	450	77	83	42	40	23	45	15	14	8	9	2	10	1	4	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	868	835	745	104	439	292	28	48	20	25	10	34	8	12	4	6	2	8	1	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	1924	1335	1126	224	658	460	72	81	43	37	21	52	13	12	10	11	5	8	1	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	882	808	750	93	443	290	33	38	18	19	9	35	6	7	5	5	3	7	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	1906	1294	1139	227	661	426	80	90	47	26	20	47	15	10	6	9	5	8	2	4	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	891	770	768	95	430	269	41	44	24	14	8	30	5	3	2	3	2	7	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	1908	1327	1111	231	650	415	80	77	48	33	26	43	13	14	5	5	8	6	4	2	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north16_active	80	884	785	745	89	412	273	43	37	28	20	12	23	3	6	1	1	3	4	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
