label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107
0.03	north6_all	80	4601	8441	5782	1031	827	511	898	386	350	278	296	166	161	165	123	104	98	92	64	74	63	79	66	44	98	36	66	24	60	26	25	24	22	18	11	9	28	19	44	4	10	17	7	15	10	6	7	7	2	6	4	1	3	2	8	9	29	8	1	1	0	2	3	0	0	2	1	0	1	3	0	0	3	0	0	0	1	0	2	1	2	2	0	1	0	0	0	0	0	0	0	0	0	4	0	2	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	1129	7752	5367	389	411	182	734	186	166	56	200	52	58	66	52	25	29	51	19	43	27	53	27	16	84	13	55	15	47	13	7	20	7	3	3	4	26	15	43	0	6	12	4	13	3	3	4	5	2	6	1	0	1	1	4	9	29	8	0	0	0	1	3	0	0	2	1	0	1	3	0	0	3	0	0	0	0	0	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	4527	8503	5831	1016	780	529	882	410	344	257	321	167	161	157	131	114	105	97	74	85	62	64	72	47	79	29	59	25	62	28	21	26	21	15	13	12	26	24	55	3	8	14	8	12	8	5	7	10	1	2	3	3	3	2	8	7	12	9	1	1	0	4	3	1	0	1	1	0	1	3	0	0	3	0	0	1	1	0	2	0	2	2	0	1	0	0	0	1	0	0	0	0	0	4	0	2	1	1	0	1	0	0	0	0	0	0	0	0
0.03	north7_active	80	1107	7844	5435	391	384	182	718	204	167	58	230	55	54	70	55	32	30	54	20	42	29	43	30	22	65	10	54	14	47	15	5	20	6	3	3	5	24	20	52	0	6	8	5	12	2	2	4	9	1	2	1	1	1	1	5	7	12	8	0	1	0	1	3	0	0	1	1	0	1	3	0	0	3	0	0	0	0	0	2	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north8_all	80	4573	8097	5919	1044	762	549	943	421	341	254	318	171	151	156	134	110	102	109	68	95	50	58	69	49	78	30	56	29	51	32	21	31	20	18	12	14	25	25	63	3	7	14	6	12	8	6	7	12	1	7	1	3	2	4	5	11	6	8	1	1	0	3	3	2	0	1	0	0	1	3	1	0	2	0	2	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	4	0	2	1	1	0	1	0	0	0	0	0	0	0	2
0.03	north8_active	80	1130	7427	5508	410	372	192	780	212	174	62	229	48	47	72	52	31	32	66	17	46	20	35	29	22	60	8	50	13	42	16	5	19	5	3	2	5	23	18	59	2	7	6	2	11	2	4	3	12	1	6	0	1	1	2	4	10	5	7	0	1	0	1	3	1	0	1	0	0	1	3	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	2
0.03	north9_all	80	4539	7855	6087	1007	742	527	940	429	352	255	345	178	150	140	134	118	105	105	65	102	53	65	74	47	67	28	53	33	59	32	21	29	21	15	12	15	20	25	51	7	5	9	4	10	6	8	9	16	2	7	2	3	1	2	2	6	7	8	0	1	0	4	0	2	0	2	0	0	1	3	1	0	2	0	2	1	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2
0.03	north9_active	80	1110	7160	5687	399	382	182	775	218	170	62	249	52	45	56	57	32	28	64	16	53	17	40	33	23	52	7	45	12	51	14	5	19	6	4	1	3	17	17	48	4	4	2	1	9	2	5	5	16	2	6	1	1	1	1	1	5	4	7	0	1	0	0	0	1	0	2	0	0	0	3	1	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2
0.03	north10_all	80	4565	7641	6180	984	767	533	953	412	363	259	331	178	151	145	126	115	98	110	71	93	56	76	59	49	73	28	53	39	61	33	18	30	23	10	17	12	24	24	26	11	6	8	5	12	6	9	14	13	3	8	1	2	1	3	1	6	18	7	0	0	1	3	0	1	0	2	0	0	1	0	1	0	0	0	2	0	1	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2
0.03	north10_active	80	1108	6932	5763	384	398	175	785	200	175	59	227	54	58	49	56	31	31	67	22	51	15	51	26	20	58	9	47	17	52	15	3	21	7	2	2	2	21	18	24	7	5	2	2	9	1	6	11	13	2	7	1	1	1	2	0	5	15	6	0	0	1	0	0	1	0	2	0	0	0	0	1	0	0	0	2	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2
0.03	north11_all	80	4456	8013	5814	963	781	534	898	368	326	257	305	186	151	144	164	126	94	115	68	78	52	73	56	41	84	37	93	24	68	28	25	32	5	21	16	13	36	18	34	12	6	11	9	5	8	4	3	14	5	7	3	2	1	6	2	8	3	2	0	2	1	1	7	0	3	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	1147	7337	5403	368	427	211	707	158	141	52	206	57	53	50	80	38	31	78	16	59	10	49	28	18	70	9	79	9	55	12	6	19	0	6	2	4	35	15	28	3	3	10	1	1	2	2	3	10	2	6	0	0	1	1	1	8	3	1	0	1	0	0	7	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	4489	8190	6070	1011	778	544	897	386	305	264	340	186	148	138	166	113	90	97	51	96	63	61	41	44	83	36	75	31	70	24	16	33	16	16	15	14	39	20	28	10	7	20	7	6	7	3	9	14	3	9	4	4	0	6	1	11	3	5	0	2	1	2	4	0	3	1	2	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	1135	7500	5687	385	426	201	716	166	124	67	230	50	51	49	84	35	34	66	13	63	16	40	24	17	65	8	61	14	58	11	3	21	4	6	1	2	36	18	23	1	2	17	2	1	1	0	6	11	1	8	0	1	0	2	0	11	3	3	0	1	0	1	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
