label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97
0.03	north1_all	80	2950	1132	470	488	346	445	218	198	98	124	94	158	89	40	118	56	65	46	29	24	23	15	115	20	14	7	9	27	22	11	8	10	6	18	10	4	3	3	10	3	3	2	1	5	7	5	1	1	3	0	2	0	1	0	0	1	2	5	0	0	0	3	2	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north1_active	80	1792	625	241	281	191	275	110	120	50	70	47	87	57	23	75	33	40	25	19	14	9	7	91	12	6	4	1	18	18	5	2	8	3	14	8	1	2	2	7	1	2	0	0	4	6	4	1	1	2	0	1	0	0	0	0	0	1	4	0	0	0	3	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_all	80	2911	1123	490	493	332	458	192	190	113	114	111	172	87	49	108	51	69	45	28	25	19	22	96	20	15	7	10	24	24	14	7	10	5	18	13	2	7	6	5	4	4	4	1	6	7	4	2	1	4	0	1	0	1	0	0	1	2	1	0	0	0	3	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1753	611	245	296	182	280	92	108	58	73	62	102	49	26	79	28	40	20	17	14	8	10	70	13	9	3	1	15	17	6	2	6	3	15	8	1	4	3	3	1	1	0	0	3	5	4	1	1	4	0	0	0	0	0	0	0	1	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3059	1144	480	497	339	474	198	193	115	107	120	154	98	65	92	46	56	48	28	26	16	18	104	24	15	8	7	29	30	13	8	11	5	12	12	2	7	7	4	5	5	7	2	2	8	4	3	1	2	0	1	0	1	0	0	4	2	4	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1884	611	243	296	183	306	94	105	62	58	64	90	51	32	57	20	26	21	15	17	8	11	75	11	8	3	1	15	23	4	4	6	2	8	5	1	4	4	2	2	2	2	2	0	6	4	1	1	2	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	3095	1135	492	508	309	495	205	186	112	119	131	172	91	62	114	43	57	41	32	35	14	17	67	17	17	11	9	36	32	14	8	11	4	7	13	5	8	5	6	5	8	6	3	3	2	0	3	1	3	0	0	0	0	0	3	6	5	4	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north4_active	80	1835	626	244	289	160	314	95	95	56	64	75	117	44	30	69	18	32	21	16	19	7	9	35	7	6	6	0	19	25	4	3	5	2	6	4	2	5	2	4	2	3	2	2	0	1	0	1	1	2	0	0	0	0	0	0	4	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	3157	1167	484	455	338	485	211	170	100	126	106	177	94	64	116	46	58	42	35	41	18	21	63	16	20	11	9	33	34	10	7	9	3	16	7	5	6	6	5	3	8	6	4	2	2	1	3	1	3	3	1	2	1	0	3	6	4	4	0	0	1	0	3	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north5_active	80	1902	639	233	251	178	333	98	84	49	66	61	118	51	29	66	21	37	24	14	20	10	12	38	6	9	6	3	18	27	3	4	3	2	14	2	2	5	4	4	2	3	2	3	0	2	0	2	1	1	2	0	1	1	0	0	4	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
