label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112
0.03	north1_all	80	3917	4703	1386	704	543	477	817	274	322	273	171	379	414	246	108	367	108	74	309	56	45	41	106	39	63	27	20	22	42	88	65	20	18	13	16	13	12	10	9	6	66	11	9	9	3	3	2	4	9	4	5	4	0	0	1	5	0	2	1	3	1	0	2	1	1	3	0	2	0	1	0	0	0	1	0	0	1	2	1	1	1	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north1_active	80	2071	4109	943	203	140	225	691	133	180	170	82	319	356	212	30	338	69	40	293	19	22	11	90	21	53	4	6	10	32	86	61	7	8	4	10	9	4	3	3	6	64	7	5	9	2	2	2	0	7	4	2	2	0	0	0	3	0	1	0	2	0	0	2	0	0	3	0	2	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	3957	4857	1386	722	538	454	831	268	298	286	172	329	403	266	109	398	112	66	313	56	47	41	92	29	79	26	28	26	44	75	54	26	13	10	12	11	11	9	10	10	42	10	7	6	3	1	2	2	7	3	3	4	1	1	2	4	1	0	3	2	2	2	1	1	2	2	0	0	0	3	0	1	0	1	0	0	0	6	1	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	2062	4275	934	219	149	203	712	133	174	171	75	271	354	231	26	373	71	35	294	22	22	11	82	18	65	7	11	10	33	72	48	16	7	2	8	7	3	2	3	9	39	7	4	6	2	0	2	0	7	3	1	2	0	0	0	4	1	0	0	2	1	0	1	0	1	2	0	0	0	2	0	0	0	0	0	0	0	5	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3913	4626	1371	729	565	476	827	253	280	265	178	269	361	246	107	365	88	67	307	48	52	45	71	35	91	21	31	31	34	59	56	27	15	14	14	10	13	8	10	13	37	4	11	5	1	1	4	1	5	3	3	3	2	3	3	8	1	1	3	4	2	2	0	0	1	1	0	0	0	2	0	1	0	0	0	1	0	4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	2005	4018	894	231	148	242	716	122	154	158	77	220	308	202	25	340	53	39	286	18	19	12	65	20	79	8	16	9	28	52	48	18	9	3	12	7	4	2	3	10	34	3	6	3	0	0	3	0	3	3	1	1	1	0	1	8	1	0	1	4	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	3846	4086	1327	714	540	466	771	278	241	246	193	231	296	213	92	333	80	76	288	46	52	40	56	40	69	23	24	27	39	53	41	28	17	12	14	14	11	7	7	13	28	4	15	4	2	2	4	5	2	2	1	2	3	4	3	11	3	1	5	2	1	2	1	1	1	2	0	0	0	2	0	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	1871	3449	818	209	131	231	649	128	114	142	74	177	249	162	21	308	42	39	267	13	14	11	43	17	57	10	12	8	33	46	32	22	10	3	11	7	2	1	1	7	25	3	9	2	1	0	3	0	0	2	1	1	1	0	1	11	2	0	2	2	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_all	80	3745	3580	1359	696	539	497	700	271	225	232	208	238	274	190	99	261	92	66	238	43	49	39	54	37	70	24	27	22	32	54	39	17	14	9	15	13	9	7	5	8	17	4	15	8	9	3	3	4	3	5	1	4	2	3	2	8	2	1	5	4	1	1	2	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north5_active	80	1789	2910	798	177	119	226	585	112	101	133	76	185	226	140	23	231	45	34	222	10	13	5	36	10	59	8	14	8	27	50	29	12	5	2	12	5	2	1	0	2	16	4	10	5	8	1	2	0	1	5	0	4	1	0	1	8	1	0	2	4	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
