label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39
0.03	north1_all	80	3640	2620	1029	855	415	428	322	257	95	106	60	54	59	28	23	12	10	12	8	5	4	7	3	2	3	1	3	1	1	0	1	2	0	0	1	0	0	0	0	0
0.03	north1_active	80	1668	1549	553	496	217	253	180	158	48	59	31	33	53	18	14	5	4	4	4	3	1	2	1	1	2	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north2_all	80	3674	2713	1042	882	453	427	352	288	86	112	55	63	65	28	24	12	6	15	6	4	5	4	3	2	3	1	3	1	1	0	0	2	0	0	0	0	0	0	0	0
0.03	north2_active	80	1700	1593	566	506	238	239	204	175	45	62	28	38	45	19	13	5	4	6	4	2	2	1	1	1	2	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north3_all	80	3653	2796	1100	949	474	479	371	307	89	101	51	83	65	24	21	12	3	17	5	2	3	4	4	2	3	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1636	1665	619	565	243	289	231	188	45	67	20	48	38	12	13	4	2	5	3	2	2	1	3	1	3	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	3607	2830	1103	988	471	470	396	334	90	99	45	70	62	23	16	7	3	18	6	2	3	3	5	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1598	1657	624	603	255	292	238	231	45	63	18	36	30	11	10	3	1	8	3	2	2	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	3596	2819	1155	972	452	507	402	329	97	93	51	79	61	21	22	8	7	12	5	4	3	4	4	1	1	2	3	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	1606	1714	647	602	233	322	250	246	49	57	21	45	39	10	12	2	4	6	2	3	1	2	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	3590	2839	1168	973	460	488	392	319	90	86	47	72	71	17	26	5	12	14	5	5	5	4	2	3	2	2	3	0	2	0	0	0	0	1	0	0	0	0	0	0
0.03	north6_active	80	1592	1702	640	616	235	318	244	235	44	51	22	43	55	7	14	2	6	8	3	3	3	3	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	3551	2883	1173	960	437	485	396	332	93	82	47	74	86	21	29	9	12	12	4	7	6	7	4	4	2	3	1	0	2	0	1	3	0	1	0	0	0	0	0	0
0.03	north7_active	80	1587	1737	630	602	236	307	249	228	49	44	21	44	74	9	16	3	5	8	1	4	2	6	2	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	3551	2824	1101	925	436	482	354	357	95	83	52	80	104	19	29	13	12	10	4	5	5	5	3	3	2	3	1	0	1	0	1	3	0	1	0	0	0	0	0	0
0.03	north8_active	80	1605	1693	585	548	240	308	225	254	54	43	22	45	88	8	14	5	5	5	2	1	2	4	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
