label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59
0.03	south29_all	80	7404	3346	3247	2517	786	774	398	405	275	255	291	159	166	115	160	100	97	162	34	31	49	74	18	26	28	14	10	7	12	9	6	2	4	3	3	3	5	2	7	0	0	2	0	0	0	5	0	0	0	0	3	0	0	0	0	2	0	0	0	0
0.03	south29_active	80	2884	1490	2466	2081	170	456	115	212	80	155	214	83	98	73	131	75	68	147	19	15	44	67	5	20	21	5	10	3	10	6	0	1	1	1	1	3	2	1	7	0	0	1	0	0	0	5	0	0	0	0	3	0	0	0	0	2	0	0	0	0
0.03	south30_all	80	7432	3423	3251	2522	831	790	403	393	278	264	271	166	168	130	165	91	85	159	32	30	58	70	20	20	37	10	16	9	12	7	5	1	5	1	4	10	5	2	2	6	0	3	0	0	0	5	0	1	0	0	3	0	0	1	0	2	0	0	0	0
0.03	south30_active	80	2937	1549	2448	2074	184	473	128	210	93	149	199	84	100	85	133	67	57	146	20	18	47	58	7	14	29	5	16	3	9	4	0	0	0	0	1	10	3	1	2	6	0	1	0	0	0	5	0	1	0	0	3	0	0	1	0	2	0	0	0	0
0.03	south31_all	80	7493	3359	3290	2335	849	796	443	404	297	252	250	140	158	114	167	112	76	136	44	38	26	37	17	35	23	10	15	5	9	7	4	6	4	4	0	10	3	0	0	3	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south31_active	80	3036	1542	2525	1889	204	449	134	213	113	154	176	76	95	60	135	77	59	119	25	24	17	24	7	24	19	5	9	2	6	4	2	4	1	2	0	8	3	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south32_all	80	7516	3337	3207	2378	831	768	439	445	302	269	254	155	170	128	144	115	80	143	56	43	36	30	23	32	12	10	16	4	4	8	3	5	6	3	3	10	4	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_active	80	2989	1500	2475	1920	197	458	132	234	109	154	167	84	105	70	116	78	55	131	29	28	25	14	11	19	9	4	11	0	1	6	1	3	3	2	0	8	4	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	7410	3307	3179	2396	832	805	453	448	287	279	252	153	147	129	178	94	76	130	52	46	53	37	21	25	12	9	20	4	3	9	7	4	5	3	4	4	2	2	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_active	80	2934	1447	2445	1967	168	473	136	229	94	167	166	81	90	82	144	62	49	117	26	34	44	25	9	15	10	5	16	1	3	7	3	2	3	2	1	3	2	2	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
