label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58
0.03	north1_all	80	4795	1953	2101	2066	765	348	809	401	458	161	232	153	154	80	59	93	35	34	28	10	13	36	13	4	4	4	6	2	4	4	7	5	2	2	0	1	0	3	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	2273	909	1306	1349	432	160	565	231	294	80	154	89	112	43	30	63	17	21	14	2	5	31	7	3	2	2	4	1	3	3	2	3	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	4747	1960	2183	2264	794	366	834	430	484	152	230	178	156	76	49	99	35	29	31	17	14	25	11	4	4	7	3	2	0	3	8	4	2	2	0	1	1	2	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	2324	906	1349	1484	463	158	544	242	323	71	165	112	107	44	28	64	13	16	20	4	8	18	8	1	1	3	1	0	0	2	3	2	1	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	4787	2020	2354	2397	814	364	847	482	518	167	291	186	193	80	45	92	35	27	29	18	14	26	7	2	4	6	8	3	2	3	7	2	2	1	0	1	4	0	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	2356	938	1477	1621	478	158	561	270	354	73	208	126	136	40	28	59	17	16	18	7	6	19	6	0	1	2	5	0	0	1	5	1	1	0	0	1	4	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	4861	2090	2403	2615	809	363	891	513	530	171	306	212	208	86	45	88	32	25	31	21	19	28	14	4	4	7	9	2	4	2	10	3	1	0	0	1	4	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	2447	993	1487	1773	479	147	607	293	379	73	215	128	154	45	22	57	14	13	18	9	11	20	7	2	1	3	6	0	2	0	8	1	0	0	0	1	4	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	4844	2126	2370	2575	814	366	944	526	563	159	280	209	176	83	46	87	34	21	26	16	17	23	25	4	5	6	10	3	6	5	8	2	3	0	3	1	5	0	1	0	0	3	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0
0.03	north5_active	80	2342	1030	1459	1714	481	155	642	320	409	75	183	137	128	41	26	52	16	10	15	8	8	16	14	3	2	3	7	2	3	3	7	1	1	0	3	1	3	0	1	0	0	3	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
