label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70
0.03	north1_all	80	6947	2479	1022	2113	780	397	805	430	201	171	233	159	146	85	73	61	39	61	51	36	42	33	11	12	17	9	13	7	10	29	6	17	7	1	1	3	1	0	5	3	0	3	0	4	0	1	0	0	1	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	4212	1398	457	1432	462	191	513	251	110	93	149	92	93	42	40	26	20	40	23	18	17	17	6	2	12	6	5	4	6	25	2	16	5	1	0	1	0	0	2	2	0	2	0	4	0	1	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	6956	2512	988	2104	780	409	793	462	201	176	226	171	142	80	80	68	44	51	52	36	35	30	14	15	16	11	23	4	7	27	5	19	14	3	9	2	1	0	3	4	0	4	0	4	0	2	0	0	1	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	4230	1443	438	1408	475	187	511	268	108	103	146	88	81	44	36	32	21	31	26	23	16	17	9	2	10	3	12	2	4	23	2	15	10	2	0	1	0	0	1	2	0	3	0	4	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	6882	2475	1003	2100	752	437	731	429	192	174	199	174	142	83	65	66	43	45	39	34	37	32	13	16	20	13	20	4	7	15	4	12	19	3	10	4	2	0	3	3	1	5	0	4	2	1	0	1	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north3_active	80	4127	1397	443	1453	455	199	462	247	107	96	129	87	83	47	24	30	20	27	18	25	21	17	8	3	14	3	14	2	3	11	2	6	15	2	0	2	0	0	1	1	0	4	0	4	2	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	6925	2440	957	2040	795	443	699	431	207	165	194	177	141	84	58	60	47	43	36	37	33	29	17	16	18	15	19	0	10	9	7	10	18	3	12	3	2	0	5	2	2	2	0	0	2	1	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north4_active	80	4205	1378	439	1340	490	210	457	253	115	88	123	90	88	46	22	30	26	21	18	28	18	12	11	7	8	6	14	0	4	7	3	3	15	2	1	1	0	0	3	0	1	2	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	6879	2368	999	1932	787	448	693	415	216	169	209	167	145	80	57	68	39	51	41	33	39	30	15	17	21	16	20	5	10	15	6	8	15	2	4	4	5	2	3	0	2	4	0	0	2	0	0	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north5_active	80	4165	1324	464	1232	464	223	423	247	120	79	132	82	95	37	27	36	18	23	19	20	16	17	10	9	11	5	16	1	4	9	3	5	14	1	1	2	2	2	2	0	1	3	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	7015	2397	982	2019	843	430	731	433	200	170	236	154	145	71	61	64	39	74	48	51	31	28	14	18	17	13	13	7	8	19	4	9	4	3	4	2	6	3	3	0	3	4	0	0	0	1	0	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	4262	1346	441	1270	509	204	459	266	100	83	137	75	99	34	33	32	18	46	22	31	10	17	8	10	8	3	10	1	4	12	2	5	3	1	2	1	2	2	3	0	2	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	6999	2384	1025	2147	841	416	703	445	187	171	239	155	158	62	68	65	45	85	51	47	30	18	12	20	27	10	14	11	5	17	3	5	4	4	10	4	5	3	6	1	3	3	0	0	0	1	0	3	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	4280	1332	453	1343	509	186	429	283	91	91	136	79	116	25	33	31	21	61	18	28	12	13	6	11	19	2	11	1	3	10	1	3	4	2	7	3	2	2	6	1	1	2	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	7019	2444	1031	2265	896	428	696	424	177	177	209	170	155	66	67	68	39	93	46	46	31	16	18	20	27	9	15	8	4	10	3	6	5	3	13	4	4	3	6	1	3	2	1	0	0	1	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	4272	1345	461	1476	531	182	437	270	85	97	104	93	111	27	33	28	18	70	16	29	16	8	7	11	22	2	13	2	2	4	0	4	5	2	11	2	0	2	6	1	1	2	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
