label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61
0.03	north1_all	80	1546	657	473	268	301	298	123	98	102	134	89	57	51	32	18	19	23	29	8	32	13	4	7	10	12	7	7	9	2	3	5	4	1	2	1	0	1	2	1	0	0	0	2	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	763	319	247	136	169	167	48	34	58	90	45	25	30	12	5	9	15	17	2	23	7	0	5	6	10	6	2	5	1	0	3	2	1	1	0	0	0	2	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	1577	705	498	279	280	296	121	103	91	155	82	67	55	18	22	22	26	39	9	22	18	6	14	10	11	5	5	11	0	3	5	4	1	2	0	2	2	2	1	0	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	786	336	272	139	158	165	55	41	53	93	44	32	36	6	6	15	17	25	2	14	11	1	10	7	9	5	2	6	0	0	3	2	1	1	0	1	0	2	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	1621	688	524	255	279	326	137	104	78	206	89	82	52	23	22	35	22	47	11	19	25	7	13	10	5	6	6	8	0	5	5	5	1	1	9	2	1	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	817	333	302	123	155	179	65	42	46	116	47	47	34	9	6	25	11	33	4	9	18	1	10	6	5	5	1	6	0	0	2	2	1	0	9	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	1634	666	545	242	302	317	131	112	78	236	80	84	37	16	18	33	19	44	9	18	28	5	12	9	3	4	5	8	1	3	3	3	0	1	10	2	1	1	1	0	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	820	319	305	114	174	188	60	56	47	145	49	50	21	7	5	28	9	34	5	9	19	1	10	5	2	2	0	5	0	0	0	1	0	0	10	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	1635	634	537	268	306	327	137	106	103	219	85	80	36	14	13	35	25	47	15	19	24	3	10	7	5	6	4	4	2	5	7	2	1	0	10	1	1	1	7	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
0.03	north5_active	80	817	299	306	129	178	209	58	61	62	139	46	46	24	6	5	23	14	31	9	10	16	1	8	3	2	4	0	2	1	2	1	0	0	0	10	0	0	0	6	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	1632	635	522	279	313	314	130	117	107	229	89	74	41	17	13	32	29	45	15	22	15	4	14	7	6	16	3	3	3	3	7	1	1	0	1	0	0	1	6	0	0	0	2	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0
0.03	north6_active	80	800	294	308	138	178	200	57	65	58	155	54	46	25	7	5	21	18	36	11	13	11	3	11	2	3	11	0	1	2	2	2	0	0	0	1	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north7_all	80	1635	660	517	277	286	354	127	106	118	255	94	55	44	17	15	23	32	42	20	16	19	9	28	5	4	19	2	3	2	2	7	9	2	0	0	0	0	0	6	0	1	1	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0
0.03	north7_active	80	813	306	287	130	160	215	58	59	67	162	49	36	26	7	5	12	21	32	11	10	11	6	23	2	1	14	0	1	2	2	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north8_all	80	1642	693	522	274	293	349	131	109	118	247	97	56	41	20	19	18	35	38	14	13	17	10	27	5	1	16	3	0	4	1	12	13	1	0	6	1	3	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0
