label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53
0.03	north1_all	80	3149	1490	1091	640	440	719	275	568	111	234	79	66	48	109	27	44	31	38	19	48	11	13	12	26	6	5	5	5	1	1	5	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1397	756	575	356	220	446	167	376	42	147	46	37	22	79	16	27	13	26	12	41	8	4	6	19	3	3	3	3	0	0	5	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	3187	1503	1082	640	445	736	273	559	126	252	92	56	59	90	26	40	23	40	20	44	13	15	10	19	4	3	5	3	3	1	9	1	1	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1457	755	573	343	221	458	160	353	50	166	51	28	31	64	14	20	11	27	14	37	10	6	5	10	1	1	3	2	2	0	9	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3241	1510	1058	634	424	700	287	522	134	295	97	57	48	96	27	43	27	36	17	38	17	6	8	15	5	7	8	2	3	0	4	1	0	4	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1455	733	566	342	193	439	171	328	57	192	50	32	28	68	14	21	11	24	13	27	13	2	3	5	1	6	5	1	2	0	4	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	3312	1503	1065	653	428	734	270	500	144	283	89	49	50	86	28	46	24	20	15	57	16	6	7	10	4	8	9	0	3	1	7	1	2	3	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1495	693	579	354	207	453	151	334	67	198	46	25	27	59	14	18	12	11	13	45	9	2	2	2	1	7	5	0	2	0	7	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	3266	1502	1094	672	442	776	272	506	139	295	82	53	46	96	23	48	21	27	16	53	20	4	4	14	5	9	7	0	0	2	3	1	2	2	1	1	0	3	1	0	2	3	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	1467	703	592	369	216	471	153	347	71	201	43	24	23	71	12	23	8	19	13	40	12	1	0	5	1	9	4	0	0	1	3	0	1	1	0	0	0	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	3316	1518	1136	689	447	799	268	475	143	264	95	54	37	86	28	44	26	27	14	51	15	7	5	27	4	6	6	2	2	2	3	0	2	3	1	0	0	3	3	0	2	3	0	0	1	0	0	1	1	0	0	0	0	0
0.03	north6_active	80	1502	718	601	371	214	490	145	333	61	171	56	23	15	69	15	21	14	18	9	43	9	3	1	20	1	6	2	1	2	1	3	0	1	2	0	0	0	2	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0
