label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56
0.03	north1_all	80	4716	1258	1613	503	570	499	194	164	154	100	114	58	60	90	41	24	35	22	38	26	14	12	10	9	5	3	24	5	2	2	4	12	2	0	1	1	1	0	2	1	1	0	0	1	1	0	0	1	0	4	0	0	0	0	0	1	0
0.03	north1_active	80	2666	612	1023	218	325	306	98	76	77	45	62	24	23	52	19	12	19	8	23	12	12	7	6	5	1	1	19	2	1	1	3	8	2	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
0.03	north2_all	80	4293	1251	1392	519	506	420	191	168	142	97	114	67	53	63	43	25	33	24	27	17	12	10	11	4	7	5	11	7	4	2	4	8	1	0	1	2	2	0	0	1	1	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0
0.03	north2_active	80	2369	594	867	215	288	248	95	79	72	43	53	28	24	36	21	11	17	7	17	5	9	5	7	3	3	1	7	3	2	1	3	7	1	0	0	1	2	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3990	1235	1260	511	432	354	191	148	129	93	101	68	53	52	37	28	25	23	27	17	11	11	6	5	7	8	3	4	5	1	4	4	0	0	2	2	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	2133	582	759	215	221	212	90	64	71	40	42	30	27	35	16	13	11	10	13	7	7	6	4	3	5	5	1	2	1	0	3	3	0	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	4044	1283	1298	521	411	352	197	140	136	92	103	78	49	68	39	30	24	24	19	19	11	14	6	4	8	8	8	5	5	0	2	4	1	1	3	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	2240	624	754	229	205	216	92	63	72	42	44	33	23	46	18	14	8	10	7	9	7	9	4	2	7	5	2	3	2	0	2	3	1	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	3964	1260	1321	494	421	367	186	129	152	93	97	68	52	68	45	29	21	22	25	21	9	13	10	6	8	7	10	2	6	0	0	4	1	3	3	2	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
0.03	north5_active	80	2155	602	752	226	211	220	89	63	81	46	45	30	21	47	22	12	7	9	13	12	5	9	5	1	7	5	5	2	3	0	0	3	1	1	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	4088	1259	1426	465	455	397	175	151	156	90	106	66	48	70	43	30	18	22	26	18	11	11	11	9	9	2	11	2	6	0	0	5	1	5	2	1	3	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1
0.03	north6_active	80	2268	598	833	208	235	229	88	70	78	39	46	34	21	47	22	13	4	10	17	9	2	7	6	2	6	2	6	1	3	0	0	2	1	2	1	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	4218	1266	1454	440	474	410	182	150	148	95	104	65	50	63	43	27	18	19	23	20	9	11	16	9	11	4	9	3	4	0	1	9	1	5	3	0	2	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1
0.03	north7_active	80	2325	591	838	191	256	225	96	73	78	39	49	39	25	36	27	14	5	9	15	8	1	4	10	2	6	3	7	2	2	0	0	2	1	2	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	4580	1275	1527	451	515	445	202	158	153	100	107	75	55	75	33	27	22	21	29	23	13	14	14	12	10	5	11	4	2	0	1	12	0	4	2	0	1	1	1	1	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	1
0.03	north8_active	80	2575	600	902	192	272	247	105	71	81	44	52	47	31	36	18	14	9	10	18	10	5	5	9	6	5	3	7	2	0	0	0	5	0	2	0	0	1	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	4920	1280	1569	475	559	473	205	164	155	99	114	88	50	79	27	35	30	19	40	24	19	21	13	9	8	5	9	6	4	0	1	7	0	2	2	1	1	1	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	2847	583	952	213	306	268	103	71	88	46	60	51	28	38	17	19	14	10	27	11	13	6	8	4	3	2	5	5	2	0	0	3	0	1	0	1	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	5111	1263	1649	491	587	498	195	167	158	103	104	93	50	90	38	28	33	21	54	27	22	21	17	9	4	4	8	5	4	0	0	7	0	2	0	1	1	1	0	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	3048	607	1035	232	324	305	97	76	93	48	56	49	26	50	19	13	15	10	35	14	18	8	9	6	2	1	5	3	2	0	0	6	0	1	0	1	1	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	4946	1360	1718	522	491	463	201	140	158	90	75	65	57	78	60	26	37	30	46	40	21	25	10	3	9	8	11	3	4	0	0	5	2	1	6	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north11_active	80	2876	661	1029	233	271	290	89	59	79	45	36	32	26	44	26	6	18	19	34	27	10	11	5	2	4	7	10	2	1	0	0	1	1	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north12_all	80	5099	1407	1770	525	566	476	234	146	172	103	79	61	56	66	57	28	32	30	49	35	17	24	8	4	12	4	11	6	4	0	0	4	2	0	3	0	0	1	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north12_active	80	3017	684	1084	253	321	302	100	65	87	53	43	30	27	43	28	7	12	17	31	21	8	12	3	3	8	4	9	4	0	0	0	1	1	0	2	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north13_all	80	5348	1405	1866	513	614	532	241	155	175	104	96	75	69	64	52	27	32	31	45	38	16	20	11	5	11	10	21	5	2	0	1	1	2	0	3	0	0	1	0	0	0	3	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	3241	680	1125	249	350	339	106	72	97	49	58	37	38	48	28	14	10	17	25	26	7	12	6	4	7	5	17	2	0	0	1	0	1	0	2	0	0	0	0	0	0	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	5215	1350	1954	511	625	541	268	158	174	117	115	67	75	65	46	28	29	29	34	39	15	17	14	8	11	14	21	5	1	0	1	1	2	2	2	0	0	1	0	0	0	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	3142	650	1205	257	367	337	126	77	87	52	72	32	46	50	22	15	13	16	19	31	6	8	8	5	10	9	17	2	0	0	1	0	1	0	2	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	5200	1349	1990	540	625	511	243	157	177	116	132	69	76	75	41	29	28	25	33	44	13	15	13	6	8	13	27	5	2	1	1	0	1	3	2	1	0	0	0	4	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	3128	650	1212	271	354	294	121	78	91	52	81	35	45	52	17	18	12	14	21	37	6	9	7	3	6	8	23	2	1	1	1	0	1	1	2	1	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	5002	1292	1946	527	577	492	236	151	181	103	129	62	62	72	51	25	27	21	35	40	16	8	12	5	12	9	19	2	1	2	1	5	1	3	0	1	0	0	0	5	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	2940	617	1224	261	323	284	115	70	91	44	79	30	33	47	26	12	13	13	23	34	8	3	8	1	8	6	16	0	1	1	1	5	1	1	0	1	0	0	0	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	4838	1258	1722	521	540	465	231	158	191	98	113	60	58	84	49	24	38	20	29	39	14	9	18	3	12	10	20	4	2	3	1	6	2	1	0	2	1	2	0	9	2	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north17_active	80	2836	582	1082	246	304	261	98	78	97	44	62	30	30	52	26	13	18	11	17	30	6	4	11	0	7	4	18	2	2	1	1	5	1	1	0	1	0	1	0	8	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	4631	1231	1558	483	504	456	228	148	181	90	98	55	50	79	48	23	39	21	20	33	14	12	20	3	10	11	9	3	1	3	1	7	1	1	1	1	3	2	0	9	2	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north18_active	80	2658	566	969	224	295	264	86	70	99	38	46	28	25	55	25	12	20	12	10	23	9	4	12	0	6	3	8	3	1	1	1	5	0	1	1	0	2	1	0	8	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	4571	1270	1487	496	471	439	212	153	161	92	78	53	59	81	40	27	41	26	20	34	15	12	20	5	8	12	13	4	3	2	1	8	1	0	3	1	4	2	1	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north19_active	80	2612	562	946	211	270	247	89	74	83	42	38	29	32	55	20	15	23	17	12	23	9	4	12	2	3	4	13	4	2	1	1	5	0	0	3	0	3	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	4560	1282	1477	477	457	443	195	156	145	84	86	62	66	80	38	31	31	27	19	33	18	17	15	3	3	11	10	5	3	2	0	6	0	0	3	1	4	0	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north20_active	80	2611	571	949	201	261	247	88	76	79	40	38	32	35	45	21	14	20	19	12	21	11	7	8	2	2	5	8	3	2	1	0	2	0	0	3	1	3	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	5353	1389	1947	515	511	565	207	149	197	107	110	77	64	86	54	30	35	16	38	34	13	40	14	8	7	3	7	2	7	7	2	3	2	0	2	2	4	0	0	11	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	south21_active	80	3247	677	1247	236	273	334	99	70	121	44	60	46	37	45	34	12	21	9	29	26	7	25	9	3	2	1	3	0	2	1	1	1	2	0	0	2	0	0	0	11	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	5366	1366	1880	496	548	532	200	155	190	95	121	85	71	77	54	24	38	20	35	27	10	27	13	6	9	4	5	1	9	5	2	2	0	1	3	2	3	0	0	13	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	south22_active	80	3257	664	1196	231	311	306	99	79	112	38	68	54	40	40	37	11	25	8	27	18	7	16	8	1	3	1	4	0	4	1	1	0	0	1	0	2	1	0	0	11	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	5475	1341	1902	490	586	508	204	148	194	88	127	89	71	88	47	26	30	24	40	31	13	20	11	7	10	6	6	2	5	5	2	2	0	1	5	1	3	0	1	13	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	south23_active	80	3350	652	1226	228	341	295	104	75	112	33	65	57	36	57	30	12	21	8	31	16	10	11	5	2	4	1	6	0	2	1	1	0	0	1	0	1	2	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	5204	1344	1746	475	576	474	224	150	190	84	131	77	62	86	38	30	23	24	27	31	12	20	7	8	3	4	8	4	5	2	2	0	0	2	5	0	2	0	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
