label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47
0.03	south22_active	80	21425	6481	557	642	405	1172	581	772	449	117	80	34	42	37	122	39	70	7	8	1	9	4	22	10	4	2	3	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	south23_all	80	25010	7980	2210	1451	960	1346	775	897	551	198	144	113	80	56	129	47	63	21	15	16	12	8	26	11	4	2	5	0	2	1	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	south23_active	80	21549	6395	592	634	410	1106	585	774	457	114	85	46	52	29	115	38	53	4	7	2	8	6	25	9	3	1	4	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	south24_all	80	24951	8126	2182	1455	970	1236	812	821	553	209	141	107	103	65	168	57	70	19	16	14	14	6	10	14	4	4	6	0	1	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
0.03	south24_active	80	21477	6518	598	608	417	985	615	707	466	122	86	37	69	33	150	45	64	4	7	2	10	3	9	12	2	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
0.03	south25_all	80	24970	8214	2212	1487	980	1300	856	764	525	220	141	106	121	59	176	59	72	24	17	12	19	4	9	10	6	6	5	2	3	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
0.03	south25_active	80	21476	6530	614	641	433	1055	666	648	440	119	89	36	87	27	160	50	66	6	5	3	15	2	7	8	4	2	4	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
0.03	south26_all	80	24680	8298	2223	1523	982	1370	871	652	525	220	156	102	131	72	187	66	106	25	17	13	18	3	10	5	8	7	6	2	3	0	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south26_active	80	21140	6599	621	686	436	1121	681	543	453	121	89	31	92	32	173	52	101	8	6	6	15	2	7	4	5	4	6	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south27_all	80	24756	8488	2264	1501	999	1389	827	719	537	224	180	103	116	69	154	56	140	24	22	10	15	3	20	1	9	6	6	2	4	1	1	1	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	south27_active	80	21181	6749	604	683	455	1138	650	603	451	122	100	32	79	39	140	43	135	9	9	5	12	2	16	1	8	3	6	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	south28_all	80	24795	8339	2333	1487	1007	1333	852	792	582	225	179	100	110	73	123	54	115	18	19	13	14	5	32	3	15	6	4	0	3	1	1	1	1	0	1	0	0	0	0	0	1	2	1	0	0	0	0	0
