label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60
0.03	south31_all	80	31673	30311	7459	8894	6307	4790	1605	1450	1264	1324	665	551	698	272	200	148	145	132	92	79	62	42	75	76	30	21	19	15	13	20	7	7	8	6	2	9	6	1	1	0	1	0	1	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south31_active	80	15448	19363	3651	5433	3995	3048	752	768	698	787	332	314	438	123	100	69	87	76	48	33	35	17	50	48	16	13	7	11	3	9	2	4	6	3	0	8	2	1	0	0	1	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	31520	30053	7460	8723	6133	4746	1557	1358	1263	1338	675	499	711	273	206	154	153	155	92	80	52	41	65	80	37	19	22	14	14	12	10	5	8	5	2	10	7	3	2	5	0	0	1	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south32_active	80	15239	19073	3597	5266	3892	3037	708	699	702	817	352	278	418	111	102	68	96	82	47	30	26	15	35	52	18	12	10	8	4	8	2	3	6	2	1	9	2	3	0	5	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	31798	30365	7486	8660	6275	4695	1574	1398	1295	1274	646	480	720	253	210	159	170	171	75	93	53	39	55	85	35	18	18	15	12	8	7	9	6	3	2	11	4	4	2	6	0	0	1	4	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0
0.03	south33_active	80	15452	19206	3629	5269	3991	2940	710	717	712	776	307	275	417	110	103	75	99	93	34	42	25	11	30	54	16	12	7	6	3	6	1	8	5	1	1	8	1	3	0	5	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	32081	31170	7540	8649	6452	4840	1627	1378	1323	1256	641	505	769	265	205	167	164	178	75	91	57	42	60	80	34	25	14	19	12	12	9	7	9	7	3	5	6	4	2	6	0	0	2	3	2	2	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0
0.03	south34_active	80	15545	19741	3646	5277	4197	3026	743	708	735	785	312	280	472	107	103	85	99	89	31	48	22	14	33	49	15	14	6	5	6	4	4	5	6	4	2	3	3	3	0	5	0	0	2	3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south35_all	80	32278	31851	7628	8923	6679	5088	1674	1419	1342	1318	636	563	766	277	212	162	176	174	88	92	57	47	60	63	41	28	13	19	13	13	7	9	6	11	3	9	3	3	2	6	0	1	2	1	2	2	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0
0.03	south35_active	80	15890	20237	3709	5577	4320	3199	795	745	739	800	320	306	527	117	110	86	97	99	43	50	23	20	40	38	22	16	4	5	7	6	4	6	3	8	1	6	2	2	0	5	0	1	2	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
