label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62
0.03	north1_all	80	33205	32890	19828	8735	3657	6056	1946	3425	1041	867	626	609	484	448	364	184	325	126	99	141	107	107	55	94	26	22	20	20	15	6	4	8	8	5	1	5	4	1	1	3	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	2	0	0	0	0	1	0
0.03	north1_active	80	8213	28230	17285	6666	1499	5205	829	3002	272	469	229	418	320	314	265	47	261	28	28	112	88	95	42	85	9	13	14	4	12	3	3	0	1	2	0	3	3	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0
0.03	north2_all	80	33286	33092	19648	8721	3668	6079	1942	3172	1035	865	662	644	436	446	364	172	306	117	93	135	106	112	49	107	32	20	19	18	23	3	5	8	7	5	0	6	4	2	2	2	1	0	0	1	1	0	9	0	0	1	1	0	0	0	0	0	2	0	0	0	0	1	0
0.03	north2_active	80	8241	28518	17087	6595	1518	5253	824	2741	256	496	232	438	280	317	255	51	242	28	24	110	86	101	38	97	12	12	12	4	14	1	4	0	0	1	0	3	4	1	0	0	0	0	0	1	1	0	9	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north3_all	80	33251	32948	19493	8590	3717	5773	1908	3206	1043	862	646	652	450	451	359	173	296	116	84	143	100	115	44	108	36	26	17	17	25	8	2	9	6	6	2	4	4	2	2	0	2	1	1	1	1	0	9	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0
0.03	north3_active	80	8218	28324	16834	6509	1518	4974	800	2761	234	466	208	421	290	315	252	50	234	29	20	117	81	101	30	95	11	15	10	6	15	3	2	0	0	1	2	2	4	1	0	0	1	1	0	1	1	0	9	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
0.03	north4_all	80	33315	32954	19750	8517	3698	5794	1892	3278	1045	887	639	667	528	441	347	172	287	103	87	162	100	140	54	92	31	26	20	18	16	8	5	5	1	5	5	3	5	1	3	1	2	2	1	0	2	0	8	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	8219	28282	17132	6419	1508	4986	768	2855	225	471	208	423	352	299	256	46	229	27	15	135	82	123	32	80	9	14	11	7	7	2	2	0	0	0	5	1	5	0	1	0	1	1	0	0	1	0	8	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	33479	32981	19772	8631	3708	5694	1890	3282	1061	943	623	643	574	450	357	172	268	90	81	159	89	167	50	81	30	32	18	17	12	12	6	6	3	5	7	3	5	0	3	1	1	2	2	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	8232	28293	17156	6514	1487	4869	790	2849	227	487	198	391	396	303	251	45	214	27	19	130	74	144	25	68	5	16	10	8	6	4	2	0	1	0	6	1	5	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
