label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58
0.03	north1_all	80	35784	22675	13840	4597	3398	4468	1711	1560	906	680	547	487	342	310	437	214	294	158	160	55	100	41	38	37	59	24	11	25	15	11	14	8	4	3	7	9	4	5	2	1	5	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	18546	13569	8518	2158	1625	2819	804	840	416	328	241	258	161	147	283	109	180	79	106	30	60	16	18	19	41	14	5	21	11	7	8	4	0	1	6	3	1	4	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	35622	22560	14048	4559	3417	4460	1683	1583	892	687	544	480	332	286	482	215	306	166	150	48	106	41	42	29	51	26	14	22	12	9	11	10	5	2	5	6	2	6	1	3	4	1	1	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	18498	13463	8762	2106	1616	2796	799	847	388	317	239	240	161	129	314	103	189	83	89	22	62	16	18	14	27	19	6	18	8	7	2	7	1	1	5	2	1	4	0	1	4	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	35582	22326	14217	4560	3454	4464	1682	1524	888	676	551	485	341	295	524	211	327	151	171	46	113	50	34	32	50	34	21	16	11	8	8	11	9	2	5	4	3	5	0	3	7	2	1	7	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	18441	13277	8857	2102	1646	2722	804	820	404	318	254	242	152	138	330	101	174	79	111	18	70	22	12	15	30	23	10	11	7	4	4	8	5	1	5	1	2	4	0	1	4	2	0	6	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	35742	22344	14270	4485	3413	4511	1649	1489	906	674	548	461	314	262	539	199	348	164	179	56	103	47	32	23	54	37	27	24	12	11	14	11	10	3	10	1	3	4	0	3	3	3	0	6	1	0	0	0	1	3	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	18565	13409	8888	2036	1654	2734	802	816	425	324	269	229	145	120	351	98	176	91	118	16	69	24	11	11	27	24	13	16	7	5	8	11	6	2	10	0	2	3	0	1	0	3	0	6	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0
0.03	north5_all	80	35979	22453	14134	4430	3435	4455	1653	1494	928	672	574	460	314	263	497	211	346	171	176	58	108	53	37	24	46	35	26	21	9	12	17	8	10	3	11	0	1	1	0	0	5	4	0	6	3	1	0	0	0	3	2	0	0	0	0	0	0	0	0
0.03	north5_active	80	18612	13500	8654	2012	1685	2629	811	803	437	311	283	234	135	125	322	102	165	101	122	21	73	22	16	10	21	19	8	14	3	7	10	7	6	2	10	0	1	1	0	0	2	3	0	6	2	0	0	0	0	3	1	0	0	0	0	0	0	0	0
