label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119
0.03	north1_all	80	26185	19217	11022	5553	6888	2940	5400	2081	1729	1356	1576	1097	966	1226	934	680	510	722	481	339	546	266	266	269	354	156	200	142	151	180	90	180	93	165	79	109	83	46	77	59	47	69	39	32	28	25	37	20	12	22	21	13	18	12	16	6	7	7	9	7	10	3	4	5	25	3	4	4	10	2	3	3	4	1	4	13	2	3	1	2	1	1	1	0	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	12493	11230	6256	2748	4115	1399	3413	998	808	624	900	562	497	712	554	365	249	435	265	170	359	124	131	160	231	73	126	63	94	104	48	111	44	109	38	53	50	30	51	35	28	51	26	19	14	15	22	11	4	13	8	9	7	4	8	3	6	5	5	6	3	3	3	1	20	3	2	2	9	0	2	1	3	1	3	12	0	3	1	1	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	26046	19208	11050	5532	7072	2940	5526	2048	1734	1333	1588	1095	984	1282	916	694	509	744	452	330	560	276	261	266	376	155	192	135	146	194	89	203	93	178	75	112	110	57	62	56	45	68	43	26	23	25	28	15	13	20	18	16	16	23	20	7	7	11	10	9	8	3	5	4	24	3	2	4	13	1	4	2	0	1	2	2	1	3	0	2	1	1	2	1	2	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	12381	11256	6370	2709	4284	1389	3561	981	821	583	917	552	510	742	518	356	255	453	247	165	364	131	128	142	256	73	115	59	89	132	50	135	46	126	31	65	72	38	41	31	25	50	30	15	9	16	16	9	5	12	4	13	7	8	13	5	5	10	5	7	2	2	4	1	20	2	2	0	11	0	3	1	0	1	2	1	0	3	0	1	1	1	1	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	26146	19397	11090	5605	7193	3026	5451	2034	1742	1316	1633	1080	991	1282	931	643	511	714	421	339	561	279	252	249	353	160	207	160	145	219	87	181	93	190	73	93	107	58	65	62	35	73	39	30	23	18	18	25	12	18	19	16	13	17	14	9	10	18	5	5	8	6	5	4	10	3	2	3	9	1	4	2	1	1	0	2	1	3	5	1	1	0	2	1	0	1	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	12504	11347	6409	2795	4323	1423	3530	958	821	611	911	538	497	771	508	311	252	416	221	160	356	135	131	124	237	86	121	83	88	133	47	123	41	131	31	60	68	34	42	37	17	48	23	15	10	10	8	17	4	8	6	12	7	6	8	6	6	14	1	3	2	4	3	1	6	2	2	0	6	0	3	1	1	1	0	1	0	3	5	1	1	0	1	0	0	1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	26195	19517	11161	5616	7292	3004	5404	2035	1719	1294	1674	1041	980	1228	900	626	496	687	443	319	567	299	268	257	358	160	210	153	145	214	83	162	79	164	64	84	108	56	60	61	36	75	35	34	26	14	13	20	18	19	12	17	10	20	17	8	10	17	10	7	9	7	5	2	4	4	2	2	5	1	2	4	5	1	0	9	1	0	5	1	0	0	5	3	1	1	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	12565	11447	6492	2796	4365	1419	3474	992	817	605	940	540	505	726	468	313	236	406	226	153	357	146	139	135	223	78	120	89	85	135	41	120	35	107	26	52	65	30	39	36	17	51	18	17	12	8	4	11	6	7	3	13	7	9	8	5	4	12	5	3	4	4	3	0	2	2	2	0	2	0	2	3	3	0	0	8	1	0	5	0	0	0	4	1	1	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	26286	19658	11105	5583	7188	3020	5314	1988	1750	1251	1666	1023	1009	1216	913	608	482	671	460	325	517	287	298	235	366	150	210	152	142	185	87	128	82	152	67	72	85	54	56	64	41	77	33	29	32	17	13	28	14	21	13	12	8	17	18	10	13	16	7	8	8	9	7	2	6	1	4	2	2	1	3	4	9	1	0	25	4	2	5	1	0	0	3	3	1	1	2	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	12510	11481	6353	2796	4269	1448	3370	959	844	585	916	517	532	728	483	320	232	383	243	155	324	140	159	129	214	73	113	91	81	111	43	92	37	89	24	38	58	23	40	31	22	53	11	15	13	9	4	16	8	8	5	9	5	9	11	6	6	8	4	5	5	4	4	0	2	0	4	0	0	0	2	4	3	0	0	24	3	1	5	0	0	0	3	1	1	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0
