label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121
0.03	north1_all	80	34588	13721	17160	5193	3866	5108	2300	2681	3624	2273	1821	1007	1460	1405	810	505	761	395	462	316	302	426	418	383	377	321	150	188	230	111	170	110	127	103	65	83	56	48	97	60	43	45	42	29	29	52	15	16	16	13	16	36	8	18	3	14	9	3	11	9	6	9	7	10	4	3	3	4	5	2	4	3	8	5	0	2	3	2	3	5	0	1	1	0	1	4	0	3	4	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north1_active	80	18929	7057	10771	2347	1802	3024	1056	1472	2209	1329	1053	475	880	896	458	222	440	167	243	152	139	275	265	223	227	206	67	102	150	63	102	62	73	52	38	52	21	27	47	37	20	27	19	16	20	21	9	12	10	4	4	25	4	10	2	7	6	2	7	7	2	4	5	6	1	2	2	1	4	2	2	2	0	1	0	0	1	2	1	4	0	1	0	0	0	4	0	2	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	34500	13512	17228	5155	3969	5036	2309	2725	3551	2284	1820	960	1410	1341	872	498	776	412	442	329	292	396	405	449	375	325	156	188	223	110	232	130	133	111	57	88	59	47	78	51	42	46	44	22	24	42	18	21	13	13	17	46	8	21	3	12	10	6	19	10	4	4	5	7	3	2	3	3	5	4	3	4	7	3	3	1	5	1	3	5	0	0	0	0	1	3	2	3	4	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_active	80	18914	6844	10868	2306	1866	2941	1062	1513	2161	1336	1105	466	844	799	493	217	460	179	240	154	144	246	258	280	212	210	64	108	150	61	144	74	83	65	30	52	23	32	32	29	16	33	19	13	14	17	11	14	7	6	7	35	3	13	1	6	5	5	11	6	2	1	4	3	1	2	2	1	4	4	2	2	0	1	3	1	0	1	1	4	0	0	0	0	0	2	2	2	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	34703	13741	17744	5124	3967	5194	2381	2693	3593	2234	1803	956	1414	1353	885	525	817	439	475	350	288	400	416	465	346	358	166	168	246	109	229	139	147	113	75	84	57	47	83	60	45	55	40	26	24	36	15	22	13	13	18	34	7	16	5	10	12	6	13	4	5	4	5	5	1	2	2	6	9	4	2	2	7	3	3	1	6	1	1	3	0	1	0	0	1	4	2	1	3	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	18923	7027	11231	2364	1819	3107	1118	1478	2253	1306	1119	480	867	772	513	236	480	207	256	169	127	234	273	297	215	237	86	95	164	60	146	84	92	74	38	48	24	30	37	29	19	39	16	13	11	27	9	17	8	4	6	23	3	8	3	6	6	5	8	1	2	2	4	3	0	2	1	5	8	4	0	0	1	1	3	1	0	1	1	1	0	1	0	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	34327	14000	17438	5087	4004	5197	2357	2729	3594	2167	1857	937	1449	1351	888	517	859	425	476	366	295	400	425	465	328	393	163	162	241	107	243	141	139	110	90	80	52	49	72	57	60	48	33	29	23	42	17	23	18	13	16	33	11	19	7	12	9	8	13	11	4	6	2	2	0	3	2	8	7	4	2	3	4	3	4	2	7	1	0	9	1	1	0	0	0	3	2	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	18660	7149	11046	2355	1831	3187	1116	1515	2274	1258	1143	475	884	783	532	235	518	206	270	174	123	215	279	318	213	265	91	94	160	62	153	90	85	76	47	48	22	27	41	27	30	34	15	15	8	33	10	18	11	4	7	24	7	13	4	8	4	6	8	7	1	4	1	1	0	2	1	7	5	4	0	0	3	1	4	2	1	1	0	7	0	1	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	34485	14160	17422	5134	3972	5138	2415	2684	3758	2060	1830	952	1514	1394	874	523	827	426	506	382	290	424	453	421	361	404	156	151	290	122	201	129	142	131	104	87	56	50	88	58	62	50	29	35	32	51	16	19	18	10	17	20	14	20	10	10	9	9	24	12	3	6	3	3	3	3	4	10	6	2	2	2	4	4	3	1	2	0	2	9	1	2	0	0	0	1	4	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	18806	7354	10924	2389	1821	3114	1152	1512	2459	1213	1100	469	916	818	504	219	503	213	293	180	115	217	292	281	245	259	87	83	181	65	125	79	90	84	52	61	24	21	54	29	32	37	14	16	15	44	10	15	11	2	8	12	8	15	5	6	2	7	12	9	1	4	2	1	3	2	2	7	4	2	0	0	3	3	3	1	1	0	2	7	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
