label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122
0.03	north9_active	80	7399	3563	7583	3416	1660	6369	580	3694	488	1866	252	544	250	507	242	1101	289	610	911	626	429	54	204	414	158	63	358	338	33	154	11	80	35	32	18	26	66	12	12	86	19	123	15	48	30	11	10	25	26	49	10	16	16	6	13	2	2	4	4	15	11	12	10	4	8	1	0	4	11	2	4	4	8	1	2	0	9	3	0	0	0	0	2	1	2	3	0	1	1	0	3	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	28466	13473	11520	6656	4405	7220	2553	4524	1739	2451	1258	1164	919	968	690	1229	604	773	1017	768	583	271	364	531	247	154	388	342	139	204	88	123	98	67	73	78	105	54	42	116	43	150	37	46	46	26	29	30	27	67	18	33	41	10	17	11	4	6	7	16	8	11	16	9	11	4	2	6	16	2	4	14	5	4	1	0	6	3	1	1	2	1	0	2	3	3	1	0	1	1	0	1	0	2	0	3	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north10_active	80	7320	3661	7642	3406	1655	6167	546	3723	479	1906	275	560	254	517	251	1025	287	570	902	638	435	50	212	446	147	55	343	286	26	155	12	63	36	31	23	22	70	12	10	97	24	138	17	35	35	12	10	22	19	63	9	26	35	6	12	4	3	3	5	14	7	10	15	4	11	3	0	5	14	2	3	14	4	1	1	0	6	3	0	0	0	0	0	1	2	3	0	0	0	0	0	1	0	2	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north11_all	80	28453	13525	11703	6601	4515	7844	2536	4303	1820	2516	1249	1200	940	984	668	1448	631	881	939	710	576	289	268	532	262	168	349	343	134	184	108	146	112	94	64	60	94	51	32	95	56	124	43	67	29	34	35	40	20	64	20	23	24	12	19	15	3	11	9	9	10	4	9	2	6	4	5	2	1	0	3	2	15	1	2	2	1	0	2	1	3	0	0	2	1	2	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	7315	3602	7799	3440	1778	6738	558	3572	511	1897	308	560	234	505	244	1233	303	691	824	560	459	61	146	467	159	59	298	293	22	146	25	91	48	39	14	12	75	13	8	78	33	109	19	59	19	20	17	28	12	56	10	17	18	5	10	4	2	6	8	7	7	2	8	0	5	0	1	1	0	0	1	1	14	1	0	0	1	0	2	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	28359	13431	11717	6712	4542	7759	2578	4346	1862	2435	1273	1167	935	974	688	1394	635	856	1024	739	560	295	293	522	258	168	316	345	137	183	113	147	98	97	61	54	89	60	38	123	64	121	47	57	37	31	36	36	21	60	19	29	30	7	23	19	7	11	16	8	7	7	11	5	10	3	6	2	2	2	4	1	17	0	2	1	1	0	3	1	3	0	1	2	1	3	3	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	7351	3556	7825	3531	1769	6619	549	3552	529	1842	322	525	241	500	243	1176	297	674	906	572	454	59	149	454	156	60	269	290	23	146	32	84	42	40	17	15	60	17	6	104	45	106	20	50	27	19	19	23	12	55	13	23	24	2	15	4	3	5	15	7	7	3	10	3	9	0	1	1	0	0	2	0	17	0	0	0	1	0	2	0	1	0	1	0	1	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	28435	13262	11478	6819	4609	7758	2592	4413	1802	2464	1288	1156	906	957	718	1357	627	829	1019	748	553	286	292	523	200	157	340	311	138	194	107	143	92	77	58	51	102	61	40	122	53	113	37	49	36	26	30	31	19	42	16	34	34	7	18	15	6	11	15	14	8	8	15	8	6	3	7	2	1	5	4	4	17	1	2	2	0	1	9	1	3	0	1	1	1	4	2	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	7384	3568	7623	3584	1782	6671	555	3619	495	1859	298	513	256	497	271	1159	300	667	890	580	434	63	157	453	111	56	296	254	22	160	26	77	37	35	17	21	66	22	6	102	35	100	20	41	24	17	15	17	10	36	9	25	29	3	14	4	1	5	14	13	8	4	14	4	6	0	1	1	0	2	3	2	17	0	0	0	0	1	8	0	1	0	1	0	1	4	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	28250	13191	11401	6673	4552	7637	2606	4447	1820	2462	1310	1121	906	955	719	1312	626	813	1148	764	567	255	318	526	219	161	345	340	139	223	100	130	83	77	59	62	115	59	45	104	59	96	27	49	40	26	27	26	13	38	16	23	37	7	13	14	7	11	14	13	4	6	12	6	9	3	5	0	2	5	8	9	6	1	1	2	2	7	8	1	0	0	1	3	0	4	1	0	0	1	0	0	2	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	7424	3547	7633	3477	1769	6535	549	3643	514	1865	296	498	269	489	268	1116	295	637	1012	611	454	57	174	459	126	51	303	293	26	176	23	71	33	38	14	25	82	22	6	86	39	82	14	40	30	20	14	13	7	33	7	13	35	2	9	7	1	5	13	12	3	4	10	4	8	1	0	0	1	2	7	7	6	0	0	0	2	6	7	0	0	0	1	2	0	4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	28222	13206	11501	6721	4517	7592	2563	4581	1827	2611	1290	1168	899	939	707	1334	621	806	1108	710	539	268	312	563	223	173	335	362	145	219	98	127	71	67	69	56	93	50	65	91	43	91	30	56	41	29	30	39	13	21	19	14	43	9	7	12	7	10	10	13	4	3	16	4	4	2	3	0	4	5	8	8	4	1	1	2	2	27	8	2	2	0	0	2	0	2	0	0	1	0	0	0	2	1	0	0	0	0	0	6	2	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	7353	3520	7623	3402	1771	6545	571	3785	522	2009	266	531	275	467	258	1135	297	636	978	568	422	60	167	492	131	54	288	316	32	169	20	73	25	29	21	21	64	14	11	77	26	78	16	48	31	18	13	28	8	16	10	7	39	2	4	4	0	5	8	12	2	2	13	2	3	1	0	0	4	2	7	7	4	0	0	0	2	25	7	1	0	0	0	2	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	6	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	28328	13232	11422	6726	4522	7474	2541	4604	1794	2626	1251	1226	914	901	686	1335	613	841	1128	728	573	282	318	537	260	187	325	372	146	221	104	111	72	74	76	57	96	44	65	99	47	108	37	54	39	29	27	45	18	19	16	20	36	9	4	17	10	8	5	11	4	1	16	1	6	2	1	2	4	3	7	5	0	0	1	1	2	26	2	1	2	0	0	2	0	2	0	1	1	0	1	0	2	0	1	2	0	0	0	7	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
