label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126
0.03	north1_all	80	55207	24701	8553	10912	6635	3726	3440	4403	1826	1763	1263	1098	1188	784	927	679	1148	782	562	535	330	302	383	237	272	198	200	216	251	125	147	153	61	74	80	86	71	71	50	39	51	49	42	22	30	28	21	28	20	19	31	28	13	11	12	14	13	15	16	6	11	8	29	4	3	8	2	2	2	4	7	5	3	0	0	2	0	1	0	1	0	2	3	1	1	0	0	1	1	0	0	1	0	7	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north1_active	80	44602	19671	2531	8886	4839	1727	2081	3637	645	853	354	281	651	178	558	310	932	584	286	358	98	128	263	82	182	39	87	156	200	54	89	122	32	37	40	41	45	37	7	23	26	37	14	11	17	14	4	13	7	14	26	26	7	7	8	11	5	13	10	5	2	5	28	1	2	1	1	1	1	2	1	0	0	0	0	1	0	0	0	0	0	1	2	1	1	0	0	1	0	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	57581	25953	8543	11288	6860	3741	3423	4712	1868	1822	1256	1095	1242	774	977	660	1245	787	573	546	323	313	407	228	302	204	205	245	240	128	129	167	72	74	71	77	60	67	48	44	42	46	38	23	39	30	30	28	17	19	28	20	15	14	13	15	10	12	9	3	10	7	21	4	2	5	7	2	2	4	11	5	2	3	0	4	1	2	0	1	2	2	2	0	4	2	0	2	1	0	0	1	2	7	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north2_active	80	47381	21077	2664	9336	5071	1860	2113	3983	686	950	356	273	707	177	645	312	1046	586	308	375	104	137	283	82	220	46	94	179	198	50	81	133	34	41	36	37	39	35	3	27	19	32	17	12	26	16	9	14	8	13	23	18	7	9	8	11	3	10	4	3	2	2	20	0	1	1	5	1	1	2	6	0	0	1	0	1	1	2	0	0	2	1	2	0	1	2	0	2	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	58180	26396	8443	11487	7071	3704	3456	4880	1893	1796	1225	1107	1274	765	1024	649	1235	764	519	578	325	314	411	216	308	226	195	234	249	119	137	188	70	79	66	86	60	78	45	48	35	45	42	25	53	23	22	21	21	14	21	13	10	11	13	11	10	10	12	4	12	11	23	8	2	5	9	2	3	6	7	6	1	4	0	4	1	5	0	3	3	3	0	0	4	2	0	2	1	0	0	1	2	6	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
0.03	north3_active	80	48202	21655	2617	9533	5306	1881	2132	4142	709	971	350	278	762	175	696	303	1036	580	279	413	89	134	288	80	234	51	83	173	207	45	88	150	27	41	27	48	39	40	9	29	16	30	15	11	35	11	7	10	7	8	14	10	4	8	4	9	3	10	10	4	1	7	21	2	2	1	7	0	2	3	6	0	0	2	0	2	1	5	0	1	3	2	0	0	1	2	0	2	1	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	58212	26224	8470	11569	7072	3762	3378	4965	1876	1747	1279	1075	1255	784	1073	665	1200	785	487	606	332	297	407	212	309	223	176	225	237	117	147	200	80	82	85	69	66	77	47	51	39	39	41	27	53	25	24	22	22	14	24	15	12	21	17	13	8	10	10	6	12	14	39	8	3	4	11	3	3	5	8	3	3	5	0	3	1	5	0	4	3	2	0	0	4	2	1	7	1	0	0	1	3	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	1	0	0
0.03	north4_active	80	48249	21456	2625	9561	5320	1884	2112	4236	696	932	353	272	743	181	741	310	1019	588	269	449	98	138	305	82	239	47	73	169	198	46	101	160	34	41	30	39	42	38	10	33	17	22	18	11	40	13	7	13	7	9	13	11	6	18	6	9	3	9	8	5	1	10	37	2	3	1	8	0	2	3	7	0	0	3	0	1	1	5	0	1	3	1	0	0	1	2	0	7	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0
0.03	north5_all	80	58787	26296	8388	11744	7202	3805	3375	4931	1890	1758	1258	1085	1239	791	1071	670	1117	749	484	595	329	304	399	201	316	225	169	216	267	132	159	274	85	92	82	86	69	77	43	56	37	35	39	30	54	30	19	25	24	10	22	18	20	23	15	11	8	18	13	14	15	11	29	7	4	3	5	4	4	3	3	5	5	4	0	1	1	5	0	5	2	1	0	0	1	1	1	7	1	0	0	1	2	0	1	0	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	1	0	0
0.03	north5_active	80	48745	21552	2659	9748	5499	1895	2097	4221	730	942	324	270	750	184	731	322	952	549	274	458	84	145	298	87	240	45	66	173	224	53	113	231	42	44	27	47	46	38	12	33	22	22	18	13	38	17	3	16	4	6	14	13	14	20	6	7	4	16	10	12	4	10	28	3	3	2	4	0	3	2	1	0	2	3	0	1	1	5	0	2	2	1	0	0	1	0	0	7	1	0	0	1	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0
0.03	north6_all	80	58524	25690	8453	11786	7152	3881	3447	4969	1878	1746	1229	1103	1206	806	1046	705	1038	782	503	601	327	307	421	200	322	205	156	206	253	124	145	268	101	83	81	77	58	54	55	54	42	40	34	25	39	36	17	28	23	8	24	17	22	18	12	10	6	17	13	12	15	18	29	3	4	4	6	7	4	3	2	4	4	1	5	2	1	2	2	2	4	1	0	0	1	1	2	6	1	0	0	0	2	0	3	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	1	0	0
0.03	north6_active	80	48455	20984	2747	9802	5455	1946	2141	4237	738	949	290	288	754	180	702	352	881	583	283	457	96	142	322	88	226	41	53	150	208	52	107	231	53	41	27	43	43	37	14	33	24	28	15	12	26	20	2	17	5	7	16	13	16	17	6	5	3	14	9	9	4	14	29	1	3	3	4	3	3	1	1	0	2	1	2	2	1	2	2	1	3	1	0	0	1	0	1	6	1	0	0	0	2	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0
