label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56
0.03	north1_all	80	11491	4202	2440	1131	871	851	414	276	221	486	174	209	83	71	87	156	64	44	49	51	22	21	5	33	14	10	9	12	1	4	6	5	0	1	2	5	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
0.03	north1_active	80	7205	2428	1430	587	415	520	199	124	102	319	87	139	33	35	53	106	33	22	33	23	10	5	3	24	11	6	5	8	1	2	2	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
0.03	north2_all	80	11448	4237	2403	1155	870	852	412	273	225	455	198	230	85	59	103	154	57	53	55	49	15	15	11	40	19	12	10	7	2	5	11	4	0	2	2	5	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
0.03	north2_active	80	7166	2427	1390	599	431	512	202	132	105	303	103	153	33	27	65	102	36	31	39	28	6	2	6	34	15	8	6	6	1	4	9	1	0	2	2	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
0.03	north3_all	80	11343	4145	2353	1136	828	830	386	283	235	478	204	205	97	61	100	167	60	44	65	45	18	15	11	42	20	12	5	11	1	3	14	4	0	1	3	5	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north3_active	80	7074	2410	1369	579	407	490	196	140	109	311	106	132	43	28	55	111	38	22	43	28	8	5	6	35	16	9	4	10	0	2	9	1	0	1	3	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_all	80	11249	4075	2408	1135	820	834	412	291	227	462	213	204	114	59	96	138	52	48	74	41	20	17	13	28	16	9	7	15	3	5	14	5	1	2	1	1	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north4_active	80	6964	2408	1393	553	409	485	211	142	88	306	121	130	58	29	59	77	30	29	52	29	10	6	6	24	12	7	4	9	1	2	9	2	1	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	11180	4039	2439	1108	793	815	442	298	211	500	203	209	108	58	85	115	53	44	81	46	20	18	10	15	20	6	8	14	2	5	6	3	1	1	1	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0
0.03	north5_active	80	6944	2354	1400	531	402	491	218	142	76	334	111	119	54	26	51	67	24	26	57	33	11	9	4	11	15	4	4	8	1	3	1	1	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north6_all	80	11342	4121	2531	1134	823	804	485	306	209	486	196	221	111	58	89	95	54	33	95	58	17	16	15	13	15	10	7	15	2	3	4	3	1	1	0	3	0	2	1	1	2	2	3	0	0	0	0	0	0	0	1	1	0	0	1	0	0
0.03	north6_active	80	7004	2415	1476	548	439	497	241	142	84	323	116	122	55	26	50	51	21	25	65	38	9	8	8	10	9	6	3	7	1	1	3	2	1	0	0	3	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north7_all	80	11235	4049	2551	1088	889	872	460	296	207	484	197	231	95	54	94	78	48	37	73	54	18	15	18	22	17	11	5	18	3	2	5	3	1	0	0	3	0	2	1	1	2	2	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north7_active	80	6958	2364	1481	525	467	520	218	132	92	311	113	136	44	26	54	41	19	27	49	34	7	7	12	12	11	7	1	8	0	2	4	2	0	0	0	3	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north8_all	80	11230	4099	2536	1082	922	883	420	281	212	493	212	228	105	68	89	98	48	42	72	64	17	11	19	25	14	10	4	19	4	5	7	1	2	1	0	5	0	2	0	1	2	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north8_active	80	6860	2397	1489	538	489	511	210	133	106	308	126	144	59	38	47	53	24	31	48	33	7	6	12	12	10	4	2	11	0	5	6	1	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	11140	4066	2464	1067	927	940	406	279	204	485	218	235	93	77	87	102	49	45	60	54	19	14	15	23	11	6	9	17	5	7	9	1	3	2	2	2	1	1	1	1	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
