label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41
0.03	north1_all	80	13441	7425	1592	1508	664	469	333	547	469	115	229	87	56	99	50	34	25	10	13	10	2	5	2	1	4	6	2	5	0	3	0	1	0	2	0	1	0	0	1	0	0	0
0.03	north1_active	80	10366	6300	377	1028	230	172	122	469	425	46	181	54	21	75	32	18	20	5	10	8	1	3	0	0	2	6	1	5	0	2	0	1	0	2	0	0	0	0	0	0	0	0
0.03	north2_all	80	13261	7323	1594	1472	676	468	341	519	521	123	212	81	57	94	60	33	39	14	14	11	1	7	3	2	3	7	1	3	0	1	0	1	0	0	0	1	0	0	1	0	0	0
0.03	north2_active	80	10227	6203	350	1029	229	179	116	448	479	47	165	42	23	66	39	18	33	5	11	9	0	3	0	0	2	7	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	13303	7427	1570	1468	678	468	332	562	506	113	243	80	53	80	55	27	39	14	15	10	1	6	3	2	3	4	1	3	0	1	0	0	0	0	0	1	0	0	1	0	0	0
0.03	north3_active	80	10304	6294	309	1020	238	169	129	488	460	48	202	46	20	58	37	16	34	5	12	9	0	2	0	0	2	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	13237	7590	1564	1400	688	449	328	547	462	117	208	85	48	78	55	22	51	11	17	10	3	6	5	3	1	3	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north4_active	80	10238	6451	317	987	246	171	121	472	416	54	167	49	16	59	38	14	43	2	16	7	1	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	13404	7600	1604	1432	635	434	327	548	455	137	216	96	42	93	46	28	39	9	18	12	6	6	3	2	0	5	4	1	0	2	0	2	0	0	0	0	1	0	0	0	0	0
0.03	north5_active	80	10347	6465	333	1006	215	163	121	470	404	63	178	59	11	71	28	16	32	3	16	6	2	2	0	0	0	5	3	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	13571	7544	1622	1426	649	451	331	561	456	144	161	95	45	87	53	26	39	9	15	10	6	5	3	3	0	4	5	1	0	2	0	2	0	0	0	0	2	0	0	0	0	0
0.03	north6_active	80	10485	6428	371	977	214	164	109	487	401	69	123	62	11	68	31	16	32	2	12	4	2	2	0	0	0	4	4	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0
0.03	north7_all	80	13560	7502	1611	1430	639	439	344	543	451	144	170	88	56	87	54	30	21	11	11	7	9	3	0	3	3	4	5	1	0	3	0	2	0	0	0	0	1	0	0	0	0	0
0.03	north7_active	80	10465	6383	372	983	209	161	118	455	402	67	126	58	16	68	35	18	15	4	6	2	3	1	0	0	0	4	4	0	0	3	0	2	0	0	0	0	1	0	0	0	0	0
0.03	north8_all	80	13572	7505	1595	1445	634	469	334	586	452	123	162	77	56	95	41	28	25	10	26	3	8	4	0	2	3	2	6	1	1	1	0	1	0	2	0	0	1	0	0	0	0	0
0.03	north8_active	80	10532	6411	393	1002	205	170	112	500	404	63	118	49	12	76	30	20	19	3	21	1	3	4	0	0	0	0	5	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0
0.03	north9_all	80	13468	7408	1591	1445	648	448	317	560	447	115	162	75	56	92	33	28	24	11	27	5	7	5	0	1	3	3	6	1	1	1	0	0	0	2	0	0	1	0	0	0	0	0
0.03	north9_active	80	10472	6295	367	1004	223	156	106	474	406	55	123	49	14	74	28	18	18	3	22	3	3	4	0	0	0	1	5	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north10_all	80	13459	7412	1623	1496	642	472	318	549	418	112	155	71	45	105	34	32	22	11	26	7	8	6	1	0	3	3	5	0	1	1	1	1	0	2	0	0	1	0	0	0	0	0
0.03	north10_active	80	10451	6309	370	1025	229	181	108	476	377	55	118	47	11	88	29	18	17	1	22	5	5	5	0	0	0	1	4	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0
0.03	north11_all	80	13645	7385	1625	1439	677	505	326	465	484	114	169	81	40	136	43	14	26	9	20	7	13	4	4	5	6	22	1	1	1	3	0	2	0	0	1	1	0	1	1	0	0	0
0.03	north11_active	80	10598	6230	358	953	242	186	109	407	432	56	135	47	8	123	24	8	18	4	17	1	6	2	2	3	4	19	0	0	0	0	0	2	0	0	0	1	0	1	1	0	0	0
0.03	north12_all	80	13714	7353	1617	1486	696	474	323	491	423	111	179	88	48	107	46	20	21	7	9	9	13	4	3	6	12	24	1	3	2	2	0	2	0	0	1	0	0	1	2	0	0	0
0.03	north12_active	80	10588	6199	360	1000	243	169	102	429	370	56	151	57	11	92	30	11	15	2	8	5	7	1	1	3	9	24	0	2	0	0	0	2	0	0	0	0	0	1	2	0	0	0
0.03	north13_all	80	12781	6626	1648	1422	694	453	297	468	431	115	147	96	51	101	48	21	23	5	12	9	11	3	4	7	12	24	1	2	1	1	0	0	0	0	1	1	0	0	1	0	0	0
0.03	north13_active	80	9519	5403	392	926	228	163	88	407	368	55	124	59	14	85	33	14	15	2	8	8	4	1	2	4	9	24	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0
0.03	north14_all	80	12241	6473	1627	1407	700	443	302	482	447	95	155	92	47	102	41	24	32	8	13	12	9	2	4	3	12	11	0	10	1	0	0	1	0	0	0	1	0	0	1	0	0	0
0.03	north14_active	80	9025	5226	392	908	218	164	87	417	384	45	130	51	14	85	30	15	18	1	7	10	5	1	2	1	9	11	0	10	0	0	0	0	0	0	0	1	0	0	1	0	0	0
0.03	north15_all	80	12053	6301	1605	1362	661	442	311	504	496	110	163	83	48	98	29	25	27	11	13	11	6	3	2	3	3	11	0	10	1	0	0	1	0	0	0	3	0	1	0	0	0	0
0.03	north15_active	80	8914	5094	384	860	198	156	92	444	443	44	128	41	14	82	20	14	16	3	4	7	3	2	1	1	0	11	0	10	0	0	0	0	0	0	0	3	0	1	0	0	0	0
0.03	north16_all	80	12837	6781	1600	1468	640	448	325	532	572	113	180	85	49	102	42	35	31	15	16	11	5	3	2	3	2	6	3	10	0	1	0	2	1	0	0	2	0	1	0	0	0	0
0.03	north16_active	80	9800	5620	367	983	190	159	109	462	524	55	139	46	11	87	27	22	19	3	8	7	2	2	1	1	0	6	3	8	0	0	0	1	1	0	0	2	0	1	0	0	0	0
0.03	north17_all	80	13609	7148	1613	1556	654	462	319	540	569	123	168	82	60	108	40	38	20	18	16	8	7	6	2	3	2	5	3	10	1	2	0	2	1	0	0	2	0	1	0	0	0	0
0.03	north17_active	80	10522	6029	330	1057	193	173	115	468	515	59	131	51	13	93	27	22	15	3	9	4	4	4	1	1	0	5	3	8	1	0	0	1	1	0	0	2	0	1	0	0	0	0
0.03	north18_all	80	13500	7313	1630	1497	658	460	293	525	513	120	157	81	56	98	50	40	27	20	25	10	7	7	2	2	1	1	3	9	1	2	0	1	1	0	0	0	0	0	0	0	0	1
0.03	north18_active	80	10337	6189	355	1020	210	168	120	448	458	60	123	53	14	81	35	25	23	5	19	6	4	4	1	1	0	1	3	7	1	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	13468	7399	1655	1512	656	462	284	542	484	126	177	76	56	88	45	30	35	15	32	14	8	7	3	3	2	0	3	7	1	2	0	0	1	0	0	0	0	0	0	0	0	1
0.03	north19_active	80	10282	6306	357	1033	200	180	114	449	427	58	144	51	13	71	34	16	31	4	28	6	4	3	1	2	2	0	2	7	1	0	0	0	1	0	0	0	0	0	0	0	0	0
