label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37
0.03	north1_all	80	1601	855	472	309	444	129	93	112	126	33	13	28	9	7	15	7	6	4	1	7	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
0.03	north1_active	80	812	502	253	161	279	77	47	88	93	16	7	18	5	4	11	6	3	2	1	7	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
0.03	north2_all	80	1537	823	435	290	401	118	86	126	97	41	20	25	10	4	17	5	6	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
0.03	north2_active	80	760	460	221	149	255	59	48	89	72	20	13	11	4	1	13	4	3	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
0.03	north3_all	80	1519	807	413	270	401	114	78	109	93	42	17	26	9	5	13	4	3	0	3	4	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north3_active	80	738	433	212	134	248	59	43	62	62	21	12	9	4	2	10	3	2	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_all	80	1568	844	455	284	414	130	68	139	120	36	21	24	13	7	16	3	5	6	5	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
0.03	north4_active	80	791	440	247	148	248	71	39	83	83	15	14	10	5	5	10	1	3	3	5	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north5_all	80	1618	846	461	285	499	147	62	118	159	33	18	28	9	11	18	3	6	6	4	0	6	1	1	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0
0.03	north5_active	80	835	474	259	153	302	85	35	70	114	14	10	15	2	7	10	1	3	3	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
