label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38
0.03	north1_all	80	10213	3277	2647	868	593	358	205	141	222	92	154	65	33	48	25	24	11	22	36	3	8	3	3	2	3	2	1	4	0	18	0	1	0	2	0	0	0	0	0
0.03	north1_active	80	6418	1997	1668	460	338	196	106	58	144	43	104	38	16	30	16	12	4	16	26	3	5	1	0	2	1	0	0	3	0	0	0	1	0	2	0	0	0	0	0
0.03	north2_all	80	10138	3225	2618	784	595	355	206	144	240	91	160	58	31	52	20	36	15	32	20	4	7	3	2	2	2	1	3	4	0	4	1	1	0	2	0	0	0	0	0
0.03	north2_active	80	6399	1936	1658	418	321	205	112	65	157	39	109	34	18	31	13	25	4	23	16	4	6	1	0	2	0	0	3	3	0	4	1	1	0	2	0	0	0	0	0
0.03	north3_all	80	9970	3264	2587	776	581	386	212	129	227	81	155	68	29	55	31	44	16	31	15	6	17	4	1	0	2	1	3	0	0	4	3	1	0	1	0	0	0	0	0
0.03	north3_active	80	6240	1972	1636	419	291	221	119	54	155	41	103	47	18	29	19	31	6	21	11	4	15	1	0	0	0	0	3	0	0	4	3	1	0	1	0	0	0	0	0
0.03	north4_all	80	9973	3274	2617	742	569	406	234	125	220	81	174	67	25	57	35	48	13	27	22	5	12	2	1	2	1	1	4	0	0	7	3	0	0	0	0	0	0	0	0
0.03	north4_active	80	6232	1968	1669	394	280	227	128	60	156	38	123	42	16	31	23	33	4	14	19	3	10	0	0	1	0	0	3	0	0	7	3	0	0	0	0	0	0	0	0
0.03	north5_all	80	9769	3216	2633	761	547	397	215	121	190	79	171	79	20	54	33	40	9	19	15	5	12	1	3	3	0	1	2	2	0	7	3	0	1	0	0	0	0	0	0
0.03	north5_active	80	6064	1916	1702	404	267	208	115	57	130	37	122	56	13	35	25	24	3	9	12	3	9	0	2	1	0	0	1	2	0	7	3	0	1	0	0	0	0	0	0
0.03	north6_all	80	9302	3107	2620	759	537	380	207	124	174	81	169	66	22	52	31	31	8	18	21	6	11	1	2	4	0	1	1	2	0	3	0	0	1	0	0	0	0	0	0
0.03	north6_active	80	5708	1783	1664	387	260	201	107	63	114	38	116	44	12	36	27	17	3	7	18	4	6	0	2	1	0	0	0	2	0	3	0	0	1	0	0	0	0	0	0
0.03	north7_all	80	8855	2927	2514	766	521	367	185	126	173	86	159	54	27	43	28	28	9	10	19	10	7	1	2	6	0	1	1	2	0	1	0	0	1	0	0	0	0	0	0
0.03	north7_active	80	5310	1647	1547	396	264	195	93	63	111	40	108	34	15	28	23	20	3	6	18	4	3	1	2	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0
0.03	north8_all	80	8304	2830	2318	756	499	366	192	128	189	87	160	53	27	39	28	29	11	7	10	9	9	2	1	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	4955	1557	1395	382	262	211	98	62	116	41	108	29	12	27	21	22	5	4	8	3	3	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	8310	2788	2244	741	490	368	197	140	195	81	134	62	29	35	26	31	12	9	16	8	15	3	0	6	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	5000	1567	1339	370	259	209	98	64	113	38	95	36	14	21	15	23	4	4	13	2	2	2	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	8453	2742	2214	725	510	355	227	146	206	85	121	65	29	37	27	29	13	13	13	4	13	4	0	4	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	5166	1509	1354	352	266	200	108	67	129	47	85	40	13	24	16	23	4	6	8	2	2	2	0	3	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	10110	3349	2584	761	614	376	196	153	208	83	167	53	24	37	53	30	14	19	24	6	11	3	3	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	7
0.03	north11_active	80	6401	2063	1662	392	331	210	84	63	115	32	114	34	7	23	40	13	3	10	13	4	6	3	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7
0.03	north12_all	80	10054	3322	2578	769	586	387	203	154	215	85	193	54	22	46	41	17	14	15	23	4	8	5	9	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	7
0.03	north12_active	80	6308	2027	1676	417	332	214	91	62	113	36	134	35	7	25	31	5	3	6	18	2	5	4	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
0.03	north13_all	80	10178	3264	2569	823	587	365	204	131	220	88	188	57	23	50	38	18	11	12	16	4	12	5	6	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	7
0.03	north13_active	80	6349	1972	1700	456	320	204	98	53	133	41	140	36	12	26	28	7	2	3	15	4	8	4	4	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7
0.03	north14_all	80	10180	3321	2646	833	574	369	195	115	232	95	168	56	20	44	38	18	13	14	17	2	15	7	6	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	6363	1987	1723	464	314	213	97	49	142	43	111	31	12	25	27	12	7	5	15	2	8	6	4	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	10221	3251	2724	818	574	370	190	121	246	95	148	60	25	43	31	20	10	11	19	2	13	4	4	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	6379	1915	1774	445	314	194	90	56	160	45	92	32	14	22	21	17	7	6	16	2	7	4	2	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	10186	3222	2715	781	587	363	176	147	267	89	160	61	31	46	47	28	12	15	9	3	6	5	3	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0
0.03	north16_active	80	6411	1921	1733	415	308	187	83	67	162	41	94	35	16	24	28	20	6	11	7	1	1	5	2	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north17_all	80	9977	3175	2675	729	588	345	184	147	274	85	153	76	34	48	39	37	10	14	10	5	8	2	5	1	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0
0.03	north17_active	80	6230	1907	1711	376	318	161	92	68	155	39	93	47	20	28	19	23	4	11	7	3	5	1	3	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north18_all	80	9810	3194	2522	729	581	348	199	149	249	77	164	81	50	46	44	39	9	16	10	7	7	2	5	1	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0
