label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63
0.03	north1_all	80	2362	2065	688	447	496	226	177	189	92	248	103	206	47	117	149	102	29	46	11	19	17	27	13	6	12	9	13	5	7	4	2	2	3	4	1	2	0	10	0	2	1	0	0	1	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north1_active	80	1047	1295	339	216	287	116	80	100	50	166	56	127	25	75	86	73	21	40	4	15	6	21	7	3	6	5	7	4	4	2	0	0	3	1	0	1	0	10	0	2	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_all	80	2281	2046	681	456	500	217	184	186	98	232	102	206	56	105	152	109	30	53	16	42	18	24	12	6	11	15	9	9	2	4	1	2	4	4	0	1	0	9	2	2	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
0.03	north2_active	80	999	1280	329	215	271	104	86	99	53	146	57	144	32	74	89	76	24	44	7	27	5	20	6	4	4	10	5	7	2	2	0	0	3	0	0	1	0	9	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
0.03	north3_all	80	2309	2022	740	471	465	215	178	160	105	212	103	192	52	105	143	104	28	34	18	49	20	25	11	3	11	20	13	5	2	4	3	4	5	3	0	1	0	8	2	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
0.03	north3_active	80	982	1236	360	225	261	108	91	80	52	131	58	133	27	69	90	68	18	23	7	34	7	12	6	2	4	14	8	4	2	1	2	2	4	1	0	1	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
0.03	north4_all	80	2310	2048	748	475	433	241	176	179	105	201	104	163	43	113	153	117	29	30	18	53	14	26	8	4	5	20	8	12	3	3	3	4	3	2	1	2	2	5	2	1	0	3	0	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north4_active	80	1013	1243	375	218	250	120	92	97	47	120	61	112	20	80	105	77	17	18	7	33	5	13	3	3	1	12	4	11	2	2	2	2	2	1	1	1	2	5	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north5_all	80	2337	1985	724	489	424	230	166	167	107	213	106	154	36	124	125	113	37	35	15	39	11	26	8	4	7	17	8	14	6	6	5	3	5	2	1	1	5	3	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north5_active	80	1061	1224	361	217	258	115	86	87	42	123	63	89	16	75	90	85	19	20	5	26	4	11	3	3	2	10	4	13	3	3	2	3	4	1	1	0	5	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north6_all	80	2320	2028	719	496	438	238	161	180	111	206	116	168	36	134	114	90	31	31	11	28	11	23	11	3	6	14	11	11	4	5	9	1	6	1	1	1	7	3	0	4	1	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	1071	1244	354	201	257	111	79	101	42	121	66	97	16	85	80	70	16	15	4	16	6	17	5	2	3	8	4	11	1	3	6	1	4	0	1	0	5	1	0	4	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	2310	2025	706	479	467	232	169	178	102	229	112	187	43	136	118	71	31	37	16	24	6	33	10	4	6	18	21	5	6	4	10	2	4	3	0	1	6	3	0	3	3	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	1089	1273	355	217	282	118	81	101	44	158	65	121	18	81	83	56	18	19	7	14	4	20	3	1	3	11	8	5	3	2	5	2	2	1	0	0	3	1	0	3	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	2350	2064	748	501	482	215	169	186	99	255	115	200	49	134	153	50	31	37	14	31	8	36	9	4	6	19	21	6	12	0	11	1	2	3	1	0	3	3	0	3	6	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
0.03	north8_active	80	1076	1297	382	236	278	112	72	106	43	173	71	136	26	82	120	35	21	21	7	22	6	23	4	1	3	11	10	5	10	0	6	1	1	1	0	0	0	1	0	3	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
0.03	north9_all	80	2377	2024	726	476	484	203	188	187	76	233	108	202	58	113	153	56	36	32	16	33	8	40	7	5	6	13	23	5	11	2	6	1	1	2	1	0	1	7	1	1	5	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
0.03	north9_active	80	1108	1277	374	223	291	107	85	99	33	166	63	146	29	71	122	39	21	20	7	21	3	28	3	2	3	4	12	4	10	1	2	1	0	1	0	0	0	2	1	1	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
0.03	north10_all	80	2414	2028	733	465	468	226	195	184	92	229	109	199	51	106	176	88	32	21	21	45	11	38	6	5	6	17	11	5	11	5	6	1	2	3	2	1	0	4	1	1	3	0	2	0	0	3	0	2	0	0	0	0	0	0	0	0	3	0	1	0	1	1	0	0
0.03	north10_active	80	1083	1278	381	223	258	109	88	100	44	157	63	132	28	65	135	67	19	13	8	28	2	31	3	3	4	7	9	3	10	4	1	1	2	2	0	0	0	1	1	1	3	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0
0.03	north11_all	80	2351	1900	674	470	477	213	188	186	133	236	95	194	58	120	119	82	33	46	18	29	15	43	8	10	7	4	10	12	5	2	2	3	2	3	1	1	3	5	1	1	0	1	4	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
