label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65
0.03	north1_all	80	5732	3893	2623	994	1377	583	423	303	311	972	295	150	101	86	331	76	63	54	57	47	36	50	21	15	9	30	11	25	11	8	7	2	17	10	15	6	2	1	0	5	0	0	2	3	4	4	3	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1804	2600	1952	329	1055	233	181	74	165	911	226	63	32	35	308	30	40	14	36	28	20	42	14	8	5	25	4	22	9	3	4	1	14	10	15	6	0	0	0	1	0	0	2	2	4	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	5650	3853	2555	990	1338	588	432	292	324	1056	268	122	102	85	308	76	73	52	46	35	40	52	23	22	10	36	9	10	14	6	5	3	6	4	11	8	2	1	0	3	1	0	1	3	3	6	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1792	2569	1947	332	1026	236	195	79	178	999	202	51	25	32	289	29	51	17	28	18	28	46	17	10	6	33	1	10	12	1	2	1	5	4	11	6	0	0	0	0	1	0	1	2	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	5643	3910	2560	967	1295	584	434	287	325	1044	258	114	103	97	320	62	65	42	44	32	39	45	28	21	15	23	10	11	13	8	6	4	8	4	9	5	2	2	0	3	1	0	1	3	2	6	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1773	2641	1949	331	968	246	191	73	191	981	185	55	29	40	302	21	50	17	27	17	30	40	19	9	7	23	2	11	12	2	3	1	8	4	9	2	0	0	0	0	1	0	1	2	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	5741	3863	2556	922	1296	589	456	312	298	990	231	119	106	101	279	58	75	37	34	36	41	46	34	21	16	21	8	12	24	8	5	2	13	3	8	5	1	2	0	4	3	0	2	1	0	4	1	0	1	2	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1856	2667	1927	325	966	258	203	77	174	931	168	58	28	43	260	18	61	19	20	20	31	40	23	8	6	20	2	12	23	3	4	0	13	3	8	2	0	1	0	3	3	0	1	1	0	3	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	5790	3792	2452	971	1221	585	440	302	291	862	236	123	117	100	258	64	79	43	37	34	38	43	28	24	22	15	9	10	19	5	9	1	17	3	5	2	1	2	1	3	3	0	2	1	0	3	1	0	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1748	2567	1804	329	891	256	181	67	169	797	180	57	34	41	235	18	63	19	27	20	27	34	16	11	10	12	2	10	18	3	9	0	17	2	5	0	0	1	0	3	3	0	1	1	0	3	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
