label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42
0.03	north1_all	80	6369	3288	2108	2090	967	731	867	295	188	111	77	64	41	40	25	23	29	40	7	12	1	2	3	10	10	3	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1922	2006	1455	1780	699	583	796	190	101	30	19	12	8	21	7	6	24	37	4	8	0	1	2	10	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	6347	3324	2169	2093	969	725	900	294	197	101	72	61	45	33	22	28	30	35	13	13	4	2	2	6	11	2	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1905	2008	1490	1774	700	573	818	195	105	29	19	12	12	17	7	5	26	27	7	7	0	0	1	6	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	6390	3270	2170	2093	930	760	838	278	190	121	84	65	45	34	22	22	35	34	9	17	4	2	2	7	11	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1950	1973	1487	1782	681	592	750	191	96	30	24	14	11	19	8	3	34	28	4	13	0	0	1	6	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	6281	3267	2188	2062	928	781	878	235	170	98	78	62	40	33	22	27	33	25	13	22	10	2	30	6	9	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1940	1953	1466	1753	671	599	784	163	82	27	25	13	9	14	9	3	33	20	3	14	3	1	28	5	9	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	6238	3326	2166	2078	948	808	806	225	175	105	85	62	46	34	22	14	40	23	13	24	11	3	29	21	7	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1944	1979	1470	1764	704	615	707	158	92	35	24	15	14	18	7	0	38	20	2	11	3	3	28	20	7	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	6298	3337	2159	2065	982	812	864	268	172	115	81	59	47	34	26	14	32	26	11	16	15	3	30	21	3	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	1998	2033	1509	1759	735	629	769	186	93	38	24	11	15	19	10	2	29	22	2	5	3	3	29	20	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	6340	3333	2118	2108	1023	810	897	282	185	111	90	57	48	37	23	15	27	32	8	11	11	2	25	45	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	1951	2009	1526	1792	755	636	804	189	107	37	32	11	15	21	8	4	23	26	3	4	2	2	25	45	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	6236	3344	2080	2090	996	872	862	295	178	110	101	54	40	37	25	18	30	38	17	10	9	8	8	31	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	1949	2007	1501	1770	721	693	779	195	100	31	38	10	12	21	9	5	22	34	10	3	0	7	8	30	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	6219	3338	2108	2122	1009	870	793	281	189	106	89	56	34	38	23	18	33	33	17	6	6	11	10	29	0	3	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	1976	1982	1504	1782	725	698	715	175	110	29	32	9	9	21	6	5	24	30	12	3	0	5	10	27	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	6199	3361	2130	2169	945	812	802	274	193	110	78	49	46	36	24	21	50	24	20	11	5	11	15	8	1	3	0	1	1	1	0	0	1	0	0	0	0	1	0	0	3	0	0
0.03	north10_active	80	1993	1988	1495	1798	688	667	723	178	103	26	27	8	14	23	10	4	43	23	12	8	0	5	15	6	0	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	3	0	0
0.03	north11_all	80	6493	3374	2122	2164	967	820	739	253	167	93	68	53	63	38	18	21	73	42	15	18	1	10	22	5	4	1	2	2	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0
0.03	north11_active	80	2066	2012	1463	1847	703	668	640	160	89	23	16	9	21	18	8	6	64	37	8	17	0	9	22	5	4	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	6398	3315	2123	2091	958	815	736	255	163	110	72	57	57	35	17	17	60	39	15	12	4	10	21	6	3	1	1	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	1979	1983	1459	1782	697	657	641	170	95	30	18	13	21	19	6	5	54	33	8	11	1	9	21	5	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	6353	3277	2062	2083	967	856	720	268	182	117	80	54	50	33	18	16	50	26	19	12	3	7	20	9	3	3	2	2	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0
