label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167
0.03	north1_all	80	13591	3180	2538	1483	1493	1486	1529	1239	455	554	582	1006	341	449	638	482	242	271	442	147	125	111	99	101	145	83	144	316	68	86	53	131	62	96	68	35	99	162	48	40	73	23	21	45	51	23	18	24	20	24	38	17	15	18	17	10	9	19	21	16	13	10	3	10	25	5	20	10	5	6	4	15	3	9	3	7	2	6	3	12	3	15	3	6	10	3	1	1	3	1	9	3	1	0	0	1	2	1	0	0	0	4	0	0	1	2	2	0	1	0	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	11198	1285	1637	567	953	1120	1282	1017	108	319	408	886	193	356	542	405	112	194	385	43	55	31	28	44	106	26	106	288	18	49	12	114	24	75	41	7	86	147	23	20	61	8	13	34	46	14	6	13	6	7	31	9	4	8	13	4	5	10	19	11	9	6	0	8	25	2	19	9	3	1	1	12	1	7	0	6	1	5	2	12	0	13	3	6	10	2	0	0	3	0	8	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	13751	3232	2610	1465	1472	1473	1459	1226	452	542	562	1031	310	416	632	573	233	272	450	135	136	127	110	96	136	88	154	288	70	83	55	153	75	101	69	40	94	171	47	37	77	22	37	37	76	21	25	22	19	22	32	14	13	18	16	5	16	16	19	19	12	9	6	12	19	7	14	11	2	7	7	16	2	5	5	6	2	5	2	10	2	15	4	17	6	1	1	2	3	1	13	5	1	1	0	1	2	2	1	0	0	4	0	1	0	2	2	0	3	0	0	2	0	2	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
0.03	north2_active	80	11349	1274	1644	564	931	1098	1219	1008	121	315	386	916	184	330	544	481	107	192	389	32	63	36	28	37	93	28	117	261	24	45	14	136	37	79	48	9	81	158	21	20	64	4	24	25	70	11	5	9	5	5	27	7	4	7	13	4	6	8	17	15	8	4	0	10	19	2	12	9	0	2	4	12	0	5	0	5	1	5	2	9	0	13	3	17	6	1	0	0	3	0	12	3	1	1	0	0	0	0	0	0	0	4	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	13893	3227	2673	1484	1481	1460	1505	1232	467	548	530	1010	314	435	648	561	212	274	382	148	149	121	112	95	129	90	135	196	75	73	56	175	65	111	61	38	91	158	40	39	70	20	38	28	95	24	20	25	19	23	33	12	9	15	17	7	22	11	22	24	10	10	10	18	16	7	9	11	2	7	7	13	3	4	7	6	3	4	2	6	1	14	4	17	6	1	1	4	2	0	7	6	1	1	0	2	4	2	1	1	0	0	1	1	0	2	2	0	3	0	0	2	0	3	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0
0.03	north3_active	80	11526	1246	1684	556	956	1089	1247	1004	127	310	373	915	170	351	551	472	106	195	324	45	73	35	26	36	84	29	103	168	29	37	12	163	37	88	47	7	75	143	18	21	56	2	26	19	90	10	3	10	4	2	28	6	3	7	15	3	8	7	20	20	8	5	0	15	16	3	8	9	1	2	3	10	1	4	2	6	1	3	2	5	0	12	3	16	6	1	0	1	2	0	6	2	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	13733	3205	2679	1489	1455	1472	1457	1256	489	574	521	1037	294	464	599	569	197	277	340	143	141	122	116	105	134	93	127	220	68	79	61	226	58	103	59	41	81	121	46	37	85	21	43	29	84	22	23	23	24	21	33	14	8	10	12	8	24	9	21	22	7	9	10	17	10	5	10	8	3	5	7	11	2	5	8	13	3	1	2	1	5	4	3	13	10	1	1	4	3	0	18	6	1	2	1	3	3	2	1	1	1	0	1	1	0	1	1	0	4	1	0	2	0	3	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	3	1	1	0	0	0	0
0.03	north4_active	80	11435	1260	1681	560	925	1083	1183	1009	140	346	360	929	162	372	503	487	99	203	286	40	69	42	26	36	93	31	103	195	25	44	15	215	32	85	47	8	67	105	22	22	78	6	33	19	79	3	6	9	5	4	26	4	2	5	8	5	10	7	20	21	6	5	0	15	9	2	7	6	3	1	5	9	1	4	2	12	1	0	1	0	1	3	2	12	10	1	0	1	2	0	17	3	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0
0.03	north5_all	80	13175	3102	2605	1452	1437	1356	1403	1294	505	582	539	971	318	464	540	535	194	288	337	151	143	120	111	111	140	85	119	215	64	80	64	202	51	95	70	44	85	77	46	33	85	23	55	24	78	20	14	22	27	22	34	13	7	12	10	12	20	6	25	17	15	9	8	20	11	3	11	7	3	5	10	9	3	8	5	12	4	1	2	0	6	10	2	16	7	2	0	3	4	0	17	5	3	2	2	3	2	1	0	1	1	0	1	1	0	0	1	1	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0
0.03	north5_active	80	10781	1183	1594	540	898	966	1113	1051	137	334	369	872	164	355	436	454	94	212	282	47	65	40	28	31	105	26	89	190	22	41	15	191	27	76	51	9	73	62	18	18	80	7	44	15	73	5	5	10	4	4	26	3	3	6	6	4	5	5	25	13	12	4	0	17	8	2	7	4	3	0	6	8	2	6	2	11	1	0	1	0	2	9	1	13	7	1	0	1	2	0	16	2	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0
0.03	north6_all	80	12149	3143	2422	1439	1381	1275	1389	1175	514	577	524	880	314	439	502	474	203	282	317	137	136	125	121	115	116	99	114	209	64	87	57	178	45	85	63	41	67	88	34	31	76	26	49	34	34	19	13	22	33	16	32	14	9	17	11	13	15	4	18	18	24	7	7	12	15	6	6	4	5	5	6	8	2	6	4	15	3	0	2	0	6	7	5	5	5	3	0	2	3	1	14	2	2	2	2	2	3	0	0	3	2	0	2	1	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0
