label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163
0.03	north1_all	80	9462	6285	2747	2221	1068	832	877	602	553	428	694	321	270	561	469	234	212	175	219	132	292	109	99	141	157	124	66	132	97	72	109	43	54	61	94	37	52	41	71	28	29	46	29	28	45	21	24	37	16	15	18	16	30	14	21	13	23	10	18	9	13	7	19	12	9	8	9	3	15	12	8	2	7	4	4	1	10	1	14	4	7	4	3	0	4	2	0	2	3	2	1	2	4	2	0	0	1	1	1	1	0	0	3	1	0	0	1	2	0	0	3	0	0	2	0	0	0	0	2	0	2	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north1_active	80	5584	3933	1589	1317	517	390	487	320	278	214	426	170	122	376	320	111	113	92	113	70	184	55	47	87	98	87	30	74	50	30	62	19	23	39	58	21	27	21	50	18	13	26	15	18	26	10	8	21	8	5	7	12	19	11	15	7	19	5	12	5	3	5	17	6	3	6	6	1	10	10	4	0	7	2	2	1	1	1	9	3	3	3	1	0	0	1	0	0	2	1	1	2	4	2	0	0	1	1	0	0	0	0	2	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	9408	6358	2834	2266	1043	787	872	638	568	435	729	348	279	598	486	240	198	163	206	143	304	102	103	143	141	121	73	157	90	69	106	47	45	51	104	43	59	36	64	28	31	57	24	25	37	23	28	38	16	16	22	14	35	22	24	15	21	12	19	11	15	10	9	10	9	11	14	3	10	11	5	3	8	3	4	1	10	1	11	3	8	2	2	1	3	5	0	3	5	1	3	0	3	1	0	0	1	0	1	1	0	0	2	1	0	0	1	1	0	0	2	0	0	2	0	0	0	0	1	0	1	0	0	0	1	0	0	1	2	0	1	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north2_active	80	5550	3964	1611	1363	503	371	473	355	289	218	461	190	131	400	340	103	104	81	106	69	188	48	50	89	91	78	33	88	41	25	58	17	20	27	61	26	23	22	49	18	11	36	12	16	21	10	13	17	8	8	13	11	22	17	15	8	14	5	13	7	5	6	5	5	6	5	9	3	6	10	1	1	7	1	2	1	2	0	6	1	3	1	1	1	1	4	0	1	3	0	2	0	3	0	0	0	1	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	9841	6745	2974	2370	1051	761	878	654	598	417	721	371	270	563	483	229	217	159	219	144	351	107	100	138	155	111	70	146	89	60	117	41	43	59	143	44	51	37	75	35	36	66	24	20	43	15	33	39	16	12	23	18	26	37	17	12	33	9	22	14	11	9	14	12	8	8	11	4	14	11	4	5	6	2	5	1	10	1	10	6	7	3	3	4	6	4	0	2	6	1	4	0	2	2	0	3	1	0	2	1	0	1	1	1	0	1	1	2	0	0	3	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	5885	4313	1711	1459	511	365	482	372	321	206	446	209	124	373	337	99	106	87	122	70	225	51	49	88	105	71	28	79	37	23	74	12	25	32	93	30	19	20	59	18	13	45	11	14	28	9	16	17	8	8	14	11	11	30	9	6	20	3	19	9	3	5	10	7	6	3	6	4	10	10	1	2	5	1	3	1	5	0	6	4	3	1	2	2	3	3	0	1	3	0	2	0	2	0	0	2	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	10146	7010	3115	2423	1084	777	912	676	596	392	751	347	272	553	506	241	218	163	244	146	339	109	96	139	153	104	79	161	83	58	104	42	41	61	139	43	42	37	79	31	37	86	22	26	54	24	32	35	13	12	29	16	40	40	26	12	29	7	22	14	11	12	15	8	11	7	13	5	11	5	6	6	4	1	3	2	13	1	7	5	6	4	3	4	5	5	0	2	6	1	3	0	1	2	0	6	0	1	2	2	2	1	1	2	0	1	0	2	0	0	1	1	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	6157	4551	1828	1507	525	361	517	376	327	188	472	194	126	331	363	110	110	88	136	67	210	51	49	86	99	55	37	87	41	23	67	11	27	31	85	31	14	20	54	15	17	47	11	15	38	16	13	16	5	8	18	11	22	34	17	6	15	2	15	9	5	9	9	3	8	2	8	5	6	3	2	3	3	0	1	1	8	0	3	3	2	3	1	2	4	5	0	1	2	0	1	0	0	0	0	4	0	1	1	2	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	10229	7084	3136	2412	1053	815	929	638	591	401	763	356	260	555	519	237	223	176	273	144	313	120	88	144	130	100	89	165	92	63	106	47	48	78	122	39	43	37	84	25	41	100	20	33	58	30	29	33	17	11	20	18	37	31	24	9	28	5	21	12	11	14	15	7	11	5	10	5	13	9	5	4	3	1	3	2	12	1	9	6	5	7	2	5	5	6	0	2	5	5	1	1	1	2	0	7	1	1	2	1	3	1	2	2	0	1	0	1	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	6175	4675	1839	1506	504	365	524	339	327	187	498	190	127	324	354	120	114	87	162	66	195	61	41	88	81	52	40	91	48	32	64	17	32	48	72	25	20	21	53	9	21	60	11	20	36	20	11	18	3	8	10	10	25	24	17	4	17	2	12	8	6	9	9	3	7	2	5	4	9	7	2	2	3	0	2	1	8	1	8	4	2	5	1	1	3	6	0	1	1	2	0	1	0	1	0	4	1	1	1	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
