label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135
0.03	north1_all	80	26011	13380	8796	13332	5381	5483	5186	2563	1893	1446	1743	1125	907	1240	1662	1051	672	492	481	511	777	339	326	444	562	288	179	279	185	250	133	128	209	125	96	97	140	74	99	62	55	56	59	48	33	35	29	36	35	27	29	25	17	29	60	17	15	17	14	22	5	10	8	11	6	10	9	12	12	5	5	10	0	3	5	3	4	4	1	2	3	5	1	1	3	2	3	2	1	0	0	1	5	1	0	1	1	0	2	2	3	0	2	2	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	9681	6332	4874	11678	3450	4257	4392	1504	781	353	1128	492	284	863	1409	779	391	205	144	316	647	118	102	338	485	206	48	212	99	204	63	54	171	76	23	30	88	36	69	18	29	31	27	30	16	18	13	16	28	12	18	10	4	25	50	8	9	8	10	19	2	6	3	9	4	3	6	6	8	0	1	5	0	0	2	0	1	3	0	1	1	1	1	1	0	0	1	1	0	0	0	0	4	1	0	0	1	0	1	2	3	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	26176	13406	8882	13546	5337	5407	5268	2551	1797	1453	1692	1115	933	1186	1762	1078	625	494	435	504	743	344	308	452	587	293	167	278	190	244	133	112	233	116	82	106	122	70	88	67	65	57	63	39	45	26	29	39	32	28	23	21	18	19	53	19	18	23	14	33	8	8	9	6	6	9	7	13	12	6	4	9	0	2	5	4	5	4	2	1	4	7	1	0	4	2	2	2	1	0	0	2	6	1	0	1	2	0	1	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north2_active	80	9792	6341	4858	11899	3459	4220	4461	1518	726	340	1087	483	291	811	1514	825	343	212	122	294	602	130	99	343	502	204	47	209	102	192	55	46	200	70	12	41	83	32	62	24	34	29	28	25	23	14	12	17	23	12	16	8	4	15	40	10	11	12	12	29	2	6	4	5	3	3	4	7	8	1	2	6	0	0	2	0	3	3	1	1	2	2	1	0	1	0	1	1	0	0	0	1	4	1	0	0	1	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	26169	13247	8883	13665	5337	5365	5328	2494	1774	1487	1725	1137	916	1143	1774	1150	612	484	430	523	701	356	305	419	550	325	157	268	188	227	138	117	224	127	72	116	102	69	87	72	72	58	59	44	41	25	25	40	25	32	22	25	19	30	24	23	19	28	12	25	10	9	9	16	6	12	3	9	7	6	2	7	0	2	3	3	7	5	1	3	3	8	1	1	3	0	1	2	1	0	0	1	6	1	0	3	3	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north3_active	80	9729	6222	4872	11976	3507	4195	4498	1482	732	371	1111	469	293	782	1535	887	347	203	123	310	563	131	95	317	465	233	47	196	113	188	51	43	189	73	15	53	65	32	72	22	41	24	22	30	21	15	10	20	17	13	12	10	8	25	14	9	11	16	11	21	2	8	4	14	4	2	1	5	2	2	2	4	0	1	2	0	4	4	1	1	2	1	1	0	1	0	1	1	0	0	0	1	4	1	0	0	2	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	26046	13183	9058	13310	5531	5613	5230	2545	1744	1509	1723	1129	944	1103	1822	1046	695	521	433	531	711	335	302	426	616	320	172	299	209	248	149	117	236	135	81	108	76	70	89	75	76	57	57	52	43	32	26	39	26	23	26	25	20	38	20	20	15	25	16	31	10	9	9	21	6	9	2	11	7	5	3	9	1	2	3	3	5	2	3	3	3	5	1	2	1	0	2	3	0	0	0	1	5	0	0	2	2	0	1	0	0	1	3	0	0	1	0	0	0	0	0	0	0	2	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north4_active	80	9772	6212	4938	11663	3660	4399	4404	1489	694	388	1152	473	298	713	1588	768	412	217	116	323	572	121	87	322	529	226	54	214	128	204	64	46	204	81	14	51	48	29	71	23	43	23	16	29	22	19	6	18	18	11	13	7	10	30	13	6	7	12	16	27	1	8	2	18	4	2	0	6	2	2	1	5	1	1	1	0	4	1	3	0	2	2	1	1	1	0	1	2	0	0	0	1	4	0	0	0	1	0	1	0	0	1	3	0	0	1	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	26224	13302	8980	12878	5578	5580	5220	2601	1730	1492	1785	1133	876	1115	1760	1015	721	525	466	543	702	328	302	383	607	342	170	277	204	237	147	112	224	137	83	100	78	78	93	73	65	54	63	52	36	43	35	40	24	17	29	32	18	36	20	15	15	24	21	31	10	7	13	19	9	7	3	10	8	5	4	5	2	6	2	5	9	1	3	3	1	4	1	3	0	0	2	4	1	0	0	1	1	0	0	5	2	0	1	0	0	1	3	0	0	1	1	0	0	0	4	0	0	2	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north5_active	80	9819	6297	4921	11254	3653	4379	4370	1449	683	384	1219	483	287	729	1507	745	426	206	129	335	565	114	72	290	528	243	55	197	124	183	65	45	188	86	18	45	47	34	71	20	37	25	15	27	18	23	8	16	16	7	12	12	10	28	17	3	7	15	20	26	2	5	5	16	5	2	0	3	3	3	1	3	1	3	0	1	8	1	3	0	0	1	1	2	0	0	1	2	0	0	0	1	0	0	0	1	2	0	1	0	0	1	3	0	0	1	1	0	0	0	4	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
