label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146
0.03	north17_all	80	39562	19438	6530	8254	3729	5591	3622	2291	1530	1560	2137	996	2008	776	865	887	588	669	386	397	420	549	295	275	195	292	234	235	159	180	278	134	143	138	104	84	67	76	104	111	47	50	108	40	42	36	29	75	27	31	32	43	39	18	16	20	21	12	13	10	16	18	28	8	8	6	6	20	4	12	6	16	4	9	8	1	4	4	12	1	3	2	5	3	2	3	2	0	1	2	1	2	1	2	1	1	0	0	0	3	1	1	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north17_active	80	23595	11614	2918	4998	1785	3432	2159	1223	723	791	1297	516	1274	391	473	515	298	391	184	205	212	309	158	145	88	167	119	112	73	101	173	70	88	92	50	50	38	47	60	57	17	30	64	22	20	18	17	58	12	22	17	29	22	8	11	14	12	6	8	4	11	10	10	5	3	3	4	8	3	7	6	10	3	6	6	1	1	3	7	0	1	1	3	1	0	2	1	0	1	1	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north18_all	80	39564	19313	6464	8174	3751	5584	3571	2313	1556	1558	2159	1025	1919	790	860	868	603	640	411	380	448	523	295	293	188	278	219	231	167	183	306	166	154	126	100	92	58	84	115	105	47	45	105	41	48	41	32	73	26	37	34	40	46	23	12	19	21	13	13	11	15	20	32	8	9	8	6	21	5	11	2	15	3	10	3	3	3	5	11	2	1	3	5	4	2	3	1	0	2	3	2	2	2	1	1	1	0	0	1	2	0	1	2	1	0	1	0	1	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0
0.03	north18_active	80	23576	11680	2913	4864	1778	3397	2130	1214	726	804	1275	522	1218	402	454	511	307	373	191	195	231	293	151	161	85	164	101	124	74	99	188	96	105	81	47	54	28	48	65	51	18	30	67	23	27	20	19	50	13	24	19	30	28	13	7	12	11	6	7	4	10	8	12	3	6	7	4	16	4	6	1	7	2	6	2	2	1	5	7	2	0	1	3	1	0	2	1	0	2	3	1	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north19_all	80	39560	19625	6364	8212	3729	5586	3528	2314	1605	1539	2293	1055	1841	804	832	804	584	617	407	418	460	525	301	286	200	282	242	229	157	192	277	193	176	106	95	91	55	92	118	100	48	52	103	40	51	44	27	48	30	36	38	44	45	29	15	17	23	9	13	9	13	21	31	11	8	11	7	19	5	9	5	15	10	6	4	3	3	5	7	2	2	3	7	6	1	4	3	1	2	3	3	1	2	1	1	0	0	0	1	2	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	4	1	1	1	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0
0.03	north19_active	80	23646	11963	2843	4948	1739	3355	2119	1207	738	788	1345	533	1161	415	422	476	295	360	189	227	251	310	149	155	91	158	117	135	69	95	182	111	114	69	43	51	22	50	72	51	25	35	59	21	32	28	17	29	14	24	25	31	31	15	8	12	9	4	5	3	7	9	7	3	6	11	1	16	2	8	4	8	10	3	3	2	0	4	7	2	0	1	4	2	0	3	1	0	2	3	1	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	4	1	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north20_all	80	39723	19897	6392	8305	3706	5523	3533	2299	1570	1541	2238	1043	1752	792	870	849	601	616	426	396	470	534	310	287	185	304	235	265	160	193	259	188	179	111	92	90	59	96	109	94	49	50	89	41	56	46	29	65	29	42	28	46	40	40	14	16	16	9	12	9	12	20	18	12	7	15	9	19	5	4	5	13	8	4	8	3	2	5	12	2	3	3	5	3	2	2	3	1	2	4	3	0	1	0	2	0	0	0	1	1	2	0	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	4	0	1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0
0.03	north20_active	80	23811	12149	2885	5037	1759	3291	2090	1192	689	770	1344	511	1058	409	438	493	313	340	199	209	258	304	158	163	74	173	121	173	70	100	165	107	120	70	55	47	26	50	70	36	18	31	53	19	34	26	15	40	14	26	20	33	25	19	8	11	6	3	6	2	6	9	5	3	4	13	1	17	1	3	4	7	8	1	7	2	1	3	6	2	1	1	4	1	0	2	1	0	2	3	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	4	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
0.03	south21_all	80	38256	18632	6479	7676	3673	5317	3483	2232	1541	1540	2073	1036	1837	748	835	910	569	631	413	395	397	487	274	256	215	345	219	233	169	171	269	132	153	138	104	72	69	101	89	88	58	44	91	51	66	63	29	67	19	41	50	31	33	38	13	17	12	5	17	17	15	9	24	9	4	13	10	15	5	8	3	12	9	11	4	5	3	5	4	1	0	8	0	2	2	2	2	2	0	1	2	4	0	3	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	12	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south21_active	80	22615	11089	3018	4429	1717	3267	2057	1139	676	760	1240	532	1175	337	464	543	289	382	191	188	216	296	141	146	108	194	117	150	84	81	173	63	95	91	61	32	27	49	55	58	27	15	52	28	43	24	18	38	6	25	20	17	12	22	5	10	9	0	7	6	6	9	23	3	3	7	5	12	4	3	2	11	8	5	0	2	1	1	2	1	0	5	0	2	1	1	1	1	0	0	1	3	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	12	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
