label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143
0.03	north1_all	80	48523	11637	8581	7634	4314	3770	3011	3763	2082	1532	1302	1940	967	1705	776	774	722	487	485	450	481	332	410	273	268	229	239	149	196	241	266	125	102	121	91	103	100	155	141	78	62	115	53	49	54	93	33	47	64	74	85	17	23	33	23	17	31	17	27	13	13	25	28	6	15	13	8	7	6	17	5	1	4	0	1	7	8	2	7	2	7	3	1	2	4	0	5	0	0	2	2	1	5	0	0	2	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north1_active	80	39303	2611	4270	5187	1998	2082	1656	2920	1122	573	464	1534	345	1425	344	478	407	176	150	205	277	144	276	90	112	59	123	71	116	148	211	36	20	58	14	41	67	136	116	29	21	101	24	37	9	83	14	31	53	65	78	1	6	30	5	8	29	11	23	4	5	13	20	3	3	5	7	4	2	14	0	1	1	0	0	5	6	2	0	0	6	1	0	0	4	0	1	0	0	1	1	1	4	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	48612	11753	8522	7626	4378	3782	3040	3700	2026	1583	1300	1956	941	1681	757	789	704	509	481	424	439	342	396	247	262	220	206	153	176	223	208	118	112	129	94	100	107	206	138	76	62	97	53	43	48	109	26	49	73	78	66	21	22	33	26	18	27	15	31	10	12	17	34	7	14	10	10	8	8	16	3	3	3	2	1	7	7	2	5	2	3	3	2	2	3	0	4	0	1	0	4	2	5	0	0	2	0	1	0	0	0	0	1	2	0	1	1	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	39436	2623	4192	5162	1988	2110	1649	2886	1087	588	459	1562	352	1413	335	507	369	174	140	183	241	131	257	77	105	50	103	74	115	134	153	36	22	70	19	47	68	181	113	32	22	81	23	29	8	96	8	31	62	68	59	3	8	30	8	7	23	9	29	2	5	11	29	2	3	4	9	6	3	12	0	2	2	1	0	5	6	2	0	0	1	1	0	0	3	0	1	0	0	0	3	2	4	0	0	2	0	1	0	0	0	0	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	48553	11795	8488	7588	4318	3771	3104	3750	2036	1569	1311	1966	956	1602	735	812	669	525	466	442	398	350	411	261	256	213	198	167	201	188	208	130	108	130	92	100	108	218	147	77	60	99	66	54	41	92	31	42	65	90	72	21	21	60	19	23	31	16	31	9	13	14	27	10	8	12	12	10	4	7	1	5	3	2	2	8	7	4	4	2	2	2	3	2	2	0	4	0	1	0	2	2	4	0	0	1	0	1	2	0	0	0	1	2	0	1	2	0	0	2	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north3_active	80	39437	2581	4158	5116	1961	2099	1671	2938	1107	574	465	1575	351	1323	330	520	372	181	135	197	242	151	269	85	105	43	92	79	125	117	158	39	18	72	22	43	72	195	121	29	24	83	21	36	9	81	11	27	58	73	67	5	8	57	8	11	26	10	30	1	5	9	23	3	0	5	10	8	1	4	1	4	2	1	0	6	7	3	0	0	0	0	0	0	1	0	1	0	0	0	2	1	3	0	0	1	0	1	1	0	0	0	0	2	0	1	2	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	47612	11775	8449	7303	4232	3754	3003	3514	2008	1551	1294	1930	1015	1561	743	793	674	537	471	423	375	358	391	256	257	220	209	177	197	190	234	138	100	120	89	102	108	230	152	62	57	142	63	63	47	95	31	41	40	79	85	18	17	57	20	26	20	13	37	7	12	11	16	15	6	8	14	12	3	5	5	6	4	4	2	2	6	2	4	2	5	3	3	5	2	1	5	0	3	0	2	3	1	0	0	0	0	1	3	0	0	1	0	2	0	0	3	0	0	2	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north4_active	80	38145	2575	4062	4739	1873	2069	1574	2729	1100	568	452	1534	368	1269	324	502	368	183	133	174	215	161	255	69	106	44	105	75	117	113	163	43	16	65	20	40	76	206	122	23	21	128	22	40	12	82	10	26	34	65	79	6	4	54	10	10	15	8	35	0	2	4	13	3	1	4	11	8	1	3	1	3	1	1	0	2	6	1	0	1	3	0	0	3	1	1	1	0	0	0	2	1	1	0	0	0	0	1	2	0	0	0	0	2	0	0	2	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	45636	11801	8371	6983	4241	3720	2930	3397	1924	1468	1282	1855	1024	1559	717	762	661	541	439	428	401	345	387	286	249	204	216	188	236	159	225	141	95	102	89	99	100	241	133	65	54	147	60	60	45	80	33	50	44	79	73	22	17	68	23	27	22	16	29	10	15	19	7	16	9	9	9	14	3	9	6	13	4	6	2	2	4	3	5	2	4	3	3	5	2	1	3	0	2	1	2	2	1	0	0	0	0	0	8	0	0	1	0	0	0	0	3	0	0	2	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north5_active	80	35819	2630	3913	4389	1781	2016	1483	2554	1013	515	444	1428	352	1205	287	449	366	179	118	177	232	154	249	71	100	35	105	76	127	91	145	43	14	52	16	40	75	216	106	21	16	133	16	36	13	66	10	32	37	67	65	6	4	63	10	13	16	8	26	0	2	12	4	2	1	3	7	5	1	6	2	9	0	1	1	2	1	1	1	1	3	0	1	3	0	1	1	0	0	0	2	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
