label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142
0.03	north1_all	80	44599	12935	8913	9081	4739	2748	4246	1861	2036	1474	1314	1098	1502	1041	662	671	582	805	521	404	600	500	306	293	429	191	371	183	207	106	106	144	110	104	115	129	85	84	79	60	65	43	52	55	36	43	35	60	25	33	33	43	23	25	26	17	25	18	18	23	15	12	21	12	13	8	5	5	13	14	2	4	8	2	2	4	4	7	3	1	1	2	4	6	1	3	0	0	2	0	6	2	0	1	0	0	3	0	0	2	1	0	0	2	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	27186	6772	4924	5633	2636	1253	2627	843	1079	728	715	567	895	595	304	350	313	485	269	200	376	319	137	170	232	87	240	89	121	44	41	88	51	50	67	69	55	51	40	30	36	18	30	22	19	26	19	40	11	19	18	30	9	10	13	9	18	8	13	10	6	11	14	8	3	4	2	3	4	11	0	3	5	0	2	2	0	1	1	0	1	0	3	3	0	1	0	0	1	0	3	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	42655	12597	8607	8809	4607	2800	4059	1884	1906	1496	1319	1069	1457	1024	659	637	583	776	509	408	560	480	271	302	372	186	315	165	208	126	117	149	86	104	96	116	85	76	62	61	62	44	50	50	42	45	35	60	22	23	26	37	25	21	28	16	29	19	20	20	13	9	32	11	11	6	4	5	6	10	2	3	2	2	2	4	4	5	0	1	1	3	4	5	1	3	1	0	1	0	4	2	0	2	0	0	2	0	0	2	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	4	0	1	0	0	0	3	0	0	0	0	0	0	0
0.03	north2_active	80	25811	6533	4627	5468	2456	1271	2478	858	974	718	711	532	872	601	311	309	315	471	256	206	336	294	118	166	187	79	203	78	121	54	43	77	37	49	58	64	54	46	31	29	35	20	25	20	20	22	21	39	12	15	14	22	12	8	19	6	23	8	13	8	2	7	12	6	4	2	2	3	3	8	0	3	2	0	2	2	2	1	0	0	1	1	3	2	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	41484	12283	8441	8540	4418	2853	3946	1929	1858	1514	1307	1032	1394	1016	644	602	606	763	492	433	507	478	259	310	354	183	288	172	194	144	112	144	90	104	98	92	82	72	61	59	73	36	48	46	53	44	36	67	26	20	25	35	23	28	41	14	29	10	19	20	13	8	27	9	10	6	4	8	4	7	4	5	1	1	4	3	5	6	1	0	0	4	3	1	1	3	2	0	1	1	4	0	0	1	1	0	2	1	0	0	2	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0
0.03	north3_active	80	25111	6253	4454	5243	2321	1327	2401	886	950	730	681	513	830	608	303	296	322	462	253	201	302	292	117	176	177	70	188	92	104	60	39	73	39	45	56	48	43	38	32	28	47	17	24	20	28	15	19	46	17	12	11	20	13	11	28	5	27	5	7	6	3	4	7	4	4	2	1	4	3	6	3	4	0	1	2	1	3	3	1	0	0	1	3	1	0	1	0	0	0	0	4	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	41553	12206	8362	8568	4467	2829	3790	1925	1874	1505	1347	1053	1394	1039	669	581	620	709	489	414	494	468	266	309	337	181	282	181	164	159	113	137	86	113	81	83	85	73	69	51	89	36	46	39	53	38	50	65	26	20	24	21	19	29	57	14	28	11	26	15	16	5	26	14	8	6	4	9	3	9	4	2	3	5	5	5	6	5	2	2	1	4	3	6	1	2	2	0	3	3	2	1	1	1	1	0	1	1	0	1	1	0	0	1	0	1	2	1	0	0	0	2	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0
0.03	north4_active	80	25282	6227	4431	5180	2338	1305	2286	874	982	720	696	500	860	610	312	276	315	445	269	187	305	270	126	164	164	66	187	96	85	71	44	65	40	53	45	45	42	42	31	22	58	17	25	19	26	13	27	39	15	8	11	10	12	14	37	5	24	3	12	10	6	1	11	7	5	3	2	4	2	8	3	1	0	2	2	2	4	3	1	2	0	1	2	5	0	1	0	0	0	0	2	0	1	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	41292	12234	8318	8526	4461	2797	3841	1856	1909	1469	1291	1018	1375	1032	659	634	624	693	506	396	491	482	278	281	349	185	294	160	167	139	106	137	94	119	89	79	73	76	75	54	90	37	53	50	45	42	57	55	20	27	22	28	15	28	50	17	28	11	23	27	17	10	13	17	10	9	7	8	4	11	3	4	6	6	7	3	5	4	3	3	2	3	2	7	1	2	2	1	2	3	2	2	1	3	2	0	0	1	0	1	1	0	0	1	0	1	2	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	25036	6198	4392	5087	2353	1310	2295	852	1004	702	642	473	857	606	294	307	314	398	286	169	292	280	131	151	175	73	184	73	87	66	42	62	43	57	51	38	39	40	35	21	56	17	29	31	26	16	36	31	10	11	10	14	10	15	30	7	23	4	11	18	6	1	9	7	5	5	4	5	2	9	3	3	1	2	2	1	2	3	1	3	1	0	1	5	0	0	0	0	0	0	2	0	1	0	2	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
