label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45
0.03	north1_all	80	33314	14750	15997	12026	3118	2227	2082	1023	815	1320	395	289	559	526	128	104	77	74	39	45	44	20	24	7	9	9	10	10	10	0	1	4	3	3	1	0	0	0	0	1	0	0	0	0	0	0
0.03	north1_active	80	6927	6493	13289	10706	1402	1031	1450	271	486	1171	184	91	480	488	36	48	26	31	20	33	23	9	22	3	6	1	6	9	7	0	1	0	2	3	1	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_all	80	33316	14602	15690	12171	3144	2197	2039	1022	866	1376	401	297	641	571	142	100	67	58	40	53	47	19	20	10	4	5	5	10	11	2	0	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	7044	6421	13043	10899	1380	977	1398	268	500	1238	189	97	568	530	42	55	19	24	21	40	28	8	18	3	2	1	4	8	7	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	33651	14723	15799	12142	3199	2180	2057	1024	880	1383	377	285	642	618	137	95	58	53	37	55	51	20	15	14	5	6	4	8	11	3	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	7137	6536	13175	10800	1433	980	1366	271	517	1234	174	98	570	578	37	39	10	22	19	35	29	7	14	3	2	1	4	7	7	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	33651	14724	15734	12346	3212	2184	2003	972	913	1381	384	329	615	614	152	103	68	58	37	52	48	17	11	15	10	7	11	13	4	3	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0
0.03	north4_active	80	7178	6596	13064	10971	1412	946	1334	255	540	1225	188	105	556	574	47	47	14	20	18	32	27	6	8	2	5	3	8	10	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	33629	14849	15453	11938	3183	2117	2011	969	940	1412	410	331	615	594	150	127	60	58	43	62	43	17	16	13	13	7	12	16	4	2	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0
0.03	north5_active	80	7271	6670	12756	10532	1386	911	1395	249	577	1250	190	103	547	550	53	71	14	22	19	42	22	5	9	1	6	4	8	13	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	north6_all	80	33448	14679	15749	11941	3204	2172	2008	947	944	1392	442	316	655	603	161	126	64	58	45	49	39	18	19	9	18	8	13	17	3	2	3	1	0	0	2	0	0	1	0	0	0	0	0	1	0	0
0.03	north6_active	80	7223	6558	13044	10508	1397	942	1378	243	563	1238	206	103	590	565	55	77	16	20	18	36	17	5	8	2	13	4	8	12	2	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	north7_all	80	33468	14825	15675	11732	3230	2167	1999	1005	933	1489	421	298	672	536	153	131	63	63	43	44	35	23	24	9	15	4	6	13	2	1	3	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0
0.03	north7_active	80	7085	6578	12975	10352	1438	969	1371	279	545	1330	190	96	605	498	45	87	16	19	13	31	18	5	12	2	10	1	2	10	1	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north8_all	80	33459	14754	15715	11896	3236	2200	2024	991	950	1553	437	297	688	586	140	127	72	61	48	37	37	24	24	17	15	2	5	9	1	0	5	2	0	1	3	2	1	1	0	0	0	0	0	0	1	0
0.03	north8_active	80	7049	6486	13058	10487	1494	992	1367	274	576	1390	205	96	616	546	40	83	20	20	19	18	18	4	14	5	11	0	4	5	0	0	4	2	0	1	1	1	1	1	0	0	0	0	0	0	0	0
0.03	north9_all	80	33586	14658	16214	12090	3275	2175	1987	991	925	1590	434	312	674	569	131	117	77	61	44	42	31	23	27	21	14	5	5	4	1	0	2	2	0	1	2	2	1	0	0	0	0	0	0	0	1	0
