label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48
0.03	south24_active	80	56281	18277	2524	4360	6763	3069	439	783	1207	370	371	84	249	131	106	62	76	28	60	16	29	17	8	5	26	0	2	1	2	2	2	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	68657	24036	7835	6667	7799	3904	1429	1252	1425	676	555	324	367	202	140	133	120	61	84	48	45	27	21	11	29	8	10	8	4	2	1	0	3	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_active	80	56261	18299	2459	4325	6904	3121	432	801	1167	405	362	84	269	114	88	73	79	24	72	16	30	13	10	4	26	0	3	2	2	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	68334	24152	7811	6654	7513	3907	1499	1231	1433	679	504	315	395	185	149	122	125	50	98	49	52	28	23	14	19	5	15	6	4	4	1	0	3	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_active	80	56021	18446	2480	4388	6599	3103	449	788	1167	395	324	86	308	109	101	58	86	18	86	15	37	14	11	3	15	0	9	2	1	2	1	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	67874	24226	7823	6521	7474	3883	1492	1297	1394	667	529	333	393	196	149	104	120	58	82	43	43	32	19	15	28	5	16	5	3	4	2	0	2	1	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_active	80	55618	18492	2464	4238	6539	3079	417	842	1124	370	372	88	296	113	96	44	79	21	71	13	28	16	9	5	24	0	9	1	1	1	1	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	68117	24113	7809	6613	7478	3841	1522	1369	1374	662	561	327	361	191	162	107	109	68	69	36	32	26	21	16	27	7	13	2	6	3	4	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_active	80	55791	18404	2457	4337	6485	3064	423	900	1122	378	391	87	269	121	98	45	73	26	58	9	18	10	9	5	24	1	9	0	4	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	67966	24262	7863	6501	7558	3906	1454	1390	1362	660	585	306	378	198	157	97	101	71	57	33	34	23	18	16	31	9	14	1	5	2	6	1	0	2	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0
