label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48
0.03	north1_all	80	15603	10804	5916	2684	2737	928	590	449	407	599	219	406	111	95	72	52	43	59	31	37	13	14	26	26	9	6	2	5	1	19	1	4	0	1	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0
0.03	north1_active	80	9685	8927	4871	1815	2336	428	204	155	261	519	117	361	42	55	13	15	12	48	10	33	2	6	22	19	3	4	0	4	1	18	1	2	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	15399	10561	5579	2595	2671	947	586	464	436	555	211	354	111	102	83	55	47	43	28	32	16	13	28	15	8	4	5	5	2	4	1	4	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_active	80	9358	8653	4469	1691	2263	422	204	163	264	483	112	309	48	59	19	20	14	35	7	25	4	5	24	10	5	0	1	4	2	4	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	15338	10388	5560	2455	2601	944	605	466	443	582	223	352	100	98	77	49	49	44	22	30	15	12	20	15	10	3	5	3	1	4	3	1	0	1	3	1	0	0	0	1	0	0	1	0	1	0	0	0	0
0.03	north3_active	80	9175	8404	4461	1577	2186	418	231	160	274	505	112	303	40	62	16	20	12	36	5	22	4	5	17	9	7	0	2	3	1	4	2	1	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	15459	10584	5683	2529	2562	909	630	433	432	588	208	365	101	103	75	46	43	53	20	38	16	14	13	18	11	3	7	1	2	0	4	0	0	2	3	3	0	0	0	1	0	0	0	0	1	0	0	0	0
0.03	north4_active	80	9298	8606	4586	1659	2128	396	230	140	255	522	102	315	38	68	19	22	7	43	5	29	5	6	10	10	11	1	3	1	2	0	3	0	0	2	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	15619	10723	5919	2472	2633	924	663	434	431	645	230	377	99	101	63	45	51	49	19	35	14	15	17	21	12	1	7	1	2	1	6	0	0	2	3	3	0	0	0	1	0	0	0	0	1	0	0	0	0
0.03	north5_active	80	9470	8735	4844	1676	2207	419	243	142	271	571	105	336	38	57	14	22	12	38	3	26	4	5	15	12	11	1	4	1	1	1	3	0	0	2	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0
